DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.1,0.97,977.564,16.7,7.402,1.449,312.936,15.587,0,0,0,0,19.587,0,0,0,0,4.545,13.629,23.132,978.296,977.179,976.016,19.948,19.948,19.948,7.926,7.89,7.852,1.451,1.451,1.451,311.034,311.034,311.034
2017-10-13 12:30:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.155,0.943,978.439,18.044,7.985,2.244,326.007,15.874,0,523.528,522.279,313.702,22.711,133.991,92.878,-96.2,0.333,4.548,13.633,23.123,977.929,976.896,975.803,19.863,19.489,19.188,7.986,7.828,7.722,2.24,2.803,3.131,324.764,325.8,326.725
2017-10-13 13:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.155,0.943,978.407,17.906,8.458,1.968,321.174,16.115,0,481.423,489.617,314.477,22.958,136.155,82.121,-76.973,0.285,4.55,13.635,23.125,977.858,976.817,975.739,19.727,19.302,18.973,8.458,8.303,8.195,1.968,2.502,2.777,319.719,319.989,321.672
2017-10-13 13:30:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.155,0.943,978.365,18.119,8.67,1.637,317.468,16.353,0,427.869,444.834,316.698,23.13,120.495,72.246,-66.257,0.225,4.555,13.649,23.148,977.821,976.784,975.704,19.944,19.485,19.133,8.671,8.524,8.435,1.639,1.973,2.102,316.1,316.528,318.068
2017-10-13 14:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.155,0.943,978.143,18.022,8.802,1.499,331.185,16.551,0,364.758,389.441,317.475,22.66,106.284,62.182,-47.565,0.221,4.553,13.646,23.144,977.593,976.55,975.466,19.866,19.431,19.087,8.802,8.66,8.57,1.5,1.806,1.913,329.921,330.409,331.602
2017-10-13 14:30:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.155,0.943,977.993,17.784,8.915,1.369,345.082,16.69,0,292.761,323.51,319.343,21.834,88.923,50.793,-27.441,0.221,4.55,13.637,23.131,977.471,976.434,975.348,19.639,19.263,18.948,8.915,8.788,8.702,1.37,1.69,1.842,343.628,342.848,342.499
2017-10-13 15:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.155,0.943,977.984,17.553,8.958,1.274,343.02,16.756,0,215.429,249.956,319.345,20.743,67.432,38.117,-5.904,0.205,4.547,13.629,23.119,977.434,976.392,975.305,19.408,19.101,18.836,8.958,8.856,8.788,1.275,1.578,1.737,341.581,342.371,342.223
2017-10-13 15:30:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.155,0.943,978.04,17.392,8.905,1.278,347.179,16.749,0,135.269,169.878,318.518,19.348,43.589,25.836,18.352,0.214,4.544,13.623,23.113,977.488,976.447,975.363,19.241,19.052,18.864,8.905,8.828,8.77,1.277,1.621,1.833,345.878,345.601,344.488
2017-10-13 16:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.156,0.943,978.103,17.291,8.753,1.199,353.491,16.65,0,57.137,83.468,317.879,17.684,17.327,12.372,42.694,0.207,4.541,13.616,23.106,977.584,976.541,975.456,19.134,19.062,18.964,8.752,8.696,8.645,1.199,1.529,1.75,352.164,351.796,350.686
2017-10-13 16:30:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.156,0.943,978.194,17.209,8.566,0.905,350.995,16.419,0,0.2,0.231,317.551,15.079,4.352,-1.064,72.36,0.168,4.539,13.609,23.098,977.67,976.626,975.542,19.044,19.023,18.991,8.566,8.537,8.502,0.904,1.158,1.325,349.505,348.295,348.563
2017-10-13 17:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.18,0.943,978.33,16.845,8.759,0.761,322.76,16.068,0,0,0,316.86,14.234,1.775,-1.268,66.093,0.119,4.534,13.597,23.078,977.814,976.773,975.686,18.665,18.689,18.705,8.76,8.731,8.694,0.76,0.91,1.024,321.469,326.583,328.838
2017-10-13 17:30:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.18,0.943,978.459,16.939,8.791,0.611,350.962,15.723,0,0,0,317.601,13.698,-0.115,-1.234,60.774,0.11,4.536,13.602,23.087,977.94,976.9,975.821,18.749,18.777,18.797,8.791,8.781,8.754,0.612,0.768,0.894,349.755,350.701,352.363
2017-10-13 18:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.18,0.943,978.579,16.719,8.922,0.311,1.32,15.393,0,0,0,317.784,13.154,0.479,-0.793,58.862,0.06,4.533,13.594,23.074,978.073,977.034,975.942,18.518,18.576,18.612,8.923,8.895,8.86,0.309,0.463,0.597,0.129,353.561,356.249
2017-10-13 18:30:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.18,0.943,978.581,16.349,8.813,0.441,170.793,15.055,0,0,0,317.534,12.802,-0.103,-0.97,56.604,0.074,4.526,13.574,23.042,978.057,977.013,975.926,18.145,18.252,18.369,8.812,8.773,8.711,0.441,0.451,0.368,169.329,173.453,179.423
2017-10-13 19:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.18,0.943,978.6,16.081,8.474,0.473,175.911,14.742,0,0,0,316.658,12.468,-0.809,-0.963,55.069,0.084,4.52,13.555,23.01,978.082,977.047,975.962,17.874,17.965,18.092,8.474,8.435,8.389,0.474,0.564,0.633,174.587,179.52,186.349
2017-10-13 19:30:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.18,0.943,978.608,15.698,8.22,0.314,211.726,14.422,0,0,0,315.445,12.022,0.113,-0.497,55.363,0.044,4.512,13.533,22.976,978.076,977.046,975.956,17.488,17.686,17.847,8.219,8.186,8.171,0.311,0.269,0.238,209.766,220.225,239.792
2017-10-13 20:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.18,0.943,978.632,15.225,8.138,0.132,260.916,14.108,0,0,0,314.65,11.651,0.819,-0.2,55.245,0.025,4.504,13.51,22.942,978.12,977.078,975.989,17.009,17.273,17.553,8.138,8.148,8.172,0.132,0.231,0.405,260.165,307.827,338.792
2017-10-13 20:30:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.18,0.943,978.679,15.092,8.291,0.118,235.44,13.796,0,0,0,314.57,11.413,0.482,-0.239,53.81,0.019,4.503,13.508,22.941,978.159,977.121,976.04,16.872,17.178,17.475,8.291,8.407,8.5,0.133,0.212,0.498,225.518,333.249,347.644
2017-10-13 21:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.18,0.943,978.709,15.065,8.341,0.428,197.112,13.5,0,0,0,314.823,11.335,-0.732,-0.859,51.365,0.06,4.503,13.509,22.944,978.187,977.147,976.061,16.842,17.204,17.48,8.341,8.492,8.583,0.428,0.232,0.322,195.686,228.447,291.709
2017-10-13 21:30:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.18,0.943,978.74,14.687,8.383,0.736,201.021,13.231,0,0,0,314.377,11.305,-2.26,-1.684,49.355,0.113,4.498,13.491,22.912,978.212,977.182,976.097,16.459,16.721,17.082,8.383,8.469,8.606,0.726,0.733,0.796,199.918,215.257,242.48
2017-10-13 22:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.18,0.943,978.817,14.295,8.237,0.559,192.124,12.985,0,0,0,313.397,11.022,-0.728,-1.305,50.797,0.092,4.49,13.468,22.871,978.293,977.255,976.168,16.058,16.261,16.583,8.237,8.308,8.401,0.56,0.606,0.739,191.558,205.661,234.988
2017-10-13 22:30:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.18,0.943,978.874,14.242,8.126,0.299,132.363,12.721,0,0,0,313.107,10.686,0.372,-0.563,51.209,0.038,4.488,13.462,22.857,978.361,977.324,976.234,16.001,16.181,16.34,8.126,8.19,8.239,0.299,0.172,0.108,130.925,114.543,37.689
2017-10-13 23:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.18,0.943,978.916,14.301,8.332,0.261,111.642,12.457,0,0,0,313.285,10.559,-0.075,-0.694,49.823,0.043,4.491,13.469,22.867,978.401,977.363,976.278,16.057,16.216,16.371,8.333,8.349,8.368,0.262,0.312,0.521,110.184,65.811,40.091
