DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.1,0.97,1004.096,19.987,6.867,6.067,303.627,17.246,0,0,0,0,19.667,0,0,0,0,4.571,13.726,23.304,1003.726,1002.592,1001.402,19.879,19.879,19.879,6.934,6.903,6.87,6.137,6.291,6.466,308.816,308.909,308.917
2017-10-13 12:30:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.16,0.951,1003.262,19.14,6.885,4.37,307.479,17.358,0,480.891,503.418,312.901,21.838,116.424,134.159,-56.025,0.549,4.555,13.672,23.206,1002.692,1001.631,1000.516,18.868,18.697,18.565,6.885,6.799,6.75,4.373,5.655,6.584,311.557,309.729,308.774
2017-10-13 13:00:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.16,0.951,1003.406,19.127,6.87,4.031,306,17.444,0,429.114,445.884,313.567,21.553,102.053,120.111,-38.873,0.511,4.553,13.67,23.204,1002.857,1001.794,1000.68,18.843,18.684,18.56,6.87,6.786,6.737,4.029,5.244,6.11,310.051,308.503,307.466
2017-10-13 13:30:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.16,0.951,1003.241,19.146,6.982,3.578,303.8,17.506,0,367.249,378.216,314.683,21.125,78.588,102.123,-27.701,0.462,4.555,13.673,23.209,1002.793,1001.728,1000.617,18.876,18.749,18.647,6.982,6.904,6.859,3.577,4.712,5.53,307.852,306.223,305.272
2017-10-13 14:00:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.16,0.951,1003.207,19.1,6.855,3.954,302.975,17.531,0,297.268,302.637,314.49,20.164,53.467,89.211,-8.162,0.516,4.553,13.669,23.204,1002.813,1001.749,1000.632,18.832,18.76,18.693,6.855,6.791,6.752,3.956,5.168,6.061,307.107,305.316,304.356
2017-10-13 14:30:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.16,0.951,1003.051,18.944,6.926,3.644,301.638,17.513,0,221.128,221.42,313.663,19.23,24.565,67.708,4.515,0.484,4.55,13.662,23.195,1002.784,1001.721,1000.606,18.69,18.664,18.629,6.926,6.873,6.841,3.644,4.789,5.616,305.681,303.987,302.916
2017-10-13 15:00:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.161,0.951,1003.211,18.556,7.073,3.535,300.139,17.451,0,141.323,137.59,312.28,18.03,-0.359,45.123,21.382,0.479,4.546,13.651,23.177,1002.825,1001.762,1000.644,18.288,18.308,18.308,7.074,7.036,7.011,3.536,4.64,5.462,304.192,302.587,301.565
2017-10-13 15:30:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.161,0.951,1003.191,18.056,7.232,3.705,299.582,17.341,0,63.148,57.617,310.905,16.759,-24.789,23.917,36.554,0.509,4.54,13.632,23.146,1002.84,1001.778,1000.661,17.79,17.851,17.885,7.233,7.214,7.202,3.705,4.87,5.746,303.633,301.76,300.508
2017-10-13 16:00:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.161,0.951,1003.148,17.651,7.211,3.644,301.943,17.198,0,2.426,2.045,309.57,15.832,-42.095,4.314,42.066,0.498,4.533,13.612,23.115,1002.878,1001.815,1000.7,17.39,17.48,17.542,7.211,7.207,7.203,3.637,4.824,5.724,305.86,304.114,302.827
2017-10-13 16:30:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.18,0.951,1003.532,17.569,7.164,3.398,300.906,17.044,0,0,0,309.687,15.472,-47.519,2.988,35.016,0.473,4.532,13.609,23.111,1003.002,1001.936,1000.821,17.277,17.382,17.455,7.164,7.16,7.156,3.397,4.58,5.491,304.926,302.945,301.562
2017-10-13 17:00:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.18,0.951,1004.023,17.483,7.097,3.371,299.164,16.891,0,0,0,310.595,15.306,-50.03,2.993,30.783,0.474,4.531,13.607,23.107,1003.121,1002.058,1000.943,17.149,17.259,17.335,7.097,7.094,7.092,3.371,4.522,5.405,303.228,301.225,299.941
2017-10-13 17:30:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.18,0.951,1003.971,17.335,7.154,3.773,298.486,16.751,0,0,0,310.684,15.334,-54.146,3.326,27.081,0.526,4.529,13.601,23.097,1003.145,1002.082,1000.964,17.006,17.114,17.19,7.154,7.151,7.149,3.775,4.982,5.901,302.571,300.569,299.243
2017-10-13 18:00:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.18,0.951,1003.75,17.24,7.201,3.93,299.274,16.619,0,0,0,310.238,15.285,-56.404,3.363,25.053,0.545,4.527,13.595,23.086,1003.177,1002.114,1000.998,16.93,17.038,17.116,7.201,7.198,7.196,3.917,5.189,6.161,303.428,301.341,300.081
