DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.1,0.97,985.233,20.729,7.113,1.518,185.828,15.758,0,0,0,0,22.384,0,0,0,0,4.582,13.751,23.34,984.77,983.67,982.576,22.095,22.06,21.897,7.138,7.106,7.072,1.568,1.577,1.617,190.704,190.941,191.252
2017-10-13 12:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.158,0.932,986.133,21.798,7.461,0.704,186.932,16.043,0,501.954,503.363,322.697,25.892,77.709,53.232,-168.794,0.134,4.6,13.795,23.4,985.521,984.475,983.237,22.979,22.493,22.106,7.462,7.252,7.173,0.703,1.148,1.414,189.952,184.075,181.297
2017-10-13 13:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.157,0.932,986.159,22.121,7.581,1.047,151.496,16.287,0,450.526,451.796,325.741,26.159,90.041,51.076,-116.94,0.185,4.605,13.812,23.429,985.595,984.548,983.454,23.3,22.83,22.449,7.581,7.391,7.307,1.047,1.564,1.868,154.636,162.103,164.566
2017-10-13 13:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.157,0.932,986.257,22.059,7.65,1.188,163.063,16.476,0,388.456,389.562,327.404,25.622,85.124,46.058,-79.423,0.224,4.605,13.813,23.43,985.69,984.647,983.556,23.228,22.809,22.448,7.65,7.49,7.418,1.188,1.793,2.142,166.231,169.97,171.23
2017-10-13 14:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.157,0.932,986.098,21.786,7.956,1.275,165.289,16.615,0,318.157,319.082,327.441,24.674,72.911,38.241,-45.841,0.251,4.603,13.808,23.427,985.597,984.552,983.458,22.968,22.655,22.35,7.956,7.836,7.781,1.276,1.994,2.464,168.434,171.9,172.76
2017-10-13 14:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.157,0.932,986.177,21.006,8.496,1.512,184.591,16.7,0,240.539,241.264,327.664,23.114,61.944,29.343,-9.289,0.314,4.594,13.784,23.391,985.672,984.628,983.531,22.178,21.949,21.717,8.495,8.404,8.359,1.51,2.453,3.096,187.79,186.714,186.019
2017-10-13 15:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.157,0.932,986.381,20.493,8.854,1.519,162.027,16.725,0,159.419,159.934,326.548,21.621,38.407,18.958,17.887,0.305,4.59,13.771,23.371,985.732,984.685,983.591,21.645,21.521,21.373,8.854,8.793,8.758,1.52,2.434,3.096,165.17,170.856,173.086
2017-10-13 15:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.158,0.932,986.226,19.824,8.559,1.275,171.596,16.686,0,78.696,78.991,324.033,19.762,13.615,8.927,43.304,0.268,4.576,13.733,23.311,985.801,984.755,983.661,20.987,20.959,20.894,8.559,8.511,8.478,1.274,2.082,2.678,174.831,178.571,179.633
2017-10-13 16:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.158,0.932,986.409,19.356,8.69,0.92,182.636,16.535,0,10.509,10.575,321.869,17.433,1.618,-0.904,68.36,0.2,4.57,13.716,23.285,985.8,984.749,983.656,20.501,20.498,20.497,8.69,8.681,8.673,0.92,1.52,1.976,185.767,186.251,185.569
2017-10-13 16:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.18,0.932,986.566,18.669,8.793,0.602,157.471,16.266,0,0,0,319.199,15.92,0.327,-1.17,70.245,0.115,4.561,13.689,23.241,985.833,984.784,983.691,19.798,19.837,19.878,8.793,8.798,8.799,0.603,0.894,1.15,160.711,172.093,175.369
2017-10-13 17:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.18,0.932,986.459,17.982,8.863,0.209,111.037,15.97,0,0,0,317.859,14.87,1.883,-0.365,68.482,0.03,4.55,13.657,23.187,985.898,984.849,983.754,19.118,19.196,19.256,8.863,8.862,8.858,0.209,0.192,0.312,113.733,156.816,184.165
2017-10-13 17:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.18,0.932,986.469,17.465,8.848,0.529,60.241,15.676,0,0,0,317.186,14.338,0.212,-0.922,64.284,0.08,4.542,13.633,23.151,986.005,984.958,983.863,18.597,18.77,18.972,8.848,8.881,8.92,0.529,0.596,0.663,63.4,48.552,26.932
2017-10-13 18:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.18,0.932,986.54,17.27,8.932,0.349,332.131,15.391,0,0,0,316.701,13.778,-0.354,-0.74,61.528,0.063,4.539,13.624,23.131,986.088,985.041,983.945,18.396,18.486,18.574,8.933,8.916,8.903,0.35,0.541,0.752,335.16,335.887,338.913
2017-10-13 18:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.18,0.932,986.622,16.465,8.551,0.989,37.047,15.119,0,0,0,315.12,13.642,-7.946,-1.607,53.996,0.173,4.524,13.579,23.057,986.073,985.025,983.929,17.58,17.711,17.849,8.549,8.547,8.537,0.988,1.437,1.822,40.185,33.916,30.738
