DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.1,0.97,983.417,20.666,7.416,2.037,178.859,15.888,0,0,0,0,21.477,0,0,0,0,4.586,13.759,23.355,983.035,981.916,980.775,22.271,22.271,22.19,7.473,7.44,7.403,2.035,2.035,2.052,183.785,183.977,184.17
2017-10-13 12:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.159,0.948,983.917,20.955,7.484,1.08,181.763,16.146,0,501.056,496.044,321.099,24.544,65.877,107.704,-121.143,0.149,4.588,13.759,23.341,983.306,982.261,981.17,22.321,21.97,21.739,7.484,7.214,7.091,1.08,1.522,1.768,184.862,182.018,180.366
2017-10-13 13:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.158,0.948,983.886,21.381,7.394,1.273,192.723,16.365,0,450.248,443.016,323.113,24.42,63.13,101.378,-88.763,0.178,4.594,13.777,23.374,983.289,982.248,981.154,22.752,22.442,22.229,7.394,7.16,7.052,1.273,1.698,1.912,195.848,191.107,188.17
2017-10-13 13:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.158,0.948,984.059,21.229,7.375,1.597,215.768,16.533,0,388.738,379.613,323.453,23.57,57.361,90.005,-58.305,0.204,4.592,13.772,23.366,983.404,982.36,981.272,22.584,22.33,22.144,7.375,7.187,7.099,1.596,2.087,2.364,218.894,215.572,214.437
2017-10-13 14:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.158,0.948,983.824,21.353,7.643,1.451,200.794,16.654,0,318.556,307.982,324.28,22.815,38.028,72.894,-40.203,0.211,4.595,13.784,23.391,983.266,982.218,981.128,22.729,22.574,22.439,7.643,7.484,7.403,1.452,1.982,2.302,203.957,200.073,197.47
2017-10-13 14:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.158,0.948,983.879,21.041,7.472,1.478,193.981,16.72,0,241.387,229.999,323.903,21.511,22.26,56.035,-14.857,0.227,4.589,13.766,23.365,983.327,982.285,981.192,22.41,22.331,22.239,7.473,7.369,7.323,1.477,2.021,2.363,197.157,194.218,192.912
2017-10-13 15:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.159,0.948,983.725,20.351,8.466,1.868,214.682,16.734,0,159.493,148.291,325.512,20.078,11.697,34.955,12.12,0.261,4.585,13.755,23.347,983.381,982.335,981.244,21.728,21.703,21.649,8.468,8.422,8.402,1.871,2.502,2.914,217.876,215.573,213.665
2017-10-13 15:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.159,0.948,984.178,19.918,8.714,1.406,193.588,16.687,0,78.613,69.269,325.5,18.229,0.807,8.791,30.743,0.236,4.581,13.744,23.331,983.486,982.441,981.348,21.256,21.279,21.273,8.714,8.691,8.676,1.406,1.905,2.268,196.713,194.24,192.57
2017-10-13 16:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.159,0.948,984.26,19.349,8.844,1.122,198.048,16.522,0,10.562,7.113,323.012,15.579,-4.373,-2.373,54.06,0.19,4.573,13.722,23.295,983.53,982.484,981.388,20.677,20.736,20.763,8.844,8.853,8.858,1.121,1.544,1.845,201.273,199.498,197.803
2017-10-13 16:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,984.006,18.484,8.808,0.523,224.082,16.256,0,0,0,320.18,13.954,0.004,-1.658,59.202,0.076,4.558,13.677,23.219,983.6,982.556,981.461,19.829,19.884,19.923,8.808,8.816,8.822,0.523,0.717,0.871,227.414,229.288,228.01
2017-10-13 17:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,984.078,17.92,8.514,0.343,304.944,15.97,0,0,0,318.602,13.202,0.032,-1.125,57.463,0.055,4.547,13.645,23.166,983.657,982.611,981.523,19.258,19.353,19.444,8.513,8.508,8.499,0.363,0.52,0.705,305.837,291.248,279.699
2017-10-13 17:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,984.126,17.614,8.322,0.495,301.571,15.68,0,0,0,317.58,12.808,-1.886,-1.471,54.225,0.08,4.541,13.628,23.139,983.717,982.674,981.58,18.946,19.107,19.262,8.322,8.33,8.338,0.495,0.73,1.005,304.645,290.854,279.552
2017-10-13 18:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,984.399,17.338,8.321,0.468,336.307,15.395,0,0,0,316.701,12.367,-2.107,-1.396,52.698,0.072,4.537,13.617,23.121,983.823,982.778,981.684,18.645,18.81,18.914,8.321,8.344,8.36,0.468,0.673,0.906,339.497,320.591,309.535
2017-10-13 18:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,984.364,16.976,8.339,0.957,54.447,15.119,0,0,0,315.886,12.37,-7.502,-2.604,47.048,0.139,4.532,13.6,23.093,983.784,982.743,981.648,18.285,18.441,18.609,8.339,8.361,8.385,0.958,1.206,1.449,57.585,57.861,56.702
2017-10-13 19:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,984.646,16.526,8.328,1.167,36.647,14.878,0,0,0,313.079,12.245,-11.219,-3.307,44.735,0.174,4.525,13.58,23.057,983.933,982.883,981.792,17.808,17.931,18.008,8.328,8.337,8.341,1.169,1.559,1.846,39.871,38.587,37.556
2017-10-13 19:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,984.661,15.896,8.3,0.952,36.236,14.634,0,0,0,309.573,11.65,-6.869,-3.048,49.683,0.141,4.515,13.549,23.004,984.076,983.032,981.939,17.175,17.29,17.368,8.3,8.31,8.315,0.952,1.237,1.462,39.464,36.996,35.663
2017-10-13 20:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,984.754,15.53,8.259,0.968,53.381,14.376,0,0,0,308.915,11.367,-7.167,-3.134,48.558,0.144,4.509,13.53,22.971,984.298,983.252,982.156,16.8,16.919,17.003,8.259,8.272,8.278,0.968,1.294,1.545,56.598,56.789,55.894
2017-10-13 20:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,985.021,15.126,8.201,0.706,56.517,14.126,0,0,0,306.277,10.819,-3.867,-2.528,52.196,0.109,4.502,13.511,22.939,984.506,983.459,982.366,16.371,16.471,16.534,8.201,8.213,8.219,0.705,1.006,1.23,59.608,62.795,63.963
2017-10-13 21:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,985.047,14.873,8.077,0.485,26.913,13.863,0,0,0,306.593,10.389,-1.8,-1.704,52.63,0.076,4.497,13.495,22.913,984.612,983.563,982.47,16.115,16.231,16.323,8.077,8.086,8.089,0.485,0.664,0.865,30.209,30.691,32.75
2017-10-13 21:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,985.512,14.544,7.987,0.176,25.88,13.579,0,0,0,307.325,9.964,-0.005,-0.64,52.687,0.03,4.492,13.483,22.895,984.805,983.756,982.663,15.746,15.948,16.125,7.987,7.992,7.985,0.176,0.318,0.506,28.846,45.733,48.388
2017-10-13 22:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,985.483,14.34,7.87,0.296,344.519,13.304,0,0,0,305.549,9.769,-0.595,-1.082,52.397,0.05,4.488,13.469,22.872,985.001,983.956,982.864,15.543,15.789,15.984,7.87,7.876,7.868,0.295,0.412,0.59,347.938,5.999,20.764
2017-10-13 22:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,985.8,14.132,7.801,0.086,36.842,13.021,0,0,0,304.192,9.367,0.234,-0.416,53.166,0.018,4.485,13.46,22.858,985.176,984.132,983.038,15.308,15.561,15.786,7.801,7.798,7.784,0.086,0.221,0.448,40.1,61.424,64.017
2017-10-13 23:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,985.865,13.94,7.73,0.19,176.226,12.737,0,0,0,302.633,9.153,0.064,-0.647,53.195,0.028,4.481,13.448,22.837,985.38,984.332,983.242,15.11,15.341,15.536,7.73,7.727,7.712,0.191,0.167,0.179,179.328,171.113,124.261
2017-10-13 23:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,986.02,13.696,7.67,0.186,233.946,12.474,0,0,0,301.007,8.892,0.221,-0.617,53.652,0.025,4.476,13.435,22.814,985.554,984.506,983.414,14.852,15.081,15.265,7.67,7.671,7.659,0.187,0.226,0.178,237.481,228.22,185.594
2017-10-14 00:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,986.37,13.539,7.607,0.157,146.347,12.21,0,0,0,299.999,8.663,0.321,-0.546,53.659,0.022,4.474,13.428,22.803,985.716,984.67,983.571,14.664,14.888,15.045,7.607,7.608,7.604,0.159,0.174,0.205,149.602,167.274,151.231
2017-10-14 00:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,986.078,13.225,7.568,0.242,255.714,11.946,0,0,0,298.381,8.487,0.246,-0.899,53.947,0.037,4.469,13.412,22.775,985.616,984.567,983.474,14.375,14.586,14.751,7.567,7.573,7.568,0.242,0.269,0.211,259.07,249.961,236.278
2017-10-14 01:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,986.131,13.092,7.515,0.128,109.166,11.683,0,0,0,297.436,8.179,0.746,-0.367,54.339,0.014,4.467,13.406,22.765,985.604,984.556,983.463,14.236,14.475,14.647,7.515,7.521,7.525,0.13,0.08,0.255,112.854,235.992,263.917
2017-10-14 01:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,986.264,12.789,7.479,0.128,129.766,11.427,0,0,0,295.822,7.964,0.886,-0.468,54.889,0.018,4.462,13.392,22.742,985.735,984.692,983.594,13.921,14.183,14.385,7.479,7.5,7.512,0.126,0.15,0.186,132.345,168.173,200.845
2017-10-14 02:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,986.37,12.648,7.482,0.205,346.879,11.167,0,0,0,294.665,7.833,0.583,-0.848,54.687,0.032,4.46,13.385,22.73,985.88,984.836,983.737,13.77,14.015,14.219,7.482,7.505,7.524,0.205,0.261,0.334,349.866,331.62,323.004
2017-10-14 02:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,986.455,12.498,7.499,0.181,9.839,10.924,0,0,0,294.458,7.687,0.596,-0.88,54.168,0.033,4.458,13.379,22.72,985.939,984.891,983.796,13.613,13.862,14.063,7.499,7.529,7.55,0.18,0.296,0.456,13.392,349.726,340.929
2017-10-14 03:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,986.525,12.342,7.467,0.201,321.429,10.682,0,0,0,293.189,7.494,0.68,-0.893,54.508,0.032,4.455,13.371,22.707,985.997,984.952,983.857,13.45,13.702,13.913,7.467,7.465,7.435,0.201,0.32,0.479,324.447,333.493,344.773
2017-10-14 03:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,986.612,12.294,7.3,0.279,323.862,10.44,0,0,0,291.942,7.352,0.342,-1.12,54.429,0.041,4.454,13.366,22.696,986.047,985.004,983.909,13.395,13.64,13.828,7.299,7.266,7.181,0.279,0.364,0.444,327.034,328.566,348.317
2017-10-14 04:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,986.626,12.223,7.094,0.189,297.684,10.199,0,0,0,290.476,7.093,0.533,-0.807,55.032,0.03,4.451,13.358,22.684,986.089,985.038,983.948,13.323,13.569,13.751,7.093,7.065,6.995,0.188,0.294,0.345,300.755,305.419,329.245
2017-10-14 04:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,986.66,12.115,6.979,0.091,356.366,9.957,0,0,0,289.441,6.843,0.891,-0.446,55.491,0.016,4.449,13.352,22.673,986.121,985.077,983.981,13.211,13.467,13.648,6.979,6.95,6.904,0.092,0.177,0.237,359.522,316.57,326.686
2017-10-14 05:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.18,0.948,986.702,11.892,6.899,0.14,39.752,9.715,0,0,0,288.186,6.669,1.026,-0.538,55.905,0.019,4.445,13.34,22.653,986.182,985.134,984.042,12.984,13.248,13.466,6.899,6.862,6.798,0.141,0.156,0.253,42.754,34.78,33.593
2017-10-14 05:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.159,0.948,986.786,11.709,6.804,0.097,188.871,9.477,0,3.561,5.325,286.894,6.669,1.454,-0.377,53.352,0.014,4.441,13.329,22.632,986.27,985.22,984.126,12.793,12.984,13.157,6.804,6.78,6.742,0.098,0.088,0.065,192.431,195.612,134.67
2017-10-14 06:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.159,0.948,986.895,11.814,6.792,0.249,188.767,9.378,0,67.992,78.72,286.1,9.869,4.554,0.037,12.722,0.042,4.443,13.332,22.631,986.362,985.314,984.218,12.891,12.904,12.914,6.792,6.793,6.801,0.248,0.338,0.393,192.08,196.526,184.667
2017-10-14 06:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.159,0.948,986.875,12.272,7.109,0.369,149.31,9.484,0,149.126,163.185,286.477,12.84,14.443,10.805,-22.396,0.042,4.453,13.357,22.668,986.318,985.272,984.176,13.352,13.192,13.098,7.11,7.055,7.04,0.368,0.476,0.532,152.47,157.217,159.131
2017-10-14 07:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.158,0.948,986.901,13.001,7.405,0.387,148.678,9.704,0,231.617,246.982,287.806,15.245,31.986,23.608,-50.924,0.03,4.466,13.394,22.724,986.353,985.306,984.211,14.082,13.753,13.573,7.405,7.279,7.227,0.387,0.467,0.502,151.827,148.702,145.965
2017-10-14 07:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.158,0.948,986.905,13.895,7.642,0.392,137.531,10.005,0,310.222,325.752,290.089,17.512,49.533,37.647,-75.36,0.03,4.482,13.438,22.796,986.38,985.332,984.235,14.979,14.533,14.285,7.642,7.468,7.397,0.392,0.46,0.485,140.682,133.181,128.262
2017-10-14 08:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.158,0.948,986.894,14.814,7.983,0.39,140.446,10.371,0,381.703,396.607,293.4,19.666,65.939,51.692,-95.601,0.065,4.498,13.487,22.877,986.387,985.338,984.244,15.903,15.383,15.085,7.983,7.793,7.722,0.391,0.479,0.506,143.57,137.125,132.748
2017-10-14 08:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.158,0.948,986.897,15.693,8.463,0.715,153.675,10.786,0,444.134,457.828,296.758,21.527,90.174,63.993,-103.012,0.067,4.515,13.537,22.958,986.385,985.339,984.24,16.784,16.185,15.828,8.464,8.279,8.206,0.715,0.855,0.897,156.896,152.966,150.072
2017-10-14 09:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.159,0.948,986.895,16.606,8.912,0.86,148.033,11.236,0,495.847,507.874,300.259,23.068,112.021,75.271,-106.13,0.083,4.533,13.588,23.041,986.353,985.458,984.207,17.701,17.003,16.595,8.913,8.716,8.634,0.861,1.063,1.149,151.168,148.474,146.998
2017-10-14 09:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.159,0.948,986.874,17.426,9.107,0.935,143.203,11.698,0,535.707,545.709,303.5,24.278,128.692,85.915,-106.584,0.09,4.547,13.629,23.108,986.326,985.273,984.177,18.526,17.761,17.322,9.107,8.894,8.803,0.935,1.197,1.312,146.383,146.264,146.363
2017-10-14 10:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.159,0.948,986.795,18.097,9.119,0.986,158.221,12.162,0,563.123,570.836,305.96,25.121,140.896,95.116,-103.508,0.113,4.557,13.66,23.16,986.244,985.195,984.101,19.206,18.403,17.945,9.119,8.897,8.8,0.985,1.279,1.412,161.383,159.841,159.467
2017-10-14 10:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.159,0.948,986.691,18.858,9.184,1.03,157.623,12.623,0,576.98,582.208,309.289,25.854,147.069,101.628,-99.067,0.119,4.57,13.697,23.222,986.127,985.08,983.986,19.979,19.179,18.714,9.184,8.964,8.864,1.03,1.353,1.511,160.754,158.868,158.324
2017-10-14 11:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.159,0.948,986.627,19.204,9.199,1.135,181.885,13.069,0,577.024,579.654,312.049,26.026,151.664,105.024,-90.459,0.149,4.575,13.713,23.25,986.068,985.02,983.925,20.331,19.542,19.082,9.199,8.99,8.897,1.135,1.484,1.65,185.142,181.317,179.663
2017-10-14 11:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.159,0.948,986.57,19.522,9.311,1.114,181.987,13.49,0,563.623,563.625,313.971,26.127,144.846,103.167,-87.11,0.146,4.581,13.731,23.281,986.025,984.975,983.882,20.655,19.901,19.464,9.311,9.104,9.015,1.113,1.459,1.639,185.137,179.506,177.077
2017-10-14 12:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.159,0.948,986.552,19.75,9.304,1.408,182.148,13.886,0,536.6,534.024,316.374,25.679,142.051,102.002,-71.306,0.2,4.584,13.742,23.304,985.994,984.947,983.851,20.885,20.224,19.812,9.304,9.115,9.028,1.409,1.856,2.095,185.271,180.884,178.866
2017-10-14 12:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.159,0.948,986.599,20.007,9.469,1.274,175.714,14.238,0,497.218,492.198,317.822,25.465,123.233,93.037,-66.988,0.18,4.589,13.759,23.333,986.037,984.987,983.891,21.139,20.535,20.154,9.469,9.288,9.205,1.274,1.725,1.973,178.819,175.861,174.377
2017-10-14 13:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.158,0.948,986.633,20,9.552,1.307,177.579,14.556,0,445.413,438.187,319.962,24.789,107.429,82.819,-54.019,0.187,4.589,13.761,23.34,986.062,985.016,983.915,21.129,20.605,20.265,9.552,9.388,9.313,1.307,1.752,2,180.701,178.079,176.607
2017-10-14 13:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.158,0.948,986.653,19.989,9.632,1.28,155.402,14.827,0,383.066,373.972,321.947,23.994,87.091,69.301,-40.873,0.17,4.589,13.762,23.344,986.095,985.048,983.952,21.116,20.666,20.37,9.632,9.482,9.412,1.28,1.71,1.95,158.515,158.709,158.675
2017-10-14 14:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.158,0.948,986.717,19.815,9.711,1.324,144.068,15.047,0,312.265,301.764,322.683,22.843,66.679,54.186,-23.454,0.166,4.587,13.757,23.339,986.144,985.096,983.997,20.936,20.582,20.338,9.711,9.584,9.524,1.324,1.756,2,147.226,148.187,148.744
