DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.1,0.97,994.579,18.4,7.696,3.592,289.186,15.742,0,0,0,0,18.964,0,0,0,0,4.55,13.663,23.198,994.22,993.087,991.899,19.08,19.08,19.08,7.769,7.734,7.697,3.579,3.579,3.581,290.805,290.805,290.908
2017-10-13 12:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.161,0.94,992.727,18.453,7.898,2.304,288.326,15.93,0,490.21,489.784,312.257,22.503,132.833,75.452,-85.398,0.385,4.549,13.653,23.166,992.104,991.051,989.947,19.063,18.668,18.362,7.898,7.787,7.739,2.308,3.465,4.246,290.528,287.686,286.371
2017-10-13 13:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.161,0.94,992.567,18.642,7.896,2.647,292.061,16.081,0,442.567,441.897,313.494,22.144,127.937,71.153,-58.026,0.436,4.552,13.662,23.182,991.98,990.925,989.818,19.265,18.921,18.644,7.895,7.793,7.743,2.648,3.938,4.822,294.299,291.072,289.516
2017-10-13 13:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.161,0.94,992.59,18.642,7.935,2.664,295.134,16.202,0,384.852,383.969,312.858,21.675,112.415,62.434,-36.11,0.43,4.552,13.665,23.188,991.973,990.918,989.817,19.262,18.961,18.711,7.935,7.845,7.802,2.663,3.918,4.778,297.356,294.241,292.688
2017-10-13 14:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.16,0.94,992.608,18.47,7.514,2.705,293.856,16.283,0,318.386,317.333,310.088,20.75,88.551,54.301,-15.167,0.44,4.547,13.65,23.166,992.001,990.947,989.7,19.088,18.861,18.656,7.515,7.438,7.4,2.705,3.953,4.807,296.047,293.22,291.808
2017-10-13 14:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.16,0.94,992.519,18.29,7.769,2.306,289.35,16.321,0,243.896,242.739,310.069,19.928,60.106,39.997,-0.244,0.386,4.546,13.647,23.163,991.959,990.908,989.802,18.916,18.751,18.586,7.768,7.695,7.657,2.306,3.417,4.194,291.568,288.778,287.477
2017-10-13 15:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.161,0.94,992.53,17.968,7.74,2.229,293.494,16.314,0,164.715,163.549,309.762,18.679,32.743,27.28,19.288,0.365,4.541,13.633,23.143,991.995,990.939,989.84,18.592,18.517,18.419,7.74,7.689,7.661,2.228,3.254,3.98,295.714,292.702,291.176
2017-10-13 15:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.161,0.94,992.582,17.605,7.663,2.034,292.367,16.248,0,85.563,84.55,307.883,17.228,6.855,13.886,39.858,0.343,4.535,13.617,23.119,992.014,990.953,989.855,18.224,18.246,18.223,7.663,7.617,7.584,2.034,3.033,3.772,294.65,291.603,290.196
2017-10-13 16:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.162,0.94,992.647,16.896,7.725,1.647,303.613,16.101,0,16.022,15.544,306.16,15.226,-7.127,1.058,61.579,0.265,4.524,13.587,23.073,992.083,991.027,989.925,17.507,17.648,17.736,7.725,7.707,7.688,1.647,2.368,2.919,305.834,302.78,301.067
2017-10-13 16:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,992.677,16.343,7.507,1.482,300.582,15.851,0,0,0,304.527,13.849,-10.949,-1.363,62.683,0.249,4.514,13.558,23.025,992.12,991.07,989.967,16.951,17.148,17.305,7.507,7.499,7.49,1.483,2.185,2.729,302.806,299.273,297.44
2017-10-13 17:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,992.799,15.833,7.474,1.726,307.962,15.601,0,0,0,302.761,13.534,-17.554,-0.529,57.054,0.273,4.506,13.535,22.989,992.21,991.156,990.196,16.429,16.677,16.875,7.474,7.471,7.468,1.726,2.479,3.044,310.206,307.702,305.842
2017-10-13 17:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,992.866,15.111,7.489,1.813,311.993,15.379,0,0,0,300.166,13.113,-18.576,-0.33,56.623,0.281,4.495,13.503,22.934,992.313,991.256,990.155,15.7,15.962,16.166,7.489,7.484,7.478,1.815,2.6,3.151,314.189,314.285,313.671
2017-10-13 18:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,992.971,14.758,7.342,2,311.148,15.159,0,0,0,298.531,12.863,-23.381,0.201,52.67,0.31,4.489,13.483,22.902,992.429,991.376,990.274,15.339,15.617,15.842,7.342,7.33,7.316,1.999,2.894,3.533,313.349,313.556,312.913
2017-10-13 18:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,992.868,14.365,7.23,1.209,277.244,14.919,0,0,0,296.984,11.846,-9.973,-2.074,60.067,0.228,4.481,13.46,22.86,992.342,991.286,990.182,14.954,15.146,15.315,7.23,7.23,7.227,1.209,1.916,2.487,279.336,288.137,291.517
2017-10-13 19:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,993.017,14.098,7.221,1.245,236.205,14.633,0,0,0,295.975,11.391,-9.889,-2.213,58.723,0.2,4.478,13.447,22.833,992.505,991.446,990.347,14.673,14.777,14.857,7.221,7.225,7.224,1.246,1.729,2.086,238.43,246.645,251.795
2017-10-13 19:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,993.284,13.508,7.271,1.464,242.791,14.37,0,0,0,294.928,11.288,-11.782,-2.562,57.041,0.243,4.468,13.42,22.789,992.682,991.626,990.38,14.06,14.161,14.245,7.271,7.277,7.277,1.464,2.049,2.498,245.002,246.959,248.884
2017-10-13 20:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,993.438,12.791,7.327,1.554,247.693,14.128,0,0,0,293.377,11.099,-11.302,-2.863,57.838,0.265,4.458,13.387,22.734,992.838,991.781,990.679,13.329,13.434,13.521,7.327,7.334,7.338,1.554,2.196,2.717,249.898,252.132,253.791
2017-10-13 20:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,993.637,12.81,7.24,1.516,251.632,13.905,0,0,0,293.544,10.838,-12.837,-2.87,54.838,0.264,4.458,13.388,22.737,992.995,991.941,990.838,13.332,13.47,13.588,7.24,7.246,7.248,1.516,2.135,2.645,253.832,256.504,258.503
2017-10-13 21:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,993.711,12.552,7.142,1.583,251.545,13.67,0,0,0,293.248,10.717,-13.739,-2.646,53.87,0.275,4.453,13.373,22.709,993.154,992.102,990.999,13.067,13.201,13.315,7.142,7.148,7.152,1.584,2.236,2.741,253.75,256.024,257.819
2017-10-13 21:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,993.786,12.212,7.077,1.696,254.098,13.467,0,0,0,292.593,10.653,-14.653,-2.23,53.7,0.298,4.447,13.356,22.681,993.262,992.205,991.103,12.72,12.861,12.984,7.077,7.085,7.092,1.696,2.434,2.99,256.303,258.679,260.448
2017-10-13 22:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,993.968,11.928,7.015,1.536,251.172,13.265,0,0,0,291.179,10.273,-11.455,-2.896,55.7,0.268,4.442,13.341,22.656,993.358,992.304,991.201,12.421,12.547,12.655,7.015,7.025,7.031,1.534,2.195,2.702,253.342,256.641,259.283
2017-10-13 22:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,994.068,11.674,6.971,0.408,233.399,13.005,0,0,0,290.06,9.096,0.334,-1.12,64.42,0.083,4.438,13.327,22.629,993.522,992.47,991.364,12.158,12.199,12.244,6.971,6.98,6.985,0.406,0.84,1.205,235.512,246.868,251.119
2017-10-13 23:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,994.167,11.292,6.892,0.738,204.388,12.697,0,0,0,289.086,8.926,-0.251,-1.721,63.393,0.117,4.431,13.306,22.592,993.654,992.6,991.499,11.767,11.774,11.785,6.892,6.901,6.906,0.739,0.953,1.096,206.628,207.733,210.657
2017-10-13 23:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,994.346,10.84,6.786,0.983,221.4,12.424,0,0,0,288.426,8.845,-1.006,-2.245,62.41,0.151,4.424,13.284,22.554,993.752,992.697,991.592,11.3,11.322,11.339,6.786,6.797,6.804,0.983,1.32,1.57,223.654,223.244,223.793
2017-10-14 00:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,994.4,10.737,6.728,0.916,240.627,12.161,0,0,0,288.445,8.659,-1.196,-2.182,61.37,0.154,4.422,13.278,22.545,993.845,992.79,991.688,11.193,11.231,11.265,6.728,6.74,6.749,0.916,1.334,1.66,242.819,243.568,244.197
2017-10-14 00:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,994.35,10.556,6.665,0.958,239.345,11.898,0,0,0,288.033,8.504,-1.155,-2.256,60.989,0.156,4.418,13.268,22.528,993.848,992.794,991.689,11.016,11.048,11.076,6.665,6.676,6.684,0.958,1.344,1.652,241.639,241.969,242.762
2017-10-14 01:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,994.314,10.336,6.631,1.136,243.238,11.668,0,0,0,288.327,8.533,-2.317,-2.732,59.261,0.19,4.415,13.257,22.511,993.769,992.715,991.61,10.798,10.854,10.913,6.631,6.646,6.66,1.136,1.565,1.906,245.451,249.074,251.579
2017-10-14 01:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,994.36,10.391,6.672,0.931,250.916,11.445,0,0,0,288.732,8.307,-1.469,-2.365,58.977,0.162,4.416,13.26,22.517,993.799,992.746,991.641,10.85,10.91,10.986,6.672,6.691,6.709,0.93,1.292,1.608,253.135,258.593,262.412
2017-10-14 02:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.18,0.94,994.432,10.383,6.708,0.666,249.344,11.204,0,0,0,289.136,8.019,0.407,-1.721,59.7,0.115,4.416,13.26,22.515,993.88,992.826,991.869,10.836,10.862,10.9,6.708,6.724,6.735,0.666,0.928,1.147,251.553,258.908,264.32
