DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.1,0.97,958.572,16.657,4.946,0.386,357.389,14.928,0,0,0,0,21.207,0,0,0,0,4.579,13.744,23.331,962.9,961.808,960.68,25.455,25.455,25.455,7.018,6.987,6.955,0.238,0.238,0.238,357.822,357.822,357.822
2017-10-13 12:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.159,0.941,957.199,22.267,5.913,0.443,343.05,15.261,0,533.725,525.786,309.03,25.653,49.488,98.548,-157.901,0.05,4.592,13.774,23.368,956.628,955.619,954.559,25.983,25.644,25.444,5.913,5.601,5.495,0.447,0.843,1.04,343.001,331.268,327.217
2017-10-13 13:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.159,0.941,957.008,22.806,6.213,0.146,117.058,15.555,0,487.716,481.187,311.334,26.162,46.236,92.922,-128.825,0.089,4.602,13.804,23.416,956.464,955.45,954.392,26.545,26.187,25.942,6.213,5.854,5.69,0.146,0.443,0.633,116.711,144.352,148.346
2017-10-13 13:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.159,0.941,956.916,22.811,6.228,0.325,208.014,15.806,0,430.831,425.802,311.432,25.841,43.768,81.254,-98.729,0.059,4.602,13.803,23.412,956.43,955.416,954.364,26.559,26.16,25.919,6.227,5.775,5.576,0.348,0.454,0.532,205.499,212.583,212.116
2017-10-13 14:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.158,0.941,956.915,22.766,5.982,0.615,218.487,15.995,0,364.134,360.603,311.594,24.86,37.296,70.23,-67.521,0.068,4.599,13.796,23.404,956.486,955.471,954.416,26.513,26.21,25.995,5.982,5.613,5.449,0.616,0.848,0.976,218.424,219.143,218.317
2017-10-13 14:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.158,0.941,957.055,22.95,5.758,1.061,68.76,16.141,0,288.077,286.033,314.661,23.553,28.228,63.578,-31.464,0.173,4.6,13.801,23.42,956.549,955.54,954.484,26.683,26.498,26.328,5.762,5.634,5.632,1.075,1.588,2.104,68.599,71.927,74.584
2017-10-13 15:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.159,0.941,957.169,21.136,7.25,2.363,70.665,16.186,0,205.25,204.579,317.296,21.27,23.735,55.331,9.088,0.412,4.581,13.749,23.337,956.713,955.698,954.64,24.839,24.789,24.714,7.25,7.174,7.138,2.36,3.41,4.273,70.636,73.294,75.042
2017-10-13 15:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.159,0.941,957.736,19.277,8.039,3.104,57.372,16.164,0,122.013,122.429,315.374,19.211,18.799,36.187,44.449,0.499,4.558,13.68,23.221,957.152,956.131,955.068,22.905,22.868,22.808,8.04,8.003,7.986,3.105,4.343,5.318,57.314,60.508,63.041
2017-10-13 16:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.16,0.941,957.968,18.284,8.233,2.795,55.93,16.081,0,43.814,44.706,313.345,17.392,-5.946,14.607,55.361,0.451,4.544,13.638,23.151,957.447,956.427,955.364,21.881,21.913,21.909,8.233,8.213,8.202,2.793,3.948,4.864,55.897,57.511,59.267
2017-10-13 16:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.187,0.941,958.318,17.691,8.206,1.529,53.978,15.926,0,0,0,312.647,15.097,-7.484,-1.119,63.905,0.261,4.534,13.609,23.103,957.818,956.806,955.74,21.25,21.307,21.33,8.206,8.203,8.2,1.526,2.217,2.818,53.977,58.47,61.636
2017-10-13 17:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.187,0.941,958.629,17.281,8.113,1.018,68.518,15.667,0,0,0,312.211,14.06,-4.421,-1.817,61.309,0.188,4.526,13.586,23.065,958.162,957.154,956.082,20.808,20.852,20.869,8.113,8.116,8.116,1.018,1.504,1.937,68.446,72.01,73.951
2017-10-13 17:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.187,0.941,958.939,16.728,8.051,1.173,57.523,15.404,0,0,0,311.017,13.572,-7.255,-1.856,57.172,0.2,4.517,13.56,23.02,958.47,957.457,956.385,20.22,20.289,20.324,8.051,8.054,8.054,1.174,1.669,2.097,57.517,61.108,63.517
2017-10-13 18:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.187,0.941,959.175,15.956,8.026,1.589,56.724,15.17,0,0,0,309.441,13.435,-12.926,-1.317,52.986,0.266,4.505,13.522,22.956,958.728,957.711,956.652,19.418,19.5,19.54,8.026,8.028,8.029,1.592,2.183,2.673,56.775,59.757,62.196
2017-10-13 18:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.187,0.941,959.294,15.418,8.001,1.148,47.877,14.933,0,0,0,307.941,12.613,-6.023,-2.039,56.461,0.183,4.496,13.496,22.912,958.809,957.796,956.738,18.865,18.925,18.954,8.001,8.006,8.008,1.135,1.517,1.813,48.541,55.491,60.589
2017-10-13 19:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.187,0.941,959.467,15.161,7.974,0.681,80.782,14.67,0,0,0,307.323,11.941,-2.181,-1.602,57.867,0.128,4.492,13.484,22.891,958.968,957.956,956.89,18.589,18.656,18.701,7.974,7.981,7.982,0.681,0.988,1.277,80.997,74.374,70.638
2017-10-13 19:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.187,0.941,959.696,14.728,7.895,0.944,150.522,14.406,0,0,0,306.611,11.67,-3.62,-1.849,55.575,0.143,4.485,13.463,22.857,959.147,958.13,957.062,18.13,18.233,18.336,7.895,7.901,7.904,0.944,1.01,1.014,150.542,144.08,132.09
2017-10-13 20:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.187,0.941,959.906,14.52,7.828,0.89,152.15,14.142,0,0,0,305.719,11.335,-3.584,-1.824,54.823,0.138,4.482,13.452,22.838,959.328,958.315,957.249,17.903,17.991,18.057,7.828,7.834,7.834,0.889,0.989,1.009,152.105,147.898,140.295
2017-10-13 20:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.187,0.941,960.078,14.37,7.749,0.518,106.374,13.879,0,0,0,305.191,10.85,-0.984,-1.238,56.063,0.092,4.479,13.443,22.823,959.48,958.462,957.409,17.736,17.802,17.847,7.749,7.754,7.754,0.515,0.676,0.854,106.256,94.12,85.497
2017-10-13 21:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.187,0.941,960.166,13.808,7.699,0.517,61.044,13.613,0,0,0,303.805,10.498,0.004,-1.176,56.728,0.083,4.469,13.415,22.774,959.634,958.618,957.549,17.159,17.209,17.245,7.699,7.708,7.716,0.54,0.648,0.718,57.048,61.376,68.416
