DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,14.318334,46.648335,450,450362,871,410,46.6501,14.3167,871.1251,409.8038,51,462.19,0.1,0.97,972.284,18.732,7.539,0.918,19.888,16.084,0,0,0,0,22.168,0,0,0,0,4.569,13.713,23.28,972.855,971.747,970.59,22.287,22.287,22.287,7.996,7.961,7.923,0.884,0.884,0.884,20.864,20.864,20.864
2017-10-13 12:30:00,14.318334,46.648335,450,450362,871,410,46.6501,14.3167,871.1251,409.8038,51,462.19,0.162,0.936,971.436,20.108,8.013,0.769,46.862,16.374,0,520.62,534.776,310.53,25.437,87.639,91.395,-139.29,0.088,4.574,13.719,23.268,970.891,969.853,968.777,22.547,21.951,21.602,8.013,7.708,7.571,0.768,0.972,1.053,49.114,48.703,48.242
2017-10-13 13:00:00,14.318334,46.648335,450,450362,871,410,46.6501,14.3167,871.1251,409.8038,51,462.19,0.162,0.936,971.227,20.274,7.991,0.808,0.74,16.617,0,469.436,483.17,312.768,25.337,89.853,85.755,-102.257,0.124,4.576,13.726,23.281,970.672,969.64,968.561,22.732,22.158,21.827,7.991,7.707,7.581,0.809,1.092,1.219,3.16,5.041,6.593
2017-10-13 13:30:00,14.318334,46.648335,450,450362,871,410,46.6501,14.3167,871.1251,409.8038,51,462.19,0.161,0.936,971.25,20.243,7.89,0.947,25.409,16.784,0,384.028,394.616,319.618,24.255,75.002,73.121,-68.194,0.141,4.576,13.725,23.282,970.669,969.644,968.564,22.699,22.25,21.972,7.89,7.653,7.545,0.945,1.303,1.476,27.749,28.255,29.419
2017-10-13 14:00:00,14.318334,46.648335,450,450362,871,410,46.6501,14.3167,871.1251,409.8038,51,462.19,0.161,0.936,971.169,20.305,7.924,1.072,36.613,16.913,0,292.769,298.695,321.832,23.049,55.058,57.208,-32.644,0.152,4.576,13.729,23.294,970.62,969.593,968.511,22.768,22.454,22.225,7.924,7.731,7.63,1.073,1.432,1.634,38.899,40.79,42.618
2017-10-13 14:30:00,14.318334,46.648335,450,450362,871,410,46.6501,14.3167,871.1251,409.8038,51,462.19,0.161,0.936,971.271,20.238,7.975,0.61,31.339,16.986,0,216.142,219.006,325.953,22.079,32.287,38.743,-16.411,0.084,4.576,13.73,23.297,970.667,969.642,968.566,22.691,22.461,22.286,7.975,7.769,7.65,0.607,0.855,0.998,33.761,35.709,38.131
2017-10-13 15:00:00,14.318334,46.648335,450,450362,871,410,46.6501,14.3167,871.1251,409.8038,51,462.19,0.162,0.936,971.215,20.219,7.914,0.65,76.111,17.004,0,134.692,135.021,329.54,20.526,16.758,24.48,12.197,0.105,4.575,13.73,23.3,970.608,969.578,968.507,22.677,22.558,22.437,7.914,7.757,7.663,0.651,0.862,0.986,78.381,84.677,88.117
2017-10-13 15:30:00,14.318334,46.648335,450,450362,871,410,46.6501,14.3167,871.1251,409.8038,51,462.19,0.162,0.936,971.123,19.88,7.887,0.691,47.633,16.949,0,64.787,64.793,332.044,18.752,10.869,5.27,33.899,0.103,4.57,13.714,23.277,970.567,969.538,968.456,22.343,22.271,22.205,7.887,7.817,7.76,0.692,0.779,0.792,49.991,55.611,59.472
2017-10-13 16:00:00,14.318334,46.648335,450,450362,871,410,46.6501,14.3167,871.1251,409.8038,51,462.19,0.163,0.936,971.187,19.464,7.791,0.713,46.025,16.784,0,17.155,17.156,322.273,16.329,3.051,0.287,57.129,0.106,4.563,13.695,23.249,970.607,969.576,968.501,21.918,21.936,21.944,7.791,7.778,7.761,0.713,0.799,0.836,48.317,52.702,56.456
2017-10-13 16:30:00,14.318334,46.648335,450,450362,871,410,46.6501,14.3167,871.1251,409.8038,51,462.19,0.195,0.936,971.143,18.667,7.461,0.746,16.052,16.51,0,0,0,313.562,14.672,-1.365,-0.691,65.645,0.128,4.547,13.649,23.175,970.697,969.664,968.59,21.118,21.204,21.305,7.46,7.451,7.437,0.74,0.887,1.014,18.227,17.544,15.033
2017-10-13 17:00:00,14.318334,46.648335,450,450362,871,410,46.6501,14.3167,871.1251,409.8038,51,462.19,0.195,0.936,971.442,18.14,7.312,0.384,348.89,16.224,0,0,0,311.808,13.754,-0.004,-0.476,64.204,0.068,4.538,13.625,23.137,970.893,969.855,968.782,20.56,20.739,20.927,7.312,7.296,7.28,0.384,0.49,0.601,350.926,4.267,14.899
2017-10-13 17:30:00,14.318334,46.648335,450,450362,871,410,46.6501,14.3167,871.1251,409.8038,51,462.19,0.195,0.936,971.501,17.193,7.325,0.697,311.957,15.938,0,0,0,309.256,13.233,-1.737,-0.665,62.224,0.105,4.524,13.58,23.061,971.021,969.987,968.915,19.601,19.74,20.005,7.325,7.322,7.31,0.697,0.852,1.028,314.237,316.859,320.952
