DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.17,0.985,976.798,16.641,6.819,6.26,288.416,15.612,0,0,0,0,17.935,0,0,0,0,4.521,13.576,23.049,976.919,975.812,974.651,19.372,19.372,19.372,7.084,7.052,7.018,6.249,6.249,6.249,291.849,291.849,291.849
2017-10-13 12:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.181,16.409,7.428,6.341,281.664,15.683,0,483.646,457.494,301.846,17.62,36.336,226.296,-10.609,0.628,4.507,13.533,22.972,975.385,974.355,973.275,18.348,18.294,18.268,7.156,7.033,6.971,5.317,6.17,6.665,285.349,285.636,285.84
2017-10-13 13:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.328,16.43,7.401,6.781,280.238,15.726,0,432.786,405.913,302.779,17.041,18.919,208.996,-7.187,0.652,4.508,13.535,22.978,975.544,974.511,973.428,18.394,18.365,18.351,7.141,7.029,6.973,5.645,6.553,7.081,283.923,283.892,284.043
2017-10-13 13:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.546,16.177,7.37,6.7,278.408,15.741,0,372.283,345.394,301.709,16.363,5.582,179.286,-3.393,0.63,4.506,13.528,22.966,975.657,974.777,973.394,18.162,18.153,18.149,7.128,7.027,6.977,5.543,6.441,6.964,282.053,282.325,282.413
2017-10-13 14:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.581,15.979,7.521,6.3,277.039,15.73,0,302.97,276.932,301.082,15.737,-6.739,141.78,-0.037,0.58,4.504,13.525,22.962,975.701,974.661,973.58,17.997,18.01,18.017,7.304,7.216,7.172,5.185,6.051,6.554,280.695,280.926,281.044
2017-10-13 14:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.584,15.783,7.555,6.604,277.915,15.693,0,226.864,202.742,300.904,14.861,-25.508,108.982,4.521,0.579,4.503,13.521,22.956,975.686,974.642,973.557,17.869,17.913,17.936,7.373,7.301,7.267,5.324,6.207,6.715,281.581,281.845,281.903
2017-10-13 15:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.573,15.538,7.569,6.627,279.068,15.62,0,146.91,126.143,300.446,13.923,-42.617,72.743,9.21,0.551,4.501,13.516,22.95,975.654,974.613,973.533,17.713,17.796,17.838,7.427,7.374,7.348,5.225,6.136,6.659,282.687,282.755,282.747
2017-10-13 15:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.489,15.216,7.418,6.633,279.688,15.518,0,67.987,53.019,299.98,12.887,-58.047,38.501,14.256,0.521,4.497,13.506,22.933,975.613,974.577,973.497,17.502,17.629,17.691,7.331,7.298,7.282,5.105,6.026,6.55,283.332,283.513,283.569
2017-10-13 16:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.432,14.985,7.26,6.665,279.275,15.386,0,4.613,3.369,299.551,12.316,-64.749,9.595,16.618,0.507,4.493,13.493,22.912,975.677,974.648,973.557,17.326,17.469,17.539,7.236,7.226,7.221,5.069,5.976,6.499,282.915,283.233,283.306
2017-10-13 16:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.566,14.882,7.349,6.671,279.074,15.254,0,0,0,299.974,12.257,-64.018,6.399,16.204,0.509,4.492,13.491,22.909,975.779,974.741,973.665,17.207,17.351,17.421,7.334,7.328,7.326,5.079,6,6.522,282.72,282.952,283.017
