DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.13,0.97,965.572,15.982,7.204,5.219,277.473,15.28,0,0,0,0,17.53,0,0,0,0,4.514,13.54,22.982,965.442,964.349,963.203,19.364,19.364,19.364,7.367,7.334,7.299,5.573,5.71,5.853,278.959,278.823,278.687
2017-10-13 12:30:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.492,15.313,7.49,5.17,271.954,15.377,0,490.552,469.553,296.112,17.556,76.358,178.548,-15.185,0.727,4.496,13.483,22.882,964.825,963.955,962.738,18.099,18.004,17.959,7.326,7.244,7.203,4.129,5.051,5.537,275.29,275.996,276.407
2017-10-13 13:00:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.516,15.236,7.612,5.615,276.951,15.44,0,440.198,409.786,296.642,16.882,57.847,158.644,-10.03,0.755,4.495,13.483,22.883,964.943,963.92,962.85,18.036,17.964,17.93,7.458,7.385,7.348,4.452,5.435,5.949,280.236,280.735,280.998
2017-10-13 13:30:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.582,15.134,7.65,5.106,270.097,15.467,0,379.79,341.302,295.794,16.274,36.373,132.396,-5.6,0.677,4.495,13.482,22.881,964.967,964.091,962.87,17.961,17.911,17.888,7.503,7.435,7.4,4.041,4.932,5.398,273.391,274.13,274.546
2017-10-13 14:00:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.545,15.177,7.607,5.113,267.677,15.456,0,310.382,265.734,295.786,15.484,9.242,108.869,-0.195,0.639,4.496,13.487,22.892,964.905,963.878,962.812,18.066,18.055,18.049,7.463,7.408,7.377,3.985,4.782,5.252,270.97,271.967,272.562
2017-10-13 14:30:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.61,15.145,7.689,4.762,267.58,15.408,0,233.438,185.482,297.119,14.645,-13.111,78.437,5.275,0.551,4.498,13.492,22.901,964.936,963.908,962.833,18.103,18.125,18.136,7.554,7.508,7.483,3.64,4.329,4.746,270.89,271.685,272.255
2017-10-13 15:00:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.644,14.839,7.771,4.63,260.792,15.316,0,152.779,105.64,297.264,13.475,-30.207,45.607,12.712,0.462,4.495,13.486,22.892,964.93,963.907,962.837,17.911,17.969,18.001,7.657,7.625,7.607,3.334,3.96,4.345,264.109,265.271,266.152
2017-10-13 15:30:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.561,14.453,7.69,5.191,259.687,15.168,0,73.025,34.115,296.662,12.242,-49.856,21.552,20.174,0.476,4.491,13.474,22.873,964.917,963.883,962.814,17.658,17.767,17.824,7.632,7.615,7.605,3.625,4.348,4.749,262.983,264.079,264.861
2017-10-13 16:00:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.403,14.183,7.714,5.542,259.708,14.993,0,7.156,4.662,295.706,11.808,-57.616,8.923,21.93,0.514,4.487,13.462,22.854,964.915,963.892,962.819,17.403,17.542,17.607,7.692,7.685,7.681,3.883,4.767,5.185,263.018,264.036,264.708
2017-10-13 16:30:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.56,13.968,7.774,5.371,258.434,14.817,0,0,0,295.058,11.524,-55.88,5.002,22.646,0.483,4.485,13.456,22.843,964.983,963.969,962.89,17.202,17.326,17.397,7.76,7.757,7.755,3.731,4.501,4.94,261.765,262.762,263.589
2017-10-13 17:00:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.532,13.833,7.817,5.592,260.727,14.641,0,0,0,294.51,11.505,-57.49,5.064,21.544,0.523,4.482,13.448,22.83,965.032,964.009,962.936,17.03,17.167,17.235,7.804,7.799,7.797,3.928,4.856,5.299,264.033,265.201,265.941
2017-10-13 17:30:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.539,13.833,7.666,5.812,260.842,14.482,0,0,0,294.127,11.53,-60.392,6.195,20.263,0.557,4.48,13.442,22.819,965.136,964.117,963.047,17.006,17.134,17.198,7.653,7.644,7.638,4.116,5.074,5.549,264.137,265.657,266.612
