DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.1,0.97,993.927,17.749,7.534,3.71,278.367,15.686,0,0,0,0,18.423,0,0,0,0,4.549,13.654,23.18,993.999,992.866,991.685,18.931,18.931,18.931,7.783,7.748,7.711,3.719,3.719,3.719,280.339,280.339,280.339
2017-10-13 12:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.154,0.942,992.362,18.157,7.865,2.166,274.235,15.88,0,488.406,469.145,311.628,22.082,117.333,79.831,-83.971,0.416,4.547,13.642,23.147,991.829,990.778,989.675,18.796,18.474,18.253,7.865,7.756,7.697,2.168,3.328,4.168,276.634,276.118,276.093
2017-10-13 13:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.154,0.942,992.338,18.333,7.855,2.174,275.95,16.039,0,440.737,419.583,312.639,21.903,108.331,73.214,-60.041,0.418,4.55,13.65,23.162,991.822,990.766,989.666,18.974,18.685,18.484,7.855,7.756,7.703,2.166,3.348,4.215,278.251,276.972,276.425
2017-10-13 13:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.154,0.942,992.337,18.328,7.776,2.076,288.508,16.156,0,382.697,360.291,312.47,21.425,90.94,63.313,-40.108,0.382,4.549,13.649,23.161,991.804,990.751,989.651,18.969,18.71,18.527,7.777,7.689,7.644,2.085,3.137,3.915,290.736,287.445,285.788
2017-10-13 14:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.153,0.942,992.299,18.222,7.719,2.008,284.658,16.23,0,315.82,292.938,311.187,20.622,70.06,52.323,-18.654,0.377,4.547,13.644,23.155,991.788,990.735,989.634,18.866,18.668,18.519,7.719,7.639,7.595,2.007,3.042,3.812,286.944,284.233,282.947
2017-10-13 14:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.154,0.942,992.343,18.035,7.772,1.824,285.114,16.251,0,241.422,219.102,311.241,19.632,45.922,38.749,0.203,0.341,4.545,13.638,23.147,991.778,990.723,989.623,18.675,18.542,18.433,7.772,7.71,7.676,1.824,2.751,3.441,287.383,284.745,283.455
2017-10-13 15:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.154,0.942,992.421,17.825,7.752,1.817,279.551,16.222,0,162.693,142.316,310.872,18.388,22.5,26.104,22.283,0.349,4.542,13.63,23.137,991.793,990.742,989.64,18.458,18.407,18.35,7.752,7.712,7.69,1.816,2.736,3.425,281.784,280.077,279.33
2017-10-13 15:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.154,0.942,992.334,17.533,7.743,1.629,283.533,16.131,0,83.978,67.762,309.39,16.921,2.332,11.168,43.311,0.315,4.537,13.617,23.117,991.796,990.745,989.643,18.172,18.187,18.178,7.743,7.719,7.705,1.628,2.441,3.069,285.84,284.13,283.462
2017-10-13 16:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.155,0.942,992.424,17.017,7.616,1.403,274.257,15.937,0,15.129,8.245,307.556,14.847,-5.871,0.224,64.839,0.288,4.528,13.591,23.075,991.892,990.839,989.738,17.647,17.7,17.729,7.615,7.598,7.584,1.403,2.115,2.677,276.529,277.061,277.412
2017-10-13 16:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.18,0.942,992.491,16.405,7.554,1.394,297.073,15.655,0,0,0,304.492,13.846,-9.156,-1.241,64.749,0.253,4.519,13.563,23.027,991.944,990.89,989.787,17.028,17.098,17.141,7.555,7.563,7.571,1.392,1.933,2.367,299.216,297.401,296.427
