DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.803,16.604,7.477,1.454,327.967,15.8,0,0,0,0,18.645,0,0,0,0,4.531,13.596,23.079,981.012,979.895,978.725,19.027,19.027,19.027,7.782,7.747,7.71,1.452,1.452,1.452,325.449,325.449,325.449
2017-10-13 12:30:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,981.249,17.251,8.154,2.721,323.346,16.316,0,523.218,522.483,311.475,23.244,134.99,131.432,-64.308,0.424,4.531,13.589,23.055,980.671,979.626,978.54,18.696,18.33,18.177,8.059,7.895,7.814,2.337,2.759,2.916,321.951,322.317,322.632
2017-10-13 13:00:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,981.176,17.096,8.434,2.179,316.72,16.738,0,481.474,480.772,312.194,23.036,122.028,116.215,-58.442,0.372,4.53,13.587,23.052,980.592,979.55,978.462,18.569,18.2,18.048,8.347,8.182,8.097,1.882,2.262,2.408,315.262,315.728,316.145
2017-10-13 13:30:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,981.23,17.119,8.547,1.958,279.792,17.105,0,427.887,427.234,314.465,22.494,103.075,102.563,-49.993,0.34,4.531,13.59,23.057,980.642,979.598,978.506,18.592,18.221,18.08,8.462,8.283,8.191,1.699,2.029,2.129,278.338,278.925,279.515
2017-10-13 14:00:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.876,17.384,8.385,1.64,275.962,17.394,0,364.779,364.189,316.518,21.836,76.467,89.064,-41.2,0.296,4.534,13.598,23.071,980.332,979.293,978.206,18.893,18.57,18.469,8.298,8.066,7.933,1.428,1.71,1.763,274.58,273.683,272.995
2017-10-13 14:30:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.676,17.575,8.699,1.774,283.079,17.591,0,293.825,293.31,317.626,20.752,51.743,71.426,-29.311,0.285,4.539,13.615,23.102,980.148,979.106,978.017,19.103,18.854,18.793,8.61,8.335,8.168,1.533,1.836,1.872,281.666,279.983,278.444
2017-10-13 15:00:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.619,17.594,8.61,2.223,288.14,17.69,0,217.036,216.609,317.08,19.172,25.09,55.473,-13.743,0.293,4.539,13.617,23.107,980.065,979.023,977.94,19.148,19.013,19.008,8.513,8.134,7.924,1.889,2.31,2.366,286.739,285.879,284.969
2017-10-13 15:30:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.688,17.458,8.588,2.264,287.369,17.658,0,136.67,136.349,316.768,17.515,0.754,34.271,1.318,0.247,4.538,13.615,23.106,980.131,979.087,977.999,19.08,19.079,19.096,8.48,8.12,7.879,1.864,2.317,2.452,285.953,285.255,284.572
2017-10-13 16:00:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.737,16.846,8.815,3.073,297.809,17.504,0,58.441,58.248,316.919,15.311,-12.6,11.196,20.34,0.167,4.535,13.61,23.104,980.187,979.148,978.06,18.801,19.081,19.188,8.683,8.277,7.829,2.002,2.473,2.622,296.428,296.284,294.934
2017-10-13 16:30:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.842,15.99,8.352,2.468,310.482,17.161,0,0.579,0.577,317.96,12.045,-5.863,0.117,47.459,0.048,4.533,13.606,23.101,980.292,979.251,978.166,18.887,19.126,19.228,8.341,8.123,7.915,1.823,1.955,2.014,309.117,307.752,306.179
