DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.1,0.97,1004.57,19.903,6.261,6.288,308.189,17.488,0,0,0,0,19.572,0,0,0,0,4.558,13.673,23.203,1004.023,1002.958,1001.844,18.999,18.751,18.491,6.22,6.193,6.163,6.764,7.075,7.401,312.456,312.401,312.346
2017-10-13 12:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.154,0.923,1004.617,19.496,6.011,3.372,308.53,17.56,0,477.517,469.803,310.161,22.995,165.929,24.224,-90.341,0.692,4.558,13.672,23.196,1003.967,1002.9,1001.786,19.112,18.703,18.362,6.011,5.973,5.956,3.375,5.273,6.621,312.671,313.942,314.38
2017-10-13 13:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.153,0.923,1004.366,19.696,5.915,3.457,310.725,17.613,0,426.314,418.492,310.888,22.951,157.231,22.704,-58.29,0.704,4.56,13.677,23.205,1004.014,1002.947,1001.832,19.331,18.944,18.616,5.915,5.889,5.88,3.456,5.381,6.758,314.837,316.479,317.169
2017-10-13 13:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.153,0.923,1004.373,19.695,6.33,3.376,311.623,17.653,0,364.104,356.411,313.354,22.553,134.424,19.566,-36.36,0.685,4.563,13.687,23.223,1003.96,1002.892,1001.779,19.33,18.996,18.702,6.33,6.305,6.296,3.376,5.239,6.57,315.699,317.352,317.993
2017-10-13 14:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.152,0.923,1004.333,19.649,6.501,3.145,311.85,17.672,0,293.987,286.66,314.619,21.965,102.155,16.157,-17.502,0.638,4.563,13.689,23.229,1003.935,1002.87,1001.755,19.288,19.027,18.784,6.501,6.477,6.467,3.145,4.886,6.134,315.948,317.55,318.183
2017-10-13 14:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.152,0.923,1004.303,19.515,6.595,2.761,313.143,17.661,0,217.847,211.176,314.961,21.167,65.866,12.252,1.548,0.561,4.561,13.686,23.227,1003.895,1002.829,1001.715,19.156,18.984,18.805,6.595,6.574,6.564,2.761,4.313,5.447,317.229,319.046,319.709
2017-10-13 15:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.153,0.923,1004.663,19.457,6.586,2.382,308.537,17.62,0,138.273,132.668,315.934,20.227,28.924,8.282,21.226,0.487,4.561,13.688,23.233,1003.937,1002.871,1001.755,19.068,19.004,18.909,6.586,6.564,6.553,2.382,3.714,4.702,312.588,312.596,312.597
2017-10-13 15:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.154,0.923,1004.843,18.897,6.977,2.454,285.734,17.547,0,60.741,56.891,316.754,18.943,3.803,4.365,48.723,0.559,4.555,13.671,23.208,1004.021,1002.955,1001.84,18.493,18.493,18.464,6.977,6.974,6.973,2.452,3.811,4.825,289.818,287.545,286.868
2017-10-13 16:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.155,0.923,1004.797,18.306,7.106,2.172,282.85,17.434,0,1.834,1.625,315.457,17.619,-17.515,0.589,64.629,0.505,4.547,13.646,23.17,1004.09,1003.024,1001.907,17.907,17.971,18.013,7.107,7.108,7.109,2.173,3.449,4.415,286.93,285.277,284.872
2017-10-13 16:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.18,0.923,1004.661,17.844,7.134,1.943,285.803,17.296,0,0,0,313.731,16.854,-22.093,0.343,58.823,0.447,4.539,13.624,23.133,1004.188,1003.12,1002.003,17.457,17.551,17.624,7.134,7.134,7.134,1.942,3.088,3.969,289.878,288.459,288.181
2017-10-13 17:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.18,0.923,1004.798,17.136,7.182,1.472,266.635,17.124,0,0,0,311.949,16.026,-15.4,0.16,62.753,0.351,4.529,13.592,23.079,1004.276,1003.207,1002.092,16.738,16.822,16.901,7.182,7.183,7.183,1.471,2.374,3.1,270.708,275.239,277.312
2017-10-13 17:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.18,0.923,1004.849,16.8,7.254,1.483,272.802,16.927,0,0,0,311.541,15.5,-18.179,0.122,57.658,0.353,4.524,13.578,23.055,1004.337,1003.269,1002.155,16.399,16.499,16.592,7.254,7.255,7.255,1.482,2.389,3.112,276.87,278.863,279.532
2017-10-13 18:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.18,0.923,1004.96,16.678,7.295,1.416,280.586,16.729,0,0,0,311.22,15.089,-19.673,0.052,54.314,0.333,4.522,13.574,23.048,1004.423,1003.357,1002.241,16.268,16.382,16.487,7.295,7.3,7.303,1.415,2.293,2.988,284.662,284.85,285.006
2017-10-13 18:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.18,0.923,1004.805,16.459,7.406,1.491,275.989,16.529,0,0,0,310.338,14.847,-22.45,0.055,51.156,0.356,4.52,13.567,23.037,1004.2,1003.134,1002.018,16.063,16.191,16.306,7.406,7.405,7.403,1.492,2.437,3.187,280.053,281.575,282.403
2017-10-13 19:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.18,0.923,1004.851,16.651,7.348,1.696,283.301,16.407,0,0,0,352.509,15.529,-20.108,0.377,18.348,0.394,4.522,13.574,23.049,1004.285,1003.215,1002.101,16.251,16.384,16.489,7.348,7.347,7.346,1.695,2.729,3.521,287.405,288.557,289.505
2017-10-13 19:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.18,0.923,1004.898,16.705,7.296,1.819,286.295,16.272,0,0,0,310.843,15.088,-32.228,0.166,42.241,0.418,4.523,13.576,23.053,1004.42,1003.353,1002.236,16.3,16.464,16.593,7.296,7.295,7.294,1.818,2.906,3.755,290.341,289.55,289.842
2017-10-13 20:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.18,0.923,1005.245,16.355,7.241,2.151,291.486,16.13,0,0,0,308.927,15.007,-35.971,0.242,39.942,0.486,4.518,13.56,23.026,1004.668,1003.6,1002.483,15.922,16.091,16.215,7.241,7.241,7.241,2.15,3.436,4.427,295.59,293.136,292.407
2017-10-13 20:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.18,0.923,1005.472,16.266,7.194,2.435,303.69,15.994,0,0,0,308.902,14.971,-41.367,0.289,34.491,0.515,4.516,13.555,23.018,1004.901,1003.833,1002.716,15.815,16.004,16.137,7.193,7.191,7.188,2.436,3.885,5.002,307.773,307.003,306.639
