DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.17,0.985,992.52,18.24,6.904,5.783,247.19,16.418,0,0,0,0,18.842,0,0,0,0,4.55,13.659,23.19,992.557,991.433,990.258,19.554,19.554,19.554,7.137,7.104,7.071,5.775,5.775,5.775,250.56,250.56,250.56
2017-10-13 12:30:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.195,17.812,7.465,7.432,254.83,16.659,0,482.911,474.986,308.943,19.605,59.669,186.693,-31.976,0.698,4.534,13.609,23.102,991.467,990.412,989.31,18.356,18.278,18.246,7.269,7.155,7.094,6.283,7.273,7.795,258.177,258.551,258.845
2017-10-13 13:00:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.298,17.489,7.573,7.24,251.164,16.806,0,432.778,424.055,308.959,19.064,50.984,165.02,-24.419,0.676,4.53,13.597,23.081,991.62,990.569,989.47,18.032,17.966,17.941,7.391,7.292,7.24,6.12,7.077,7.584,254.493,254.86,255.104
2017-10-13 13:30:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.376,17.503,7.582,7.131,253.645,16.898,0,373.058,363.799,308.8,18.508,31.607,145.917,-17.368,0.656,4.531,13.602,23.09,991.635,990.581,989.481,18.082,18.044,18.032,7.408,7.318,7.272,6.007,6.948,7.455,256.974,257.347,257.626
2017-10-13 14:00:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.227,17.475,7.627,6.941,259.868,16.934,0,304.652,295.194,308.651,17.84,10.921,122.61,-9.744,0.622,4.531,13.604,23.095,991.575,990.521,989.419,18.104,18.095,18.096,7.462,7.38,7.338,5.804,6.711,7.197,263.189,263.481,263.639
2017-10-13 14:30:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.339,17.333,7.72,6.573,261.342,16.912,0,229.134,219.932,308.481,17.029,-8.304,94.109,-1.254,0.563,4.531,13.604,23.096,991.612,990.561,989.46,18.017,18.042,18.059,7.567,7.492,7.454,5.411,6.3,6.766,264.664,264.838,265.004
2017-10-13 15:00:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.253,17.026,7.738,6.428,261.8,16.817,0,149.709,141.393,307.755,15.925,-28.255,67.042,9.569,0.527,4.528,13.596,23.084,991.558,990.505,989.406,17.8,17.877,17.917,7.61,7.545,7.513,5.19,6.131,6.61,265.125,265.43,265.598
2017-10-13 15:30:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.169,16.574,7.856,6.059,257.399,16.645,0,71.042,64.703,307.602,14.706,-41.984,36.72,20.765,0.459,4.524,13.583,23.064,991.554,990.498,989.399,17.463,17.598,17.664,7.763,7.717,7.694,4.734,5.646,6.102,260.712,261.273,261.59
2017-10-13 16:00:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.376,16.008,7.663,5.955,254.092,16.393,0,6.582,4.933,306.964,13.532,-50.976,13.103,30.587,0.42,4.516,13.56,23.028,991.666,990.61,989.508,17.002,17.189,17.277,7.623,7.602,7.592,4.523,5.411,5.855,257.41,258.09,258.466
2017-10-13 16:30:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.172,15.578,7.735,5.939,261.411,16.119,0,0,0,305.605,13.173,-49.716,9.286,31.465,0.421,4.508,13.538,22.991,991.715,990.663,989.564,16.554,16.751,16.846,7.707,7.693,7.687,4.515,5.428,5.86,264.752,264.897,264.984
