DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,15.631111,48.199722,273.6,643876,961,586,48.2013,15.6355,960.6737,585.8245,52,267.77,0.1,0.97,995.057,18.548,6.761,5.584,248.836,16.545,0,0,0,0,19.086,0,0,0,0,4.557,13.675,23.216,995.085,993.96,992.783,19.654,19.654,19.654,6.989,6.958,6.925,5.558,5.558,5.558,252.641,252.641,252.641
2017-10-13 12:30:00,15.631111,48.199722,273.6,643876,961,586,48.2013,15.6355,960.6737,585.8245,52,267.77,0.158,0.943,994.668,18.564,6.974,2.938,244.576,16.647,0,480.693,476.453,311.729,21.702,126.581,102.778,-57.613,0.771,4.549,13.647,23.163,993.964,992.909,991.806,19.009,18.907,18.79,6.974,6.902,6.859,2.937,4.027,5.265,247.946,251.534,254.738
2017-10-13 13:00:00,15.631111,48.199722,273.6,643876,961,586,48.2013,15.6355,960.6737,585.8245,52,267.77,0.159,0.943,994.782,18.174,7.142,3.113,240.256,16.712,0,430.981,426.717,311.163,21.18,127.368,92.012,-28.102,0.793,4.544,13.632,23.137,994.161,993.109,992.005,18.609,18.517,18.402,7.143,7.083,7.049,3.112,4.233,5.498,243.611,247.347,250.753
2017-10-13 13:30:00,15.631111,48.199722,273.6,643876,961,586,48.2013,15.6355,960.6737,585.8245,52,267.77,0.159,0.943,994.941,18.13,7.229,2.901,241.575,16.752,0,371.189,367.011,311.175,20.739,104.27,79.76,-15.875,0.752,4.544,13.634,23.142,994.194,993.135,992.029,18.552,18.487,18.392,7.229,7.173,7.141,2.901,3.975,5.2,244.95,248.836,252.327
2017-10-13 14:00:00,15.631111,48.199722,273.6,643876,961,586,48.2013,15.6355,960.6737,585.8245,52,267.77,0.16,0.943,994.804,18.074,7.192,2.874,247.054,16.765,0,303.149,299.177,310.739,20.055,78.386,68.598,0.456,0.781,4.543,13.632,23.139,994.128,993.075,991.972,18.508,18.474,18.404,7.192,7.145,7.117,2.873,3.991,5.272,250.393,254.116,257.3
2017-10-13 14:30:00,15.631111,48.199722,273.6,643876,961,586,48.2013,15.6355,960.6737,585.8245,52,267.77,0.161,0.943,994.948,17.932,7.329,2.712,248.984,16.747,0,227.928,224.316,310.23,19.284,49.876,52.996,15.079,0.746,4.542,13.63,23.136,994.175,993.118,992.015,18.354,18.346,18.3,7.33,7.293,7.272,2.712,3.774,5.002,252.304,255.808,258.792
2017-10-13 15:00:00,15.631111,48.199722,273.6,643876,961,586,48.2013,15.6355,960.6737,585.8245,52,267.77,0.162,0.943,994.815,17.703,7.43,2.566,249.61,16.692,0,148.845,145.788,309.335,18.323,20.718,36.582,30.545,0.713,4.539,13.621,23.123,994.128,993.073,991.968,18.135,18.156,18.137,7.43,7.403,7.388,2.565,3.577,4.757,252.974,256.51,259.502
2017-10-13 15:30:00,15.631111,48.199722,273.6,643876,961,586,48.2013,15.6355,960.6737,585.8245,52,267.77,0.162,0.943,994.734,17.414,7.631,2.371,244.943,16.601,0,70.373,68.199,309.603,17.237,-5.394,18.678,44.948,0.651,4.536,13.611,23.107,994.12,993.065,991.962,17.852,17.9,17.91,7.631,7.615,7.605,2.369,3.305,4.405,248.324,252.547,256.137
2017-10-13 16:00:00,15.631111,48.199722,273.6,643876,961,586,48.2013,15.6355,960.6737,585.8245,52,267.77,0.162,0.943,994.874,17.031,7.56,2.378,245.2,16.476,0,6.34,5.826,309.616,16.174,-25.647,4.184,56.351,0.651,4.529,13.591,23.075,994.227,993.171,992.068,17.457,17.526,17.56,7.559,7.553,7.547,2.379,3.301,4.376,248.564,252.235,255.511
2017-10-13 16:30:00,15.631111,48.199722,273.6,643876,961,586,48.2013,15.6355,960.6737,585.8245,52,267.77,0.18,0.943,994.79,16.65,7.573,2.154,254.415,16.33,0,0,0,308.064,15.588,-29.724,1.929,53.265,0.634,4.523,13.573,23.044,994.314,993.257,992.152,17.082,17.154,17.197,7.573,7.57,7.567,2.154,3.079,4.165,257.78,260.8,263.268
