DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,16.366945,48.198334,177,647227,1015,589,48.1974,16.3707,1014.7209,589.1039,52,185.28,0.1,0.97,1003.446,19.319,6.085,6.444,308.4,17.684,0,0,0,0,20.049,0,0,0,0,4.563,13.688,23.235,1003.121,1001.996,1000.818,19.347,19.347,19.347,6.17,6.142,6.113,6.433,6.433,6.433,312.401,312.401,312.401
2017-10-13 12:30:00,16.366945,48.198334,177,647227,1015,589,48.1974,16.3707,1014.7209,589.1039,52,185.28,0.146,0.923,1003.788,19.447,5.804,2.46,310.414,17.74,0,477.199,471.606,310.036,23.649,156.77,23.687,-101.71,0.866,4.558,13.671,23.201,1003.15,1002.087,1000.976,19.131,18.991,18.792,5.804,5.784,5.774,2.46,3.569,5,314.338,313.48,312.676
2017-10-13 13:00:00,16.366945,48.198334,177,647227,1015,589,48.1974,16.3707,1014.7209,589.1039,52,185.28,0.147,0.923,1003.797,19.623,6.22,2.449,312.352,17.784,0,425.707,420.046,312.84,23.743,152.347,21.402,-66.037,0.85,4.562,13.686,23.228,1003.257,1002.192,1001.08,19.306,19.176,18.97,6.221,6.204,6.196,2.448,3.525,4.92,316.283,315.87,315.434
2017-10-13 13:30:00,16.366945,48.198334,177,647227,1015,589,48.1974,16.3707,1014.7209,589.1039,52,185.28,0.148,0.923,1003.763,19.695,6.425,2.204,312.955,17.821,0,364.268,358.694,314.698,23.544,128.86,18.486,-42.62,0.764,4.565,13.694,23.242,1003.213,1002.148,1001.035,19.381,19.277,19.085,6.425,6.406,6.395,2.207,3.179,4.432,316.951,316.509,316.141
2017-10-13 14:00:00,16.366945,48.198334,177,647227,1015,589,48.1974,16.3707,1014.7209,589.1039,52,185.28,0.149,0.923,1003.702,19.695,6.518,2.04,312.01,17.835,0,294.936,289.618,315.21,23.035,100.112,15.423,-18.613,0.706,4.566,13.698,23.248,1003.165,1002.1,1000.988,19.386,19.317,19.157,6.518,6.5,6.49,2.039,2.93,4.087,315.927,315.379,314.802
2017-10-13 14:30:00,16.366945,48.198334,177,647227,1015,589,48.1974,16.3707,1014.7209,589.1039,52,185.28,0.15,0.923,1003.748,19.632,6.567,1.86,306.834,17.824,0,219.22,214.371,315.587,22.282,67.597,12.1,5.315,0.659,4.566,13.697,23.248,1003.182,1002.117,1001.002,19.319,19.287,19.174,6.567,6.552,6.543,1.859,2.672,3.732,310.767,308.847,306.778
2017-10-13 15:00:00,16.366945,48.198334,177,647227,1015,589,48.1974,16.3707,1014.7209,589.1039,52,185.28,0.151,0.923,1003.73,19.111,7.066,1.738,291.941,17.783,0,139.817,135.736,316.066,21.111,43.975,8.186,37.819,0.698,4.56,13.681,23.224,1003.248,1002.184,1001.068,18.8,18.783,18.707,7.067,7.059,7.055,1.738,2.575,3.712,295.886,292.596,289.75
2017-10-13 15:30:00,16.366945,48.198334,177,647227,1015,589,48.1974,16.3707,1014.7209,589.1039,52,185.28,0.152,0.923,1003.856,18.753,7.182,1.556,294.274,17.706,0,62.457,59.623,315.819,19.859,13.102,4.197,61.078,0.621,4.556,13.669,23.203,1003.262,1002.197,1001.083,18.432,18.441,18.408,7.182,7.176,7.172,1.556,2.307,3.331,298.198,294.307,291.041
2017-10-13 16:00:00,16.366945,48.198334,177,647227,1015,589,48.1974,16.3707,1014.7209,589.1039,52,185.28,0.152,0.923,1003.813,18.28,7.157,1.542,292.61,17.598,0,2.576,2.267,314.82,18.612,-9.809,0.704,77.596,0.624,4.548,13.645,23.164,1003.32,1002.254,1001.139,17.963,17.994,17.999,7.157,7.156,7.156,1.542,2.291,3.33,296.522,292.481,289.133
2017-10-13 16:30:00,16.366945,48.198334,177,647227,1015,589,48.1974,16.3707,1014.7209,589.1039,52,185.28,0.18,0.923,1004.106,17.924,7.225,1.445,291.303,17.47,0,0,0,314.33,17.932,-16.94,0.441,69.05,0.595,4.544,13.632,23.143,1003.448,1002.382,1001.268,17.583,17.623,17.646,7.225,7.225,7.225,1.445,2.174,3.177,295.232,291.456,288.411
