DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.1,0.97,998.464,18.371,5.959,6.452,304.184,17.224,0,0,0,0,19.917,0,0,0,0,4.552,13.66,23.19,998.55,997.427,996.256,19.347,19.347,19.347,6.21,6.182,6.153,6.446,6.446,6.446,308.108,308.108,308.108
2017-10-13 12:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.172,0.942,998.007,19.002,6.193,4.849,306.714,17.296,0,478.809,468.918,309.258,20.924,104.705,132.394,-43.548,0.57,4.55,13.65,23.166,997.47,996.41,995.302,19.169,18.994,18.849,6.193,6.092,6.042,4.85,6.489,7.609,310.55,309.425,308.676
2017-10-13 13:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.172,0.942,998.134,19.073,6.48,4.374,307.639,17.349,0,427.686,419.031,310.946,20.862,92.077,116.791,-32.655,0.512,4.553,13.66,23.182,997.595,996.536,995.429,19.229,19.062,18.922,6.481,6.382,6.334,4.373,5.866,6.888,311.442,310.513,309.819
2017-10-13 13:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.172,0.942,998.145,19.153,6.692,3.761,310.986,17.393,0,366.133,358.868,313.083,20.674,72.595,98.655,-23.827,0.432,4.556,13.668,23.196,997.61,996.55,995.445,19.308,19.158,19.026,6.692,6.594,6.544,3.762,5.037,5.907,314.803,314.376,313.855
2017-10-13 14:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.172,0.942,998.225,19.086,6.728,3.206,295.312,17.408,0,161.717,161.717,379.287,19.515,34.656,66.606,-0.441,0.408,4.555,13.668,23.198,997.657,996.597,995.489,19.234,19.158,19.078,6.729,6.661,6.629,3.205,4.341,5.148,299.026,297.036,295.821
2017-10-13 14:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.172,0.942,998.377,18.38,7.253,3.334,278.184,17.378,0,220.648,216.436,313.439,18.79,30.191,61.202,3.21,0.463,4.548,13.646,23.163,997.774,996.716,995.606,18.516,18.47,18.412,7.253,7.191,7.159,3.334,4.641,5.587,281.981,280.802,280.152
2017-10-13 15:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.172,0.942,998.416,18.099,7.311,3.328,275.645,17.316,0,141.599,138.929,312.94,17.723,6.976,42.835,20.39,0.47,4.544,13.637,23.149,997.77,996.706,995.6,18.23,18.24,18.221,7.311,7.267,7.244,3.328,4.639,5.602,279.446,278.54,278.127
2017-10-13 15:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.172,0.942,998.478,17.715,7.258,3.156,274.778,17.21,0,64.01,62.807,312.06,16.468,-16.227,23.224,34.549,0.453,4.538,13.619,23.121,997.759,996.701,995.593,17.841,17.906,17.93,7.258,7.231,7.217,3.156,4.419,5.353,278.858,278.06,277.673
2017-10-13 16:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.173,0.942,998.483,17.314,7.26,3.054,281.883,17.063,0,3.186,3.122,311.255,15.418,-33.028,4.389,43.386,0.436,4.532,13.601,23.092,997.811,996.75,995.643,17.439,17.545,17.604,7.26,7.255,7.251,3.053,4.284,5.202,285.727,283.723,282.619
2017-10-13 16:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.192,0.942,998.592,17.109,7.279,2.937,279.468,16.898,0,0,0,310.895,15.008,-38.093,2.647,37.391,0.426,4.528,13.591,23.077,997.898,996.832,995.726,17.226,17.349,17.424,7.28,7.277,7.276,2.939,4.171,5.101,283.262,281.195,280.12
2017-10-13 17:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.192,0.942,998.676,16.983,7.455,3.056,273.195,16.76,0,0,0,349.07,15.743,-25.222,4.056,19.284,0.442,4.528,13.589,23.073,997.984,996.923,995.814,17.093,17.186,17.246,7.455,7.45,7.447,3.058,4.319,5.261,277.019,276.456,276.19
2017-10-13 17:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.192,0.942,998.662,16.992,7.4,3.189,281.361,16.693,0,0,0,359.334,16.046,-18.976,4.629,17.942,0.45,4.528,13.587,23.068,998.082,997.019,995.915,17.103,17.172,17.216,7.4,7.395,7.391,3.188,4.457,5.395,285.18,283.474,282.62
2017-10-13 18:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.192,0.942,998.795,16.69,7.389,3.142,276.837,16.568,0,0,0,310.058,14.711,-40.876,2.566,33.829,0.454,4.523,13.575,23.049,998.135,997.073,995.963,16.79,16.916,16.995,7.389,7.385,7.382,3.143,4.419,5.368,280.659,279.647,279.174
2017-10-13 18:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.192,0.942,998.632,16.444,7.381,3.207,280.272,16.414,0,0,0,308.52,14.467,-42.361,2.467,32.459,0.459,4.519,13.564,23.03,997.967,996.907,995.799,16.557,16.681,16.758,7.381,7.378,7.375,3.206,4.485,5.431,284.1,282.552,281.747
2017-10-13 19:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.192,0.942,998.896,16.132,7.344,3.069,291.984,16.26,0,0,0,307.465,14.102,-40.364,2.112,33.248,0.42,4.515,13.55,23.007,998.125,997.063,995.956,16.223,16.352,16.431,7.344,7.341,7.339,3.069,4.275,5.179,295.771,292.984,291.355
2017-10-13 19:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.192,0.942,999.111,15.757,7.33,2.895,290.23,16.105,0,0,0,305.83,13.732,-37.13,1.765,35.823,0.401,4.509,13.532,22.975,998.346,997.284,996.176,15.829,15.955,16.031,7.33,7.327,7.324,2.885,4.044,4.918,293.791,291.516,290.178
2017-10-13 20:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.192,0.942,999.206,15.788,7.192,3.08,297.857,15.946,0,0,0,305.734,13.706,-42.048,2.012,31.118,0.408,4.508,13.53,22.974,998.542,997.48,996.371,15.854,15.999,16.09,7.191,7.186,7.182,3.081,4.299,5.212,301.697,299.235,297.515
2017-10-13 20:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.192,0.942,999.5,15.334,7.233,3.03,294.506,15.792,0,0,0,303.796,13.404,-37.355,1.741,35.842,0.407,4.501,13.51,22.939,998.842,997.777,996.668,15.375,15.495,15.568,7.234,7.232,7.23,3.03,4.192,5.061,298.35,296.054,294.658
2017-10-13 21:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.192,0.942,999.816,15.046,7.172,2.866,293.815,15.62,0,0,0,301.731,13.041,-36.066,1.46,36.985,0.388,4.497,13.497,22.917,999.046,997.985,996.872,15.06,15.186,15.262,7.172,7.17,7.168,2.866,3.976,4.807,297.646,295.15,293.77
