DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.17,0.985,978.09,16.502,7.159,1.327,328.282,15.735,0,0,0,0,20.628,0,0,0,0,10.758,31.878,52.616,978.907,976.316,973.778,20.624,20.624,20.624,8.013,7.929,7.847,1.338,1.338,1.338,325.862,325.862,325.862
2017-10-13 12:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.49,18.249,8.334,3.074,336.113,16.107,0,525.801,524.588,314.48,21.18,56.075,212.786,-51.712,0.363,10.743,31.823,52.505,978.248,975.838,973.477,19.747,19.557,19.487,7.937,7.654,7.534,3.107,3.479,3.6,334.832,335.456,335.996
2017-10-13 13:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.566,17.831,8.559,2.921,340.494,16.392,0,484.004,483.097,313.478,20.833,55.681,187.373,-44.665,0.348,10.731,31.79,52.451,978.294,975.951,973.456,19.325,19.142,19.078,8.16,7.912,7.808,2.95,3.366,3.533,339.145,340.244,341.194
2017-10-13 13:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.501,17.867,8.793,1.789,343.79,16.657,0,430.718,430.124,314.152,21.076,47.561,152.282,-44.011,0.255,10.738,31.811,52.486,978.256,975.846,973.415,19.4,19.218,19.159,8.449,8.211,8.109,1.805,2.053,2.155,342.457,344.47,346.119
2017-10-13 14:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.271,18.053,8.923,0.984,346.862,16.898,0,367.348,367.06,315.763,20.938,34.322,120.422,-39.937,0.184,10.748,31.841,52.539,978.016,975.606,973.244,19.635,19.48,19.433,8.593,8.371,8.275,0.992,1.134,1.196,345.592,348.792,351.25
2017-10-13 14:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.067,18.151,9.03,1.377,340.256,17.074,0,295.277,295.275,317.789,19.815,19.425,97.778,-26.928,0.193,10.755,31.864,52.58,977.801,975.393,973.032,19.805,19.701,19.674,8.722,8.498,8.403,1.389,1.582,1.655,338.942,340.912,342.546
2017-10-13 15:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.005,18.039,9.16,1.747,326.084,17.143,0,216.854,217.097,320.311,18.51,5.243,71.265,-13.352,0.197,10.755,31.865,52.586,977.754,975.346,972.982,19.764,19.733,19.729,8.842,8.636,8.553,1.768,2.027,2.119,324.754,327.127,328.934
2017-10-13 15:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.065,17.558,9.325,1.678,326.798,17.118,0,136.036,136.448,320.08,17.138,-3.233,34.297,-0.196,0.14,10.743,31.833,52.539,977.816,975.407,973.047,19.434,19.484,19.503,8.881,8.683,8.6,1.712,2.011,2.127,325.471,327.099,328.177
2017-10-13 16:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.203,16.348,9.037,1.534,350.952,16.979,0,57.718,58.146,319.951,14.803,-1.557,2.423,21.073,0.03,10.729,31.796,52.484,977.953,975.54,973.183,19.173,19.337,19.371,8.606,8.424,8.376,1.572,1.808,1.899,349.672,350.074,349.957
2017-10-13 16:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.329,15.082,8.277,1.428,10.84,16.62,0,0.328,0.329,319.235,11.558,-1.803,-0.095,48.862,0.021,10.71,31.748,52.417,978.092,975.684,973.319,18.788,19.093,19.145,8.32,8.306,8.301,1.453,1.701,1.776,9.505,5.345,3.443
2017-10-13 17:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.441,14.665,8.191,1.536,17.269,16.2,0,0,0,318.728,11.242,-2.034,-0.212,47.7,0.023,10.694,31.705,52.356,978.214,975.804,973.44,18.364,18.843,18.955,8.277,8.265,8.233,1.564,1.822,1.933,15.938,9.563,6.147
2017-10-13 17:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.58,14.466,8.174,1.249,16.884,15.795,0,0,0,317.955,10.885,-1.436,-0.338,47.105,0.018,10.684,31.678,52.316,978.36,975.95,973.591,18.06,18.625,18.905,8.361,8.242,7.983,1.268,1.761,2.076,15.696,1.595,356.274
2017-10-13 18:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.771,14.485,8.16,0.407,111.117,15.4,0,0,0,317.571,10.502,-0.336,-0.114,46.861,0.005,10.672,31.643,52.262,978.527,976.118,973.757,17.716,18.264,18.655,8.381,8.271,8.105,0.413,0.456,1.004,110.071,4.018,350.486
2017-10-13 18:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.73,14.259,8.014,1.282,162.818,15.018,0,0,0,318.126,10.401,-1.567,-0.538,44.057,0.018,10.68,31.658,52.27,978.504,976.092,973.732,17.981,18.277,18.479,8.305,8.234,8.124,1.303,1.123,0.516,161.482,165.115,167.427
2017-10-13 19:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.739,14.55,7.877,0.689,143.303,14.663,0,0,0,318.675,10.127,-0.704,-0.256,43.172,0.009,10.683,31.67,52.289,978.496,976.086,973.726,18.139,18.483,18.606,8.167,8.102,8.037,0.697,0.511,0.26,141.958,141.743,138.862
2017-10-13 19:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.712,14.365,7.821,0.344,336.125,14.311,0,0,0,318.14,9.817,-0.312,-0.125,42.683,0.004,10.669,31.637,52.253,978.484,976.072,973.712,17.774,18.386,18.625,8.111,8.065,8.033,0.35,0.216,0.264,334.74,359.56,26.63
2017-10-13 20:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.766,13.432,7.792,0.816,322.74,13.974,0,0,0,316.048,9.489,-0.802,-0.37,42.507,0.011,10.637,31.55,52.132,978.53,976.119,973.758,16.889,17.711,18.26,8.136,8.104,8.068,0.827,0.647,0.437,321.398,330.822,349.583
2017-10-13 20:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.809,13.247,7.787,0.312,302.862,13.644,0,0,0,315.201,9.153,-0.255,-0.135,42.477,0.004,10.621,31.503,52.054,978.57,976.162,973.802,16.446,17.252,17.838,8.126,8.116,8.09,0.317,0.323,0.255,301.294,311.577,326.611
2017-10-13 21:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.846,12.925,7.707,0.69,218.139,13.318,0,0,0,314.916,8.958,-0.643,-0.361,41.161,0.009,10.616,31.485,52.024,978.614,976.207,973.844,16.301,17.091,17.646,8.108,8.097,8.072,0.699,0.644,0.55,216.815,216.679,218.615
2017-10-13 21:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.905,12.655,7.593,1.053,221.248,13.01,0,0,0,314.464,8.778,-1.145,-0.651,39.89,0.014,10.611,31.468,51.987,978.671,976.26,973.898,16.206,16.871,17.321,8.041,8.045,8.036,1.068,1.024,0.989,219.957,212.202,207.51
2017-10-13 22:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.978,12.111,7.479,1.506,216.391,12.715,0,0,0,313.192,8.579,-1.973,-1.13,38.905,0.022,10.594,31.418,51.909,978.748,976.34,973.977,15.755,16.478,16.99,7.953,7.978,7.983,1.528,1.219,0.99,215.091,206.329,195.294
2017-10-13 22:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.038,12.019,7.425,1.139,202.916,12.429,0,0,0,312.332,8.258,-1.269,-0.784,39.178,0.016,10.585,31.396,51.875,978.822,976.411,974.049,15.547,16.316,16.8,7.91,7.963,8,1.155,1.049,0.942,201.531,195.384,186.265
2017-10-13 23:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.077,12.096,7.474,0.704,189.358,12.143,0,0,0,312.239,8,-0.68,-0.473,38.852,0.009,10.585,31.392,51.864,978.853,976.44,974.08,15.503,16.167,16.699,7.986,8.012,8.028,0.713,0.721,0.723,188.093,181.409,175.924
2017-10-13 23:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.114,11.732,7.355,1.164,209.008,11.873,0,0,0,311.881,7.871,-1.335,-0.921,37.479,0.016,10.577,31.368,51.824,978.881,976.474,974.108,15.311,15.976,16.472,7.911,7.955,7.986,1.179,1.046,0.893,207.703,200.89,192.098
2017-10-14 00:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.108,11.661,7.297,0.971,201.993,11.61,0,0,0,311.749,7.652,-1.042,-0.73,37,0.013,10.571,31.353,51.805,978.879,976.473,974.11,15.188,15.933,16.482,7.848,7.88,7.903,0.982,0.976,0.907,200.631,198.424,197.903
2017-10-14 00:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.161,11.768,7.372,0.12,126.371,11.346,0,0,0,311.48,7.346,-0.101,-0.077,37.344,0.002,10.564,31.332,51.776,978.932,976.522,974.163,14.965,15.754,16.453,7.873,7.883,7.885,0.121,0.257,0.364,124.389,161.027,183.705
2017-10-14 01:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.079,11.498,7.351,0.146,0.007,11.098,0,0,0,310.255,7.098,-0.122,-0.099,37.295,0.002,10.554,31.311,51.753,978.859,976.449,974.09,14.697,15.701,16.466,7.883,7.884,7.869,0.148,0.137,0.367,358.574,208.773,209.996
2017-10-14 01:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.06,11.293,7.292,0.351,41.58,10.857,0,0,0,309.362,6.901,-0.312,-0.261,36.832,0.005,10.55,31.298,51.731,978.832,976.421,974.061,14.584,15.579,16.307,7.871,7.871,7.846,0.356,0.176,0.124,40.167,56.744,184.936
2017-10-14 02:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.043,11.001,7.203,0.673,3.349,10.615,0,0,0,308.794,6.746,-0.664,-0.563,35.978,0.009,10.544,31.283,51.707,978.817,976.409,974.047,14.441,15.476,16.198,7.841,7.841,7.822,0.682,0.652,0.511,1.973,5.78,5.609
2017-10-14 02:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.11,10.547,7.123,0.915,328.734,10.393,0,0,0,307.321,6.532,-0.958,-0.843,35.858,0.012,10.529,31.233,51.623,978.886,976.476,974.118,14.027,14.968,15.712,7.8,7.811,7.799,0.926,1.029,1.113,327.322,331.882,334.219
2017-10-14 03:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.158,10.61,7.134,0.469,302.177,10.173,0,0,0,306.4,6.256,-0.435,-0.393,36.341,0.006,10.526,31.224,51.599,978.933,976.523,974.161,13.945,14.871,15.378,7.779,7.806,7.818,0.473,0.862,1.125,300.87,316.754,339.235
2017-10-14 03:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.206,10.394,7.146,0.426,331.005,9.953,0,0,0,305.014,6.008,-0.39,-0.375,36.558,0.005,10.518,31.194,51.538,978.978,976.568,974.205,13.708,14.401,14.898,7.826,7.869,7.857,0.43,0.871,1.2,329.682,337.829,351.511
2017-10-14 04:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.228,10.364,7.216,0.399,8.43,9.734,0,0,0,304.148,5.805,-0.376,-0.388,36.365,0.005,10.522,31.205,51.558,979.007,976.594,974.233,13.726,14.464,15.029,7.967,7.962,7.872,0.404,0.887,1.367,7.158,353.124,354.249
2017-10-14 04:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.26,10.146,7.171,0.545,88.855,9.514,0,0,0,302.991,5.604,-0.542,-0.575,36.155,0.007,10.517,31.21,51.595,979.036,976.628,974.265,13.589,14.816,15.45,7.98,8.029,7.998,0.552,0.847,1.351,87.546,14.932,1.574
2017-10-14 05:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.274,10.553,7.109,0.4,98.887,9.304,0,0,0,303.592,5.498,-0.415,-0.42,35.149,0.005,10.535,31.253,51.647,979.05,976.639,974.275,14.105,14.945,15.38,7.927,8.141,8.346,0.405,0.491,0.904,97.504,20.638,344.275
2017-10-14 05:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.29,10.422,7.123,0.459,61.796,9.106,0,0,0,303.4,5.364,-0.486,-0.509,34.526,0.006,10.533,31.242,51.623,979.069,976.658,974.293,14.01,14.699,15.098,7.986,8.298,8.497,0.465,0.497,1.155,60.415,14.261,328.399
2017-10-14 06:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.328,10.19,7.318,0.682,59.532,8.923,0,13.685,13.174,302.518,5.956,-0.673,-0.743,27.352,0.009,10.52,31.206,51.564,979.101,976.686,974.322,13.593,14.361,14.776,8.143,8.372,8.45,0.69,0.393,0.946,58.152,22.684,312.823
2017-10-14 06:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.358,10.255,7.34,1.061,69.771,8.819,0,82.126,23.038,302.631,6.522,-1.123,-1.183,21.154,0.014,10.523,31.208,51.558,979.131,976.718,974.354,13.677,14.285,14.668,8.134,8.315,8.404,1.074,0.684,0.562,68.475,54.458,336.038
2017-10-14 07:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.443,12.72,8.199,0.94,70.992,8.898,0,161.618,159.788,303.626,13.062,2.454,15.073,-38.307,0.113,10.546,31.265,51.631,979.221,976.811,974.446,14.308,14.67,14.863,8.109,8.125,8.266,0.946,1.025,0.745,69.722,56.217,31.117
2017-10-14 07:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.462,13.749,8.534,0.035,60.337,9.38,0,241.261,239.134,305.533,15.839,15.912,32.78,-59.365,0.088,10.586,31.363,51.755,979.239,976.827,974.463,15.259,15.128,15.12,8.408,8.221,8.164,0.035,0.387,0.504,58.891,44.553,43.597
