DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.1,0.97,985.233,20.729,7.113,1.518,185.828,15.758,0,0,0,0,22.384,0,0,0,0,10.837,32.099,52.95,984.01,981.58,979.207,22.095,21.748,21.393,7.116,7.041,6.964,1.57,1.655,1.744,190.87,191.657,192.553
2017-10-13 12:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,986.16,20.667,7.045,0.882,195.736,17.328,0,501.749,503.158,320.42,22.489,25.982,0,-302.656,0.247,10.826,32.076,52.938,984.846,982.421,980.045,21.723,21.626,21.594,7.046,7.046,7.042,0.896,1.202,1.341,198.876,189.786,184.898
2017-10-13 13:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,986.192,21.103,7.278,1.178,171.551,18.514,0,450.369,451.638,323.351,22.899,28.223,0,-257.085,0.284,10.844,32.132,53.029,984.919,982.494,980.05,22.147,22.048,22.004,7.278,7.254,7.232,1.201,1.53,1.67,174.708,172.097,170.323
2017-10-13 13:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,986.304,21.125,7.304,1.528,180.757,19.326,0,388.345,389.451,325.047,22.829,28.936,0,-205.36,0.317,10.845,32.134,53.033,985.023,982.597,980.221,22.146,22.044,22.003,7.303,7.293,7.282,1.555,1.891,2.001,183.993,181.31,179.404
2017-10-13 14:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,986.14,21.003,7.579,1.882,169.373,19.779,0,318.233,319.158,324.813,22.376,24.361,0,-152.277,0.339,10.845,32.134,53.034,984.912,982.488,980.111,22.038,21.947,21.91,7.58,7.564,7.549,1.918,2.34,2.498,172.537,172.25,171.658
2017-10-13 14:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,986.197,20.52,8.478,2.708,185.378,19.892,0,240.456,241.181,326.586,21.518,20.943,0,-95.342,0.419,10.843,32.128,53.024,984.971,982.542,980.164,21.559,21.487,21.46,8.477,8.453,8.434,2.764,3.355,3.573,188.594,187.595,186.816
2017-10-13 15:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,986.393,20.092,8.671,2.585,175.916,19.695,0,159.42,159.934,325.229,20.456,6.764,0,-44.617,0.37,10.834,32.104,52.988,985.045,982.617,980.236,21.195,21.171,21.164,8.671,8.648,8.627,2.644,3.266,3.519,179.076,179.426,179.484
2017-10-13 15:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,986.225,19.44,8.488,2.231,177.839,19.232,0,78.704,78.999,323.112,19.094,-4.396,0,8.077,0.247,10.81,32.035,52.878,985.113,982.685,980.305,20.685,20.75,20.787,8.488,8.422,8.372,2.302,2.887,3.116,181.053,180.528,179.86
2017-10-13 16:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,986.44,18.239,8.707,1.725,185.303,18.503,0,10.513,10.58,320.159,17.438,-2.589,0,62.447,0.069,10.79,31.987,52.822,985.097,982.669,980.288,19.948,20.399,20.629,8.707,8.567,8.493,1.805,2.551,2.906,188.48,183.448,179.266
2017-10-13 16:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,986.574,17.534,8.705,1.691,177.004,17.678,0,0,0,317.977,16.497,-2.107,0,69.234,0.049,10.773,31.945,52.769,985.136,982.709,980.327,19.444,20.114,20.469,8.705,8.645,8.525,1.754,2.134,2.492,180.191,175.81,173.843
2017-10-13 17:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,986.503,16.926,8.706,1.453,183.35,16.944,0,0,0,316.685,15.791,-1.411,0,67.645,0.035,10.75,31.883,52.679,985.194,982.765,980.384,18.874,19.649,20.193,8.706,8.657,8.592,1.494,1.763,2.112,186.557,180.518,177.317
2017-10-13 17:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,986.483,16.82,8.909,0.231,226.909,16.287,0,0,0,316.342,15.159,-0.117,0,66.183,0.004,10.741,31.838,52.571,985.304,982.874,980.493,18.576,18.859,19.186,8.909,8.773,8.68,0.233,0.347,0.473,230.463,235.891,219.08
2017-10-13 18:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,986.521,16.097,8.832,1.489,27.893,15.706,0,0,0,316.124,14.642,-1.617,0,62.396,0.033,10.726,31.797,52.512,985.414,982.985,980.603,18.213,18.553,18.814,8.832,8.888,8.942,1.531,1.385,1.211,31.019,25.907,18.734
2017-10-13 18:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,986.712,15.405,8.207,2.163,24.929,15.207,0,0,0,314.316,14.214,-5.341,0,58.265,0.094,10.684,31.694,52.382,985.397,982.967,980.586,17.305,18.198,18.822,8.207,8.34,8.384,2.256,4.035,3.918,28.141,34.625,33.968
2017-10-13 19:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,986.762,14.607,8.213,2.096,56.274,14.777,0,0,0,312.222,13.804,-6.481,0,57.071,0.156,10.639,31.554,52.157,985.502,983.072,980.69,16.074,16.803,17.801,8.213,8.371,8.403,2.173,4.148,4.582,59.659,53.781,53.274
2017-10-13 19:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,987.15,14.002,8.233,1.681,46.981,14.36,0,0,0,308.423,13.304,-2.616,0,61.926,0.076,10.623,31.497,52.021,985.697,983.265,980.883,15.545,16.022,16.197,8.233,8.345,8.383,1.745,2.217,2.469,50.105,47.89,48.84
2017-10-13 20:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,987.122,13.816,8.321,2.099,23.719,13.973,0,0,0,307.801,12.999,-6.506,0,57.154,0.154,10.612,31.467,51.973,985.895,983.465,981.083,15.26,15.802,15.949,8.321,8.427,8.472,2.175,2.76,2.746,26.9,30.658,37.221
2017-10-13 20:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,987.276,13.585,8.321,2.09,40.471,13.649,0,0,0,307.827,12.695,-6.291,0,55.923,0.138,10.607,31.458,51.966,985.971,983.605,981.224,15.094,15.799,15.99,8.321,8.411,8.432,2.167,2.795,2.764,43.687,40.385,45.972
2017-10-13 21:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,987.396,13.329,8.113,1.95,39.248,13.341,0,0,0,306.921,12.36,-3.881,0,57.558,0.083,10.6,31.435,51.926,986.235,983.804,981.422,15.01,15.618,15.837,8.112,8.207,8.224,2.021,2.286,2.195,42.419,37.042,38.53
2017-10-13 21:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,987.687,13.137,7.908,2.027,44.36,13.05,0,0,0,305.107,12.07,-4.25,0,57.431,0.084,10.594,31.421,51.908,986.404,983.972,981.59,14.877,15.586,15.804,7.908,8.021,8.043,2.1,2.237,2.173,47.575,44.872,50.44
2017-10-13 22:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,987.87,12.894,7.749,1.416,56.429,12.783,0,0,0,303.764,11.758,-1.334,0,60.076,0.033,10.585,31.394,51.867,986.635,984.205,981.821,14.689,15.407,15.676,7.749,7.913,7.956,1.447,1.448,1.542,59.633,54.853,60.74
2017-10-13 22:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,988.106,12.656,7.652,1.187,71.66,12.523,0,0,0,302.854,11.498,-0.917,0,60.097,0.025,10.574,31.367,51.828,986.849,984.416,982.031,14.394,15.268,15.469,7.651,7.87,7.885,1.212,1.424,1.761,74.854,75.709,79.479
2017-10-13 23:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,988.277,12.34,7.57,1.499,84.238,12.283,0,0,0,302.01,11.273,-1.506,0,59.22,0.037,10.561,31.33,51.771,987.035,984.604,982.22,14.067,15,15.249,7.569,7.756,7.769,1.534,1.795,1.872,87.478,87.636,93.887
2017-10-13 23:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.15,0.88,988.431,12.122,7.414,1.586,71.795,12.065,0,0,0,301.813,11.071,-1.745,0,58.231,0.042,10.55,31.303,51.734,987.201,984.77,982.385,13.833,14.888,15.15,7.414,7.627,7.705,1.624,1.803,1.71,74.995,75.008,81.818
