DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.1,0.97,982.514,20.687,7.431,1.633,191.929,16.336,0,0,0,0,21.571,0,0,0,0,10.855,32.17,53.099,981.736,979.147,976.613,22.769,22.769,22.769,7.618,7.539,7.462,1.607,1.607,1.607,197.398,197.398,197.398
2017-10-13 12:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,982.229,20.739,7.034,0.876,193.706,17.922,0,500.783,514.943,320.237,23.021,36.809,0,-299.002,0.288,10.823,32.072,52.929,980.898,978.485,976.116,22.105,21.978,21.933,7.033,7.019,7.006,0.888,1.07,1.064,196.685,195.371,194.14
2017-10-13 13:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,982.101,21.071,6.714,0.572,136.666,19.111,0,450.299,464.591,320.735,23.454,36.58,0,-254.637,0.268,10.829,32.088,52.955,980.861,978.446,976.081,22.444,22.308,22.255,6.714,6.705,6.697,0.581,0.833,0.925,139.574,133.792,130.326
2017-10-13 13:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,982.377,21.213,6.633,0.966,216.838,19.94,0,388.487,402.513,322.061,23.425,35.444,0,-204.299,0.288,10.835,32.106,52.986,980.957,978.544,976.176,22.577,22.456,22.403,6.633,6.63,6.628,0.986,1.214,1.28,219.97,217.891,216.047
2017-10-13 14:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,982.318,20.969,6.669,1.453,203.535,20.379,0,318.523,331.902,320.841,22.91,32.874,0,-148.407,0.314,10.826,32.082,52.947,980.878,978.465,976.101,22.338,22.22,22.176,6.669,6.663,6.658,1.478,1.813,1.922,206.68,204.638,203.002
2017-10-13 14:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,982.1,20.937,6.85,1.298,205.408,20.507,0,241.07,253.291,321.587,22.21,18.798,0,-99.855,0.271,10.827,32.085,52.954,980.928,978.584,976.149,22.343,22.262,22.228,6.85,6.854,6.855,1.322,1.638,1.768,208.633,206.903,205.858
2017-10-13 15:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,982.09,20.602,7.275,1.812,207.84,20.339,0,159.306,169.715,322.671,21.127,7.849,0,-46.199,0.287,10.822,32.072,52.936,980.964,978.55,976.185,22.045,22.006,21.99,7.275,7.282,7.288,1.849,2.225,2.373,211.022,210.303,209.726
2017-10-13 15:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,982.432,19.852,8.314,2.332,184.715,19.884,0,78.185,85.752,323.896,19.75,-1.517,0,7.802,0.293,10.818,32.061,52.919,981.08,978.663,976.293,21.372,21.377,21.378,8.314,8.311,8.31,2.395,2.828,3.005,187.9,188.344,188.723
2017-10-13 16:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,982.493,18.92,8.434,1.96,189.887,19.177,0,10.215,12.618,322.154,18.157,-5.314,0,59.777,0.137,10.799,32.007,52.834,981.131,978.713,976.342,20.788,20.867,20.903,8.434,8.424,8.415,2.053,2.406,2.574,193.084,193.902,194.582
2017-10-13 16:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,982.404,18.099,8.432,1.285,178.081,18.35,0,0,0,320.13,17.13,-1.002,0,71.531,0.03,10.778,31.948,52.746,981.19,978.772,976.401,20.266,20.437,20.564,8.432,8.427,8.419,1.323,1.626,1.901,181.311,185.09,186.835
2017-10-13 17:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,982.418,17.545,8.649,1.106,302.75,17.603,0,0,0,318.261,16.411,-0.778,0,69.894,0.023,10.763,31.905,52.675,981.26,978.841,976.472,19.755,19.95,20.113,8.649,8.642,8.608,1.136,1.025,0.841,306.022,300.528,286.477
2017-10-13 17:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,982.416,17.132,8.45,1.62,318.713,16.944,0,0,0,317.088,15.804,-1.908,0,66.829,0.04,10.752,31.873,52.625,981.306,978.888,976.518,19.556,19.757,19.903,8.45,8.466,8.471,1.668,1.786,1.747,321.971,321.074,315.102
2017-10-13 18:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,982.752,16.794,8.508,2.433,30.128,16.364,0,0,0,316.246,15.355,-8.169,0,59.151,0.118,10.74,31.842,52.58,981.468,979.046,976.676,19.143,19.448,19.66,8.508,8.508,8.51,2.549,2.481,2.254,33.48,32.924,30.484
2017-10-13 18:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,982.609,15.779,8.316,2.566,42.253,15.878,0,0,0,313.014,14.897,-10.51,0,57.528,0.234,10.676,31.658,52.299,981.406,978.988,976.615,17.545,17.964,18.635,8.316,8.351,8.362,2.655,4.712,4.776,45.434,45.631,53.224
2017-10-13 19:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,982.834,15.61,8.338,4.133,43.247,15.472,0,0,0,310.395,14.664,-21.845,0,47.387,0.474,10.67,31.626,52.209,981.487,979.069,976.697,17.279,17.379,17.467,8.338,8.339,8.341,4.241,5.178,5.666,46.436,46.359,46.003
2017-10-13 19:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,982.788,15.472,8.212,3.911,46.697,15.129,0,0,0,308.486,14.348,-23.615,0,45.782,0.428,10.664,31.608,52.178,981.614,979.195,976.821,17.199,17.302,17.343,8.212,8.214,8.217,4.019,4.896,5.219,49.909,48.738,48.41
2017-10-13 20:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,982.988,15.142,8.096,3.644,53.767,14.818,0,0,0,307.372,14.012,-21.555,0,47.239,0.386,10.65,31.57,52.12,981.83,979.412,977.04,16.869,17.017,17.109,8.096,8.105,8.119,3.747,4.583,4.94,56.951,55.87,55.709
2017-10-13 20:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,983.328,14.76,8.005,3.155,53.856,14.512,0,0,0,307.108,13.656,-17.175,0,50.166,0.31,10.638,31.535,52.069,982.012,979.592,977.219,16.506,16.706,16.897,8.005,8.018,8.044,3.25,4.103,4.613,57.043,55.066,54.59
2017-10-13 21:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,983.482,14.23,7.873,2.567,47.142,14.226,0,0,0,308.05,13.304,-10.824,0,54.044,0.229,10.617,31.49,52.036,982.114,979.694,977.319,15.954,16.661,17.261,7.873,7.897,8.011,2.648,4.804,4.914,50.316,48.144,54.658
2017-10-13 21:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,983.341,13.984,7.8,2.395,54.504,13.934,0,0,0,306.262,12.989,-9.512,0,55.445,0.187,10.606,31.462,51.993,982.293,979.873,977.501,15.781,16.557,17.185,7.8,7.825,7.927,2.479,4.423,4.503,57.666,52.387,58.771
2017-10-13 22:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,983.904,13.637,7.762,2.074,62.396,13.651,0,0,0,303.56,12.622,-5.232,0,60.378,0.104,10.604,31.456,51.985,982.531,980.111,977.737,15.607,16.435,17.041,7.762,7.782,7.847,2.155,3.82,4.056,65.594,51.24,56.42
2017-10-13 22:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,983.779,13.335,7.66,1.834,49.921,13.378,0,0,0,304.145,12.338,-2.817,0,60.958,0.063,10.591,31.416,51.914,982.709,980.289,977.917,15.379,16.125,16.751,7.659,7.676,7.742,1.891,3.433,3.598,53.13,48.856,56.328
2017-10-13 23:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,984.247,13.258,7.601,1.889,51.916,13.111,0,0,0,302.166,12.066,-2.946,0,61.283,0.058,10.596,31.432,51.941,982.906,980.486,978.111,15.44,16.229,16.772,7.601,7.646,7.714,1.945,2.722,2.755,55.083,51.77,57.829
2017-10-13 23:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,984.282,13.158,7.56,1.352,61.09,12.866,0,0,0,301.69,11.806,-1.279,0,62.153,0.029,10.592,31.412,51.894,983.099,980.679,978.304,15.356,15.958,16.374,7.56,7.608,7.656,1.38,1.78,1.802,64.357,61.671,66.973
2017-10-14 00:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,984.538,13.001,7.527,1.252,68.851,12.626,0,0,0,299.793,11.555,-1.133,0,62.799,0.026,10.588,31.394,51.851,983.259,980.836,978.462,15.208,15.609,15.954,7.527,7.552,7.583,1.277,1.398,1.319,72.001,69.981,76.012
2017-10-14 00:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,984.434,12.944,7.551,1.205,53.296,12.406,0,0,0,297.829,11.324,-1.126,0,63.45,0.024,10.589,31.394,51.838,983.155,980.735,978.362,15.233,15.491,15.703,7.551,7.562,7.572,1.228,1.188,1.088,56.458,60.535,68.561
2017-10-14 01:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,984.353,12.77,7.613,0.444,352.437,12.186,0,0,0,296.076,11.082,-0.269,0,64.758,0.008,10.574,31.347,51.763,983.162,980.741,978.365,14.795,15.064,15.307,7.613,7.61,7.608,0.452,0.393,0.475,355.577,23.31,52.761
2017-10-14 01:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,984.499,12.455,7.636,0.619,351.039,11.977,0,0,0,295.53,10.882,-0.396,0,64.202,0.011,10.564,31.316,51.709,983.302,980.879,978.502,14.498,14.724,14.962,7.637,7.631,7.63,0.631,0.576,0.507,354.295,1.32,16.957
2017-10-14 02:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.15,0.88,984.614,12.276,7.657,1.15,357.658,11.788,0,0,0,295.329,10.714,-1.014,0,62.976,0.023,10.564,31.316,51.708,983.43,981.009,978.632,14.491,14.699,14.868,7.657,7.658,7.656,1.171,1.098,1.018,0.853,354.444,348.639
