DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.1,0.97,983.417,20.666,7.416,2.037,178.859,15.888,0,0,0,0,21.477,0,0,0,0,10.844,32.116,52.969,982.273,979.776,977.408,22.271,21.947,21.368,7.451,7.364,7.266,2.035,2.099,2.219,183.916,184.6,184.678
2017-10-13 12:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.15,0.88,983.943,20.248,6.827,1.386,181.637,17.402,0,500.868,495.855,319.422,22.321,34.049,0,-288.408,0.298,10.806,32.013,52.83,982.62,980.269,977.83,21.467,21.331,21.29,6.827,6.819,6.813,1.409,1.776,1.905,184.749,181.357,179.002
2017-10-13 13:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.15,0.88,983.947,20.546,6.779,1.488,182.082,18.511,0,450.233,442.997,320.361,22.626,35.536,0,-241.247,0.315,10.816,32.042,52.878,982.639,980.221,977.852,21.757,21.622,21.577,6.779,6.775,6.77,1.513,1.889,2.022,185.238,182.385,180.148
2017-10-13 13:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.15,0.88,984.12,20.721,6.861,1.601,204.258,19.263,0,388.794,379.663,321.234,22.547,31.525,0,-192.565,0.323,10.825,32.068,52.922,982.744,980.325,977.952,21.93,21.809,21.766,6.862,6.856,6.849,1.629,2.021,2.157,207.331,205.806,204.661
2017-10-13 14:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.15,0.88,983.898,20.84,7.103,1.596,191.471,19.684,0,318.687,308.103,321.977,22.152,21.136,0,-144.751,0.302,10.833,32.096,52.969,982.624,980.205,977.835,22.089,22.005,21.975,7.103,7.101,7.099,1.626,2.027,2.188,194.647,193.369,192.051
2017-10-13 14:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.15,0.88,983.922,20.798,7.073,1.707,188.985,19.801,0,241.464,230.066,322.405,21.414,9.06,0,-94.594,0.28,10.833,32.095,52.971,982.668,980.247,977.877,22.089,22.047,22.029,7.073,7.069,7.065,1.741,2.105,2.26,192.117,190.808,190.189
2017-10-13 15:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.15,0.88,983.756,20.406,7.565,1.918,192.646,19.62,0,159.904,148.66,322.768,20.324,-1.019,0,-41.296,0.238,10.828,32.082,52.953,982.693,980.275,977.904,21.785,21.783,21.78,7.568,7.609,7.636,1.974,2.343,2.502,195.887,196.164,196.289
2017-10-13 15:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.15,0.88,984.251,19.499,8.544,2.192,186.834,19.157,0,78.684,69.323,323.953,18.935,-6.134,0,13.03,0.212,10.821,32.064,52.927,982.808,980.384,978.01,21.039,21.101,21.132,8.544,8.538,8.532,2.278,2.727,2.918,189.933,188.074,186.807
2017-10-13 16:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.15,0.88,984.272,18.339,8.761,1.904,189.39,18.447,0,10.57,7.111,321.476,17.373,-3.519,0,62.976,0.078,10.8,32.006,52.84,982.844,980.422,978.046,20.347,20.562,20.671,8.761,8.751,8.714,1.993,2.528,2.811,192.61,187.539,185.068
2017-10-13 16:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.15,0.88,984.068,17.739,8.533,2.032,208.812,17.662,0,0,0,319.436,16.531,-3.9,0,66.303,0.072,10.778,31.944,52.743,982.894,980.472,978.096,19.939,20.208,20.4,8.533,8.537,8.512,2.118,2.236,2.387,211.977,199.94,189.251
