DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.1,0.97,994.579,18.4,7.696,3.592,289.186,15.742,0,0,0,0,18.964,0,0,0,0,10.767,31.9,52.606,993.447,990.891,988.491,19.08,18.704,17.785,7.745,7.674,7.599,3.579,3.8,4.389,290.805,290.597,290.094
2017-10-13 12:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.15,0.88,992.73,17.959,7.684,3.594,282.435,17.017,0,489.9,489.473,310.849,20.926,87.57,0,-229.221,0.602,10.731,31.802,52.486,991.382,988.937,986.542,18.275,18.115,18.046,7.685,7.678,7.67,3.661,4.438,4.799,284.629,284.811,284.975
2017-10-13 13:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.15,0.88,992.565,18.271,7.695,4.222,286.141,17.882,0,442.297,441.628,312.332,21.064,90.128,0,-186.565,0.67,10.743,31.836,52.541,991.264,988.822,986.426,18.589,18.43,18.361,7.694,7.677,7.661,4.302,5.179,5.57,288.366,288.232,288.144
2017-10-13 13:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.15,0.88,992.585,18.348,7.774,4.162,289.63,18.5,0,384.599,383.716,311.935,20.966,82.966,0,-144.615,0.657,10.748,31.851,52.567,991.249,988.805,986.41,18.682,18.534,18.47,7.774,7.76,7.746,4.24,5.081,5.455,291.835,291.762,291.738
2017-10-13 14:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.15,0.88,992.603,18.281,7.375,4.201,289.194,18.817,0,318.236,317.183,309.244,20.529,70.402,0,-100.406,0.649,10.74,31.83,52.533,991.284,988.843,986.448,18.641,18.509,18.456,7.376,7.363,7.349,4.279,5.142,5.516,291.407,291.374,291.377
2017-10-13 14:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.15,0.88,992.513,18.161,7.639,3.667,284.896,18.89,0,243.754,242.597,309.495,19.933,49.396,0,-61.167,0.569,10.742,31.835,52.544,991.231,988.787,986.393,18.577,18.472,18.429,7.638,7.621,7.604,3.737,4.51,4.853,287.111,287.243,287.382
2017-10-13 15:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.15,0.88,992.511,17.946,7.683,3.428,288.222,18.72,0,164.587,163.421,309.642,19.054,28.144,0,-19.568,0.514,10.737,31.823,52.525,991.267,988.825,986.428,18.424,18.363,18.342,7.683,7.667,7.653,3.493,4.212,4.537,290.431,290.357,290.304
2017-10-13 15:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.15,0.88,992.566,17.642,7.595,3.307,288.957,18.331,0,85.523,84.51,307.815,17.947,6.941,0,22.49,0.458,10.729,31.8,52.493,991.287,988.844,986.448,18.216,18.234,18.258,7.595,7.554,7.521,3.376,4.207,4.571,291.174,291.744,292.107
2017-10-13 16:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.15,0.88,992.633,16.928,7.546,2.628,299.065,17.736,0,16.019,15.542,305.984,16.633,-4.698,0,64.678,0.311,10.706,31.741,52.408,991.352,988.909,986.514,17.612,17.837,17.978,7.546,7.479,7.428,2.695,3.621,4.034,301.291,299.704,299.56
2017-10-13 16:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.15,0.88,992.68,15.994,7.444,2.194,297.384,17.042,0,0,0,303.861,15.734,-3.429,0,76.681,0.252,10.67,31.661,52.324,991.387,988.944,986.55,16.669,17.65,18.12,7.444,7.394,7.351,2.251,4.001,4.357,299.583,295.846,298.291
