DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.1,0.97,961.885,16.736,5.148,0.557,19.182,15.141,0,0,0,0,21.53,0,0,0,0,10.844,32.127,53.019,965.786,963.256,960.775,25.325,25.325,25.325,7.329,7.254,7.18,0.365,0.365,0.365,19.43,19.43,19.43
2017-10-13 12:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.15,0.88,959.771,21.658,5.183,1.388,334.534,16.913,0,533.61,554.841,307.76,22.779,15.946,0,-343.903,0.269,10.825,32.067,52.918,958.534,956.244,953.875,25.038,24.974,24.962,5.183,5.201,5.209,1.414,1.55,1.502,334.773,331.997,329.817
2017-10-13 13:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.15,0.88,959.7,21.945,5.239,0.928,109.092,18.296,0,486.72,506.764,310.727,23.402,19.018,0,-299.375,0.234,10.836,32.099,52.966,958.416,956.064,953.756,25.335,25.23,25.197,5.24,5.234,5.236,0.946,1.169,1.228,109.862,106.858,105.424
2017-10-13 13:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.15,0.88,959.655,22.045,5.584,0.333,317.625,19.303,0,428.821,447.067,312.388,23.583,17.235,0,-250.944,0.184,10.845,32.127,53.013,958.391,956.039,953.729,25.445,25.331,25.315,5.584,5.599,5.614,0.345,0.572,0.639,318.716,321.299,324.233
2017-10-13 14:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.15,0.88,959.653,22.283,5.276,0.504,14.086,19.914,0,363.116,379.666,312.397,23.35,10.618,0,-201.443,0.163,10.849,32.14,53.038,958.404,956.049,953.744,25.71,25.649,25.63,5.275,5.283,5.277,0.513,0.866,0.993,14.123,9.457,9.032
2017-10-13 14:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.15,0.88,959.671,22.36,5.173,0.711,151.991,20.269,0,288.096,302.373,313.489,22.773,3.452,0,-146.82,0.145,10.851,32.146,53.05,958.417,956.065,953.76,25.823,25.849,25.871,5.173,5.054,5.011,0.726,0.638,0.523,151.425,140.899,126.099
2017-10-13 15:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.15,0.88,959.854,21.401,6.824,3.61,81.608,20.258,0,205.064,216.501,318.723,21.654,5.83,0,-81.811,0.491,10.841,32.118,53.003,958.629,956.273,953.961,24.829,24.809,24.8,6.824,6.825,6.827,3.698,4.485,4.832,81.573,80.335,79.553
2017-10-13 15:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.15,0.88,960.278,19.742,7.701,5.269,74.517,19.917,0,122.209,130.493,316.716,20.083,11.017,0,-9.722,0.708,10.794,31.977,52.769,959.024,956.664,954.353,23.099,23.06,23.044,7.703,7.711,7.716,5.391,6.529,7.019,74.468,73.286,72.627
2017-10-13 16:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.15,0.88,960.615,18.678,8.11,4.393,76.458,19.251,0,43.96,48.389,315.148,18.569,-2.897,0,39.99,0.57,10.763,31.889,52.627,959.344,956.985,954.668,22.073,22.069,22.069,8.11,8.115,8.116,4.495,5.506,5.972,76.43,74.291,73.565
2017-10-13 16:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.15,0.88,961.087,17.844,8.153,1.787,88.644,18.403,0,0,0,315.282,17.156,-3.794,0,73.152,0.111,10.747,31.84,52.548,959.769,957.405,955.092,21.555,21.588,21.604,8.153,8.153,8.152,1.868,2.174,2.37,88.724,84.476,81.993
