DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.17,0.985,976.798,16.641,6.819,6.26,288.416,15.612,0,0,0,0,17.935,0,0,0,0,10.698,31.706,52.333,976.162,973.598,971.09,19.372,19.372,19.372,7.062,6.988,6.916,6.249,6.249,6.249,291.849,291.849,291.849
2017-10-13 12:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.181,16.505,7.449,6.182,281.499,15.686,0,483.644,457.492,301.921,17.839,38.903,221.457,-11.794,0.609,10.664,31.603,52.155,974.676,972.275,969.923,18.35,18.285,18.258,7.094,6.96,6.896,6.258,7.274,7.8,285.133,285.671,286.023
2017-10-13 13:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.331,16.498,7.44,6.626,279.91,15.737,0,432.809,405.934,302.814,17.225,21.967,204.087,-8.128,0.636,10.666,31.61,52.169,974.835,972.432,970.083,18.401,18.364,18.349,7.086,6.965,6.908,6.715,7.803,8.369,283.52,283.927,284.16
2017-10-13 13:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.553,16.224,7.445,6.516,278.227,15.759,0,372.31,345.418,301.708,16.521,8.712,174.578,-4.154,0.615,10.661,31.594,52.144,974.942,972.541,970.189,18.177,18.164,18.16,7.091,6.982,6.932,6.603,7.703,8.27,281.874,282.36,282.637
2017-10-13 14:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.592,16.012,7.615,6.161,277.042,15.753,0,302.99,276.95,301.113,15.86,-4.146,138.027,-0.585,0.569,10.658,31.589,52.138,974.984,972.586,970.23,18.034,18.049,18.059,7.252,7.157,7.112,6.248,7.312,7.863,280.677,281.175,281.474
2017-10-13 14:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.6,15.769,7.673,6.365,277.861,15.72,0,226.881,202.756,300.946,14.952,-22.075,104.774,4.173,0.563,10.657,31.585,52.135,974.97,972.569,970.214,17.927,17.974,17.997,7.335,7.262,7.228,6.467,7.55,8.11,281.504,281.815,281.959
2017-10-13 15:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.588,15.457,7.655,6.292,278.897,15.648,0,146.925,126.155,300.522,13.945,-38.575,68.702,9.241,0.53,10.653,31.577,52.124,974.936,972.535,970.182,17.805,17.893,17.934,7.384,7.328,7.302,6.407,7.507,8.07,282.533,282.916,283.09
2017-10-13 15:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.528,14.996,7.511,6.103,279.501,15.541,0,67.979,53.014,300.135,12.775,-51.905,33.836,14.992,0.484,10.645,31.554,52.089,974.901,972.499,970.149,17.6,17.733,17.793,7.342,7.308,7.292,6.231,7.33,7.888,283.131,283.649,283.871
2017-10-13 16:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.469,14.626,7.299,6.016,279.009,15.397,0,4.612,3.369,299.734,11.969,-58.697,7.488,18.558,0.456,10.635,31.525,52.044,974.985,972.585,970.229,17.417,17.571,17.64,7.256,7.244,7.237,6.149,7.251,7.808,282.658,283.149,283.39
2017-10-13 16:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.58,14.547,7.357,6.149,278.45,15.243,0,0,0,300.037,11.947,-59.371,5.067,17.825,0.472,10.632,31.516,52.03,975.072,972.672,970.384,17.29,17.446,17.516,7.33,7.324,7.32,6.282,7.39,7.943,282.06,282.593,282.86
2017-10-13 17:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.607,14.545,7.493,6.472,280.305,15.111,0,0,0,300.148,12.053,-61.15,5.085,16.522,0.51,10.632,31.516,52.028,975.1,972.7,970.341,17.212,17.363,17.432,7.469,7.463,7.459,6.604,7.784,8.369,283.948,284.351,284.547
