DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.1,0.97,944.685,15.445,6.68,4.753,281.742,13.211,0,0,0,0,15.537,0,0,0,0,10.558,31.265,51.58,943.462,941.144,938.873,18.548,18.398,18.382,6.618,6.6,6.589,6.321,6.668,6.911,284.389,284.591,284.854
2017-10-13 12:30:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.15,0.88,944.399,14.326,7.068,4.737,284.304,14.269,0,495.306,487.719,286.541,17.641,112.632,0,-197.73,0.741,10.57,31.3,51.636,943.241,940.924,938.652,18.704,18.531,18.456,7.068,7.044,7.025,4.805,5.782,6.287,286.603,286.417,286.288
2017-10-13 13:00:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.15,0.88,944.588,14.308,7.216,4.775,285.793,14.969,0,330.111,329.991,333.246,17.112,94.189,0,-125.689,0.732,10.574,31.311,51.655,943.39,941.071,938.801,18.71,18.562,18.5,7.215,7.189,7.167,4.846,5.806,6.285,288.123,287.86,287.657
2017-10-13 13:30:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.15,0.88,944.704,14.301,7.202,4.397,286.087,15.368,0,387.508,375.28,288.198,17.388,99.027,0,-118.416,0.693,10.574,31.311,51.654,943.445,941.124,938.856,18.686,18.528,18.463,7.201,7.178,7.16,4.459,5.366,5.817,288.409,288.055,287.803
2017-10-13 14:00:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.15,0.88,944.672,14.23,7.206,4.195,283.967,15.581,0,319.813,305.99,287.499,16.913,82.073,0,-78.1,0.657,10.572,31.308,51.651,943.43,941.108,938.838,18.65,18.511,18.457,7.206,7.185,7.167,4.255,5.132,5.564,286.28,285.851,285.552
2017-10-13 14:30:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.15,0.88,944.615,14.091,7.32,4.106,283.593,15.546,0,244.723,230.055,286.918,16.181,61.352,0,-37.215,0.628,10.571,31.304,51.647,943.407,941.088,938.819,18.559,18.457,18.42,7.32,7.301,7.287,4.166,5.021,5.445,285.908,285.633,285.393
2017-10-13 15:00:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.15,0.88,944.649,13.916,7.372,4.404,282.083,15.289,0,164.831,150.439,286.471,15.224,38.808,0,3.806,0.638,10.568,31.298,51.639,943.404,941.083,938.812,18.451,18.396,18.379,7.372,7.359,7.348,4.469,5.396,5.849,284.416,284.099,283.852
2017-10-13 15:30:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.15,0.88,944.687,13.549,7.541,4.041,286.982,14.839,0,84.425,72.258,286.696,14.13,15.413,0,41.524,0.564,10.56,31.277,51.608,943.454,941.133,938.86,18.162,18.16,18.17,7.541,7.529,7.518,4.104,4.991,5.422,289.308,288.449,287.929
2017-10-13 16:00:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.15,0.88,944.77,13.048,7.398,4.089,288.659,14.225,0,14.614,9.153,284.716,12.964,-2.097,0,73.94,0.531,10.543,31.229,51.536,943.534,941.214,938.944,17.751,17.821,17.867,7.399,7.397,7.394,4.157,5.095,5.536,290.986,290.032,289.435
2017-10-13 16:30:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.15,0.88,944.859,12.559,7.347,3.814,288.93,13.583,0,0,0,283.892,12.296,-5.997,0,75.439,0.479,10.526,31.179,51.455,943.607,941.287,939.014,17.284,17.398,17.473,7.347,7.334,7.324,3.881,4.776,5.19,291.263,290.222,289.663
