DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.17,0.985,922.534,16.29,4.474,0.714,276.767,13.402,0,0,0,0,19.394,0,0,0,0,10.709,31.718,52.332,924.263,921.876,919.541,26.006,26.006,26.006,5.749,5.69,5.632,0.642,0.642,0.642,267.525,267.525,267.525
2017-10-13 12:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,919.93,19.002,4.563,1.956,207.729,13.67,0,543.68,427.923,287.104,19.676,8.165,175.115,-37.727,0.23,10.695,31.674,52.251,918.794,916.544,914.34,25.994,26.012,26.035,4.347,4.061,3.938,1.979,2.323,2.488,207.786,204.785,202.463
2017-10-13 13:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,919.73,19.272,5.385,1.14,310.051,13.925,0,496.796,394.519,290.162,20.19,9.028,145.79,-39.341,0.169,10.717,31.734,52.343,918.713,916.458,914.256,26.271,26.234,26.232,5.13,4.71,4.545,1.133,1.249,1.228,309.379,304.055,300.575
2017-10-13 13:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,919.848,19.449,5.782,0.427,338.234,14.182,0,431.411,356.679,291.796,20.364,7.132,118.261,-38.811,0.115,10.731,31.777,52.416,918.742,916.491,914.294,26.453,26.437,26.446,5.508,5.174,5.031,0.434,0.362,0.301,338.468,324.116,307.984
2017-10-13 14:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.093,18.427,7.069,2.958,50.652,14.37,0,368.715,298.362,294.011,18.012,-5.528,114.643,-22.857,0.274,10.717,31.739,52.36,918.936,916.686,914.474,25.518,25.528,25.53,6.731,6.534,6.419,3,3.631,3.9,50.948,53.282,54.469
2017-10-13 14:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,919.93,17.612,7.939,3.653,61.259,14.469,0,291.382,238.439,295.346,16.844,-11.175,87.365,-14.904,0.305,10.704,31.703,52.308,918.846,916.592,914.384,24.803,24.889,24.95,7.561,7.441,7.349,3.721,4.376,4.701,61.336,62.327,63.213
2017-10-13 15:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.109,16.769,7.604,4.898,66.951,14.484,0,208.965,173.451,295.115,15.086,-29.355,73.282,-3.777,0.377,10.679,31.633,52.195,918.859,916.605,914.401,24.236,24.344,24.399,7.242,7.167,7.123,5.005,5.694,6.024,67.011,67.466,67.836
2017-10-13 15:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.261,15.626,7.788,4.586,73.976,14.418,0,124.19,105.342,294.354,13.445,-32.19,38.815,6.101,0.317,10.65,31.549,52.063,919.046,916.792,914.521,23.353,23.56,23.694,7.416,7.323,7.258,4.693,5.349,5.703,74.059,75.023,76.241
2017-10-13 16:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.365,14.313,6.937,3.697,67.558,14.254,0,44.292,39.337,296.145,10.516,-16.692,4.688,23.451,0.11,10.66,31.581,52.122,919.143,916.885,914.681,23.997,24.293,24.513,6.62,6.507,6.416,3.812,3.911,4.01,67.582,67.728,69.075
2017-10-13 16:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.671,12.191,6.995,3.611,72.701,13.952,0,0,0,293.656,8.005,-14.437,-5.334,37.31,0.092,10.608,31.431,51.88,919.395,917.133,914.928,22.152,22.502,22.817,7.463,7.334,7.197,3.701,3.965,4.136,72.827,70.252,69.674
2017-10-13 17:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.843,11.835,6.724,3.069,78.375,13.622,0,0,0,293.494,7.277,-9.375,-4.336,39.809,0.063,10.599,31.403,51.834,919.621,917.361,915.151,21.947,22.301,22.617,7.343,7.21,7.089,3.131,3.107,3.262,78.421,75.896,73.911
2017-10-13 17:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,921.169,11.593,6.543,2.066,243.249,13.262,0,0,0,294.017,6.468,-4.106,-2.265,42.618,0.032,10.581,31.347,51.731,919.995,917.736,915.527,21.499,21.693,21.851,7.247,7.203,7.167,2.098,2,1.698,243.395,248.209,254.113
2017-10-13 18:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,921.362,11.674,6.672,0.781,242.587,12.895,0,0,0,293.638,5.802,-0.973,-0.656,44.492,0.01,10.565,31.299,51.651,920.218,917.961,915.751,20.995,21.189,21.311,7.382,7.345,7.322,0.79,0.803,0.651,242.647,249.181,253.106
2017-10-13 18:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,921.327,11.273,6.502,1.892,249.391,12.541,0,0,0,294.641,6.044,-3.487,-2.117,40.757,0.028,10.566,31.302,51.657,920.195,917.937,915.726,21.09,21.29,21.416,7.261,7.253,7.251,1.922,2.016,2.012,249.534,252.818,254.826
2017-10-13 19:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,921.454,10.867,6.64,2.876,241.531,12.243,0,0,0,294.568,6.458,-7.904,-4.511,36.285,0.057,10.554,31.271,51.615,920.323,918.061,915.855,20.719,21.022,21.245,7.364,7.365,7.341,2.927,2.914,2.661,241.618,247.899,252.637
2017-10-13 19:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,921.631,10.911,6.466,2.122,241.175,11.936,0,0,0,294.979,5.851,-4.301,-2.707,38.164,0.033,10.555,31.27,51.607,920.444,918.189,915.977,20.751,20.986,21.105,7.265,7.275,7.296,2.153,2.072,1.934,241.27,248.838,255.237
2017-10-13 20:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,921.802,10.678,6.466,1.869,239.474,11.628,0,0,0,294.65,5.525,-3.392,-2.291,38.277,0.028,10.542,31.234,51.551,920.609,918.352,916.138,20.382,20.638,20.783,7.294,7.315,7.359,1.895,1.879,1.831,239.508,246.474,253.36
2017-10-13 20:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,921.909,10.709,6.474,1.226,232.848,11.32,0,0,0,294.578,5.108,-1.751,-1.268,38.962,0.016,10.534,31.21,51.508,920.765,918.509,916.291,20.161,20.395,20.541,7.294,7.296,7.328,1.24,1.222,1.254,232.886,239.807,245.676
