DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.803,16.604,7.477,1.454,327.967,15.8,0,0,0,0,18.645,0,0,0,0,10.715,31.748,52.401,980.252,977.661,975.122,19.027,19.027,19.027,7.758,7.676,7.597,1.452,1.452,1.452,325.449,325.449,325.449
2017-10-13 12:30:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,981.245,17.191,8.084,2.688,323.505,16.325,0,523.22,522.485,311.25,23.403,135.379,128.713,-65.703,0.408,10.702,31.698,52.294,979.964,977.549,975.183,18.453,18.12,18.017,7.918,7.758,7.686,2.715,2.999,3.066,322.104,322.829,323.366
2017-10-13 13:00:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,981.173,17.033,8.36,2.215,317.385,16.757,0,481.477,480.775,311.968,23.16,122.44,114.075,-59.417,0.361,10.702,31.696,52.29,979.872,977.459,975.092,18.328,17.991,17.9,8.206,8.031,7.947,2.234,2.503,2.568,315.934,316.641,317.259
2017-10-13 13:30:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,981.226,17.033,8.462,1.973,281.827,17.131,0,427.897,427.244,314.195,22.604,103.57,100.573,-50.769,0.329,10.703,31.701,52.301,979.933,977.522,975.15,18.342,18.026,17.976,8.314,8.117,8.02,1.993,2.163,2.139,280.359,281.569,282.719
2017-10-13 14:00:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.873,17.283,8.345,1.682,277.192,17.427,0,364.744,364.154,316.34,21.914,77.478,87.11,-41.619,0.288,10.711,31.724,52.34,979.623,977.209,974.848,18.653,18.416,18.442,8.196,7.843,7.721,1.699,1.789,1.659,275.818,273.883,272.104
2017-10-13 14:30:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.671,17.483,8.562,1.819,283.955,17.624,0,293.869,293.353,317.212,20.758,52.306,70.785,-29.058,0.28,10.724,31.763,52.41,979.427,977.016,974.652,18.907,18.78,18.837,8.417,7.969,7.858,1.839,1.84,1.638,282.58,278.943,277.028
2017-10-13 15:00:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.615,17.546,8.504,2.187,287.074,17.716,0,217.066,216.639,316.738,19.189,25.489,54.786,-13.664,0.285,10.727,31.776,52.435,979.351,976.937,974.576,19.034,19.036,19.131,8.352,7.711,7.689,2.215,2.294,2.059,285.68,283.493,283.719
2017-10-13 15:30:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.685,17.42,9.232,2.037,286.736,17.694,0,136.651,136.33,316.719,17.7,3.509,29.112,-0.059,0.232,10.739,31.795,52.452,979.418,977.004,974.64,19.008,19.108,19.31,9.086,7.337,7.329,2.066,2.627,2.236,285.315,280.241,276.677
2017-10-13 16:00:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.725,16.555,9.198,2.253,298.738,17.544,0,58.437,58.245,317.114,15.269,-5.296,5.062,21.098,0.087,10.736,31.793,52.457,979.466,977.056,974.692,19.044,19.248,19.459,8.85,7.267,7.246,2.346,2.606,2.294,297.377,288.299,282.897
2017-10-13 16:30:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.834,15.325,8.682,1.809,316.032,17.181,0,0.578,0.576,318.135,11.923,-2.962,-0.635,48.783,0.031,10.736,31.798,52.464,979.573,977.158,974.797,19.058,19.289,19.457,8.873,7.467,7.061,1.847,2.064,2.004,314.695,302.904,292.919
