DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.16,0.985,970.123,18.622,6.731,0.375,38.365,17.386,0,0,0,0,23.465,0,0,0,0,10.868,32.196,53.134,971.623,969.058,966.545,24.383,24.383,24.383,7.876,7.795,7.716,0.298,0.298,0.298,55.983,55.983,55.983
2017-10-13 12:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.655,20.743,7.276,1.224,31.27,17.665,0,526.687,532.331,310.755,23.978,48.663,222.45,-44.028,0.259,10.824,32.054,52.88,966.392,964.018,961.75,23.336,23.151,23.097,6.93,6.66,6.577,1.235,1.42,1.457,33.329,31.647,30.481
2017-10-13 13:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.637,21.037,7.484,1.204,88.508,17.921,0,476.906,482.317,312.343,23.598,36.171,201.398,-39.616,0.242,10.839,32.097,52.954,966.389,964.008,961.68,23.662,23.502,23.439,7.128,6.859,6.757,1.219,1.474,1.571,90.52,89.847,89.427
2017-10-13 13:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.396,21.074,7.768,1.477,84.735,18.126,0,408.828,413.303,317.039,22.693,22.261,175.31,-31.884,0.243,10.845,32.118,52.991,966.154,963.772,961.444,23.762,23.649,23.605,7.398,7.168,7.086,1.495,1.823,1.956,86.67,88.378,89.348
2017-10-13 14:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.387,21.098,8.576,1.721,93.336,18.281,0,342.758,347.305,319.933,21.949,11.382,144.585,-25.618,0.245,10.86,32.164,53.071,966.124,963.745,961.413,23.828,23.757,23.723,8.169,7.991,7.92,1.748,2.104,2.268,95.335,94.969,94.265
2017-10-13 14:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.589,20.218,8.767,3.31,97.246,18.346,0,258.666,262.17,320.489,19.828,-6.627,119.49,-10.359,0.344,10.835,32.093,52.958,966.32,963.939,961.606,23.067,23.058,23.051,8.35,8.178,8.104,3.371,4.074,4.361,99.187,98.677,98.387
2017-10-13 15:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.554,19.512,8.942,3.074,96.581,18.334,0,178.247,181.146,322.726,18.597,-12.482,75.525,-1.835,0.273,10.817,32.041,52.876,966.402,964.02,961.69,22.528,22.564,22.578,8.516,8.385,8.334,3.158,3.834,4.101,98.525,97.869,97.497
2017-10-13 15:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.719,18.068,8.9,2.529,92.631,18.228,0,77.124,77.222,326.173,16.323,-8.071,15.723,13.315,0.1,10.797,31.987,52.792,966.463,964.081,961.747,21.987,22.07,22.11,8.476,8.408,8.374,2.64,3.157,3.384,94.601,92.837,91.863
2017-10-13 16:00:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.809,16.201,8.676,1.892,101.689,17.994,0,19.92,19.925,322.247,12.869,-3.219,0.628,35.833,0.034,10.765,31.898,52.66,966.541,964.157,961.826,21.08,21.377,21.544,8.501,8.439,8.39,1.935,2.639,2.936,103.69,97.962,94.128
2017-10-13 16:30:00,13.873889,46.618057,493,444834,838,405,46.6161,13.8801,837.5243,405.2176,6,491.79,0.169,0.972,967.988,15.049,8.109,2.144,122.103,17.635,0,0,0,318.561,11.22,-4.394,-0.619,44.862,0.039,10.732,31.814,52.547,966.715,964.334,962.001,20.27,20.97,21.346,8.256,8.224,8.115,2.19,3.018,2.966,124.027,116.064,108.618
