DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,16.431389,48.257221,160,654924,1019,596,48.2582,16.4316,1018.9843,595.8911,51,159.1,0.1,0.97,1006.954,19.46,5.941,6.667,305.58,17.614,0,0,0,0,20.004,0,0,0,0,10.789,31.963,52.731,1005.799,1003.229,1000.801,19.123,18.936,18.379,5.983,5.921,5.856,6.648,6.914,7.685,309.395,309.197,308.843
2017-10-13 12:30:00,16.431389,48.257221,160,654924,1019,596,48.2582,16.4316,1018.9843,595.8911,51,159.1,0.15,0.88,1007.028,19.127,5.753,6.214,307.723,18.653,0,475.785,475.969,308.939,21.808,114.087,0,-184.98,0.91,10.754,31.861,52.586,1005.543,1003.067,1000.639,18.235,18.103,18.046,5.754,5.758,5.76,6.341,7.514,8.072,311.701,311.681,311.594
2017-10-13 13:00:00,16.431389,48.257221,160,654924,1019,596,48.2582,16.4316,1018.9843,595.8911,51,159.1,0.15,0.88,1007.157,19.257,6.175,5.653,306.765,19.348,0,423.7,423.854,312.384,21.928,105.919,0,-151.27,0.84,10.766,31.897,52.644,1005.628,1003.151,1000.722,18.358,18.224,18.167,6.175,6.177,6.177,5.764,6.861,7.384,310.738,310.81,310.801
2017-10-13 13:30:00,16.431389,48.257221,160,654924,1019,596,48.2582,16.4316,1018.9843,595.8911,51,159.1,0.15,0.88,1007.083,19.382,6.379,5.261,307.721,19.788,0,362.583,362.706,313.876,21.792,89.701,0,-117.48,0.782,10.775,31.923,52.687,1005.579,1003.102,1000.674,18.516,18.391,18.339,6.379,6.379,6.379,5.365,6.411,6.908,311.688,311.824,311.857
2017-10-13 14:00:00,16.431389,48.257221,160,654924,1019,596,48.2582,16.4316,1018.9843,595.8911,51,159.1,0.15,0.88,1007.114,19.405,6.592,4.697,306.869,19.993,0,293.268,293.358,314.756,21.41,67.819,0,-83.074,0.702,10.782,31.944,52.723,1005.566,1003.09,1000.66,18.587,18.483,18.44,6.592,6.591,6.59,4.791,5.735,6.19,310.844,310.867,310.82
2017-10-13 14:30:00,16.431389,48.257221,160,654924,1019,596,48.2582,16.4316,1018.9843,595.8911,51,159.1,0.15,0.88,1007.134,19.461,6.564,4.311,302.703,19.981,0,217.596,217.654,315.485,20.81,41.564,0,-48.59,0.633,10.786,31.957,52.747,1005.554,1003.076,1000.647,18.712,18.64,18.61,6.564,6.563,6.562,4.401,5.26,5.669,306.681,306.776,306.775
2017-10-13 15:00:00,16.431389,48.257221,160,654924,1019,596,48.2582,16.4316,1018.9843,595.8911,51,159.1,0.15,0.88,1007.093,19.369,6.556,3.961,301.994,19.76,0,138.546,138.573,316.033,19.957,16.119,0,-11.532,0.557,10.785,31.956,52.748,1005.554,1003.076,1000.647,18.712,18.678,18.663,6.556,6.555,6.554,4.046,4.811,5.17,305.963,305.831,305.683
2017-10-13 15:30:00,16.431389,48.257221,160,654924,1019,596,48.2582,16.4316,1018.9843,595.8911,51,159.1,0.15,0.88,1006.805,19.031,6.645,3.746,304.569,19.331,0,61.577,61.581,315.482,18.847,-4.368,0,28.39,0.477,10.776,31.931,52.709,1005.559,1003.082,1000.654,18.5,18.511,18.516,6.645,6.645,6.646,3.839,4.557,4.874,308.538,308.208,307.943
2017-10-13 16:00:00,16.431389,48.257221,160,654924,1019,596,48.2582,16.4316,1018.9843,595.8911,51,159.1,0.15,0.88,1006.685,18.445,6.78,3.016,286.109,18.715,0,2.225,2.224,315.04,17.62,-13.295,0,64.24,0.316,10.762,31.891,52.647,1005.619,1003.142,1000.714,18.107,18.177,18.205,6.78,6.783,6.784,3.115,3.714,3.939,290.031,290.599,291.01
2017-10-13 16:30:00,16.431389,48.257221,160,654924,1019,596,48.2582,16.4316,1018.9843,595.8911,51,159.1,0.15,0.88,1007.009,17.836,7.218,3.356,273.845,18.068,0,0,0,314.656,17.018,-15.25,0,61.573,0.369,10.748,31.849,52.579,1005.763,1003.285,1000.855,17.47,17.549,17.583,7.217,7.211,7.207,3.46,4.242,4.563,277.844,278.287,278.636
2017-10-13 17:00:00,16.431389,48.257221,160,654924,1019,596,48.2582,16.4316,1018.9843,595.8911,51,159.1,0.15,0.88,1007.039,17.703,7.254,3.665,287.09,17.569,0,0,0,360.993,17.149,-12.086,0,24.609,0.435,10.739,31.823,52.534,1005.854,1003.375,1000.945,17.237,17.294,17.323,7.254,7.253,7.252,3.765,4.613,4.985,291.092,290.238,289.731
2017-10-13 17:30:00,16.431389,48.257221,160,654924,1019,596,48.2582,16.4316,1018.9843,595.8911,51,159.1,0.15,0.88,1007.102,17.671,7.364,3.456,286.554,17.339,0,0,0,373.877,17.107,-11.526,0,13.624,0.405,10.741,31.827,52.541,1005.894,1003.414,1000.984,17.21,17.264,17.29,7.364,7.365,7.365,3.551,4.319,4.659,290.528,289.483,288.877
