DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.1,0.97,998.464,18.371,5.959,6.452,304.184,17.224,0,0,0,0,19.917,0,0,0,0,10.765,31.901,52.657,997.786,995.186,992.64,19.347,19.347,19.347,6.191,6.126,6.063,6.446,6.446,6.446,308.108,308.108,308.108
2017-10-13 12:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.15,0.88,998.022,19.04,5.953,6.84,304.604,18.25,0,478.186,468.294,308.854,21.433,107.721,0,-186.613,0.979,10.747,31.841,52.549,996.762,994.308,991.903,18.893,18.766,18.71,5.953,5.948,5.942,6.983,8.247,8.848,308.472,308.496,308.471
2017-10-13 13:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.15,0.88,998.147,19.129,6.261,6.148,306.119,18.952,0,427.128,418.473,310.56,21.549,100.596,0,-152.308,0.895,10.755,31.865,52.591,996.885,994.431,992.024,18.975,18.847,18.793,6.261,6.258,6.252,6.27,7.448,8.01,309.945,309.949,309.873
2017-10-13 13:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.15,0.88,998.163,19.2,6.452,5.263,311.064,19.421,0,365.689,358.424,312.629,21.472,83.813,0,-120.241,0.782,10.761,31.885,52.623,996.902,994.446,992.04,19.07,18.945,18.894,6.452,6.447,6.441,5.368,6.421,6.921,314.866,314.646,314.38
2017-10-13 14:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.15,0.88,998.242,19.146,6.543,4.731,291.547,19.587,0,162.906,162.906,378.369,20.526,45.357,0,-55.037,0.687,10.765,31.895,52.643,996.949,994.495,992.088,19.106,19.027,18.991,6.544,6.545,6.543,4.827,5.709,6.129,295.238,295.076,294.988
2017-10-13 14:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.15,0.88,998.365,18.578,7.092,5.341,275.605,19.415,0,220.472,216.248,313.344,20.054,53.476,0,-37.43,0.765,10.753,31.861,52.586,997.047,994.59,992.183,18.515,18.433,18.402,7.093,7.086,7.079,5.447,6.575,7.098,279.419,279.534,279.656
2017-10-13 15:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.15,0.88,998.394,18.301,7.197,5.385,274.602,19.171,0,141.443,138.772,313.059,19.155,30.185,0,0.943,0.745,10.748,31.847,52.566,997.037,994.582,992.172,18.314,18.269,18.258,7.197,7.189,7.182,5.498,6.663,7.197,278.419,278.547,278.641
2017-10-13 15:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.15,0.88,998.441,17.911,7.178,5.298,273.746,18.734,0,63.952,62.749,312.258,18.099,6.322,0,37.213,0.704,10.737,31.817,52.519,997.02,994.564,992.155,18.022,18.023,18.033,7.178,7.172,7.166,5.414,6.588,7.118,277.561,277.718,277.814
2017-10-13 16:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.15,0.88,998.453,17.454,7.257,5.082,278.202,18.153,0,3.181,3.116,311.79,17.053,-12.408,0,64.467,0.644,10.725,31.783,52.466,997.078,994.62,992.213,17.669,17.712,17.739,7.257,7.254,7.252,5.202,6.348,6.859,282.028,281.819,281.688
2017-10-13 16:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.15,0.88,998.609,17.225,7.301,5.321,273.212,17.583,0,0,0,311.45,16.599,-19.908,0,57.701,0.663,10.72,31.769,52.444,997.155,994.698,992.29,17.48,17.544,17.58,7.302,7.3,7.299,5.451,6.654,7.189,277.019,276.895,276.896
