DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.1,0.97,977.564,16.7,7.402,1.449,312.936,15.587,0,0,0,0,19.587,0,0,0,0,21.08,52.509,73.647,976.267,972.414,969.836,19.948,19.948,19.948,7.86,7.737,7.655,1.451,1.451,1.451,311.034,311.034,311.034
2017-10-13 12:30:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.162,0.98,978.439,17.447,7.949,2.816,327.295,15.869,0,523.773,522.524,312.291,21.025,70.045,89.962,-153.245,0.399,21.03,52.379,73.454,976.037,972.453,970.047,19.038,18.935,18.914,7.738,7.622,7.573,3.138,3.236,3.232,325.989,328.011,329.428
2017-10-13 13:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.162,0.98,978.396,17.245,8.402,2.522,323.665,16.091,0,481.648,489.842,312.957,21.26,75.588,80.195,-127.961,0.378,21.03,52.38,73.457,975.964,972.375,969.905,18.833,18.743,18.74,8.219,8.099,8.053,2.803,2.946,2.981,322.363,327.176,330.329
2017-10-13 13:30:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.162,0.98,978.345,17.377,8.646,1.824,318.986,16.308,0,428.106,445.073,315.032,21.552,68.472,69.702,-108.468,0.314,21.049,52.428,73.527,975.915,972.328,969.922,18.998,18.923,18.94,8.48,8.393,8.365,2.026,2.046,2.042,317.66,324.053,328.488
2017-10-13 14:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.162,0.98,978.108,17.416,8.771,1.604,332.511,16.493,0,364.965,389.653,316.176,21.323,59.991,59.967,-83.7,0.29,21.057,52.447,73.551,975.669,972.085,969.615,19.081,18.977,18.987,8.619,8.504,8.464,1.788,1.756,1.715,330.857,334.605,336.76
2017-10-13 14:30:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.162,0.98,977.949,17.38,8.85,1.412,342.808,16.626,0,293.113,323.89,318.016,20.782,48.554,49.038,-57.628,0.267,21.057,52.448,73.551,975.538,971.949,969.545,19.089,18.98,18.982,8.714,8.614,8.575,1.568,1.553,1.517,341.536,341.794,342.689
2017-10-13 15:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.162,0.98,977.942,17.296,8.958,1.515,342.432,16.692,0,215.556,250.091,319.012,19.885,35.776,37.581,-28.61,0.265,21.059,52.453,73.56,975.49,971.906,969.496,19.051,18.953,18.951,8.841,8.755,8.721,1.682,1.721,1.714,341.086,342.095,342.927
2017-10-13 15:30:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.162,0.98,977.999,17.246,8.984,1.647,345.445,16.682,0,135.301,169.905,318.711,18.768,19.827,25.304,1.041,0.259,21.063,52.462,73.572,975.561,971.977,969.571,19.061,18.985,18.971,8.887,8.805,8.773,1.832,1.931,1.949,344.061,344.421,345.17
2017-10-13 16:00:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.162,0.98,978.06,16.927,9.042,1.81,352.562,16.587,0,57.207,83.853,318.388,17.238,3.662,10.815,31.333,0.241,21.068,52.477,73.595,975.653,972.137,969.596,19.137,19.097,19.08,8.894,8.783,8.733,2.02,2.126,2.151,351.271,351.11,351.383
2017-10-13 16:30:00,9.746111,47.499168,424,550026,526,501,47.5008,9.7432,526.2193,500.8185,51,416.31,0.162,0.98,978.155,14.886,8.277,1.565,358.827,16.339,0,0.2,0.234,318.137,14.728,-1.879,-0.918,66.99,0.143,21.055,52.446,73.554,975.753,972.168,969.764,19.127,19.13,19.125,8.527,8.41,8.352,1.759,1.842,1.863,357.456,354.059,352.992
