DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.17,0.985,978.09,16.502,7.159,1.327,328.282,15.735,0,0,0,0,20.628,0,0,0,0,21.119,52.617,73.801,977.635,973.778,971.191,20.624,20.624,20.624,7.972,7.847,7.764,1.338,1.338,1.338,325.862,325.862,325.862
2017-10-13 12:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.483,18.23,8.178,3.144,337.129,16.107,0,525.791,524.579,314.409,21.171,56.34,212.619,-51.62,0.365,21.078,52.506,73.629,977.062,973.475,971.067,19.656,19.519,19.476,7.789,7.58,7.498,3.478,3.674,3.712,335.861,336.567,336.978
2017-10-13 13:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.553,17.817,8.506,3.066,341.629,16.393,0,483.991,483.084,313.423,20.814,56.41,186.925,-44.463,0.356,21.059,52.458,73.562,977.107,973.516,971.108,19.235,19.096,19.055,8.102,7.915,7.841,3.385,3.675,3.772,340.284,341.78,342.624
2017-10-13 13:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.479,17.874,8.81,1.938,346.161,16.658,0,430.704,430.109,314.199,21.064,47.942,152.166,-43.883,0.262,21.074,52.496,73.618,977.052,973.462,971.052,19.333,19.205,19.17,8.391,8.221,8.154,2.109,2.289,2.35,344.828,347.223,348.601
2017-10-13 14:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.25,18.071,9.017,1.103,350.929,16.898,0,367.28,366.992,316.017,20.973,34.806,119.632,-40.278,0.189,21.098,52.557,73.705,976.81,973.218,970.81,19.594,19.489,19.463,8.608,8.456,8.397,1.188,1.301,1.352,349.618,353.208,355.03
2017-10-13 14:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.043,18.196,9.151,1.439,343.623,17.077,0,295.184,295.182,318.244,19.885,19.797,96.756,-27.58,0.196,21.115,52.602,73.772,976.595,973.002,970.596,19.809,19.74,19.727,8.765,8.614,8.556,1.568,1.69,1.733,342.285,344.623,345.929
2017-10-13 15:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,978.981,18.123,9.288,1.661,331.461,17.156,0,216.696,216.938,321.21,18.653,5.736,69.479,-14.621,0.19,21.12,52.615,73.792,976.55,972.959,970.553,19.832,19.807,19.804,8.911,8.773,8.723,1.838,1.995,2.046,330.117,332.446,333.671
2017-10-13 15:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.043,17.725,9.427,1.324,333.271,17.14,0,135.95,136.361,321.082,17.487,-1.527,28.433,-3.377,0.118,21.106,52.581,73.747,976.615,973.027,970.615,19.609,19.643,19.654,8.978,8.791,8.72,1.71,1.929,2,331.959,332.547,332.875
2017-10-13 16:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.181,16.234,9.248,1.43,8.177,17.013,0,57.67,58.097,320.916,14.903,-1.288,1.885,20.442,0.028,21.08,52.519,73.665,976.754,973.162,970.756,19.328,19.425,19.448,8.807,8.648,8.587,1.802,1.989,2.033,6.926,3,0.513
2017-10-13 16:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.313,14.69,8.428,1.398,26.577,16.655,0,0.328,0.328,319.721,11.609,-1.627,-0.231,48.706,0.021,21.041,52.43,73.551,976.889,973.299,970.89,18.896,19.195,19.249,8.574,8.375,8.268,1.673,1.846,1.881,25.274,10.214,4.566
2017-10-13 17:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.42,14.327,8.422,1.358,35.062,16.235,0,0,0,319.047,11.266,-1.53,-0.431,47.809,0.02,21.015,52.37,73.476,977.011,973.422,971.013,18.47,18.981,19.115,8.706,8.425,8.11,1.622,1.925,2.088,33.695,7.65,2.894
2017-10-13 17:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.561,14.034,8.54,1.055,22.066,15.818,0,0,0,317.653,10.86,-1.005,-0.531,47.561,0.015,20.992,52.316,73.414,977.115,973.556,971.084,17.984,18.659,19.008,9.035,8.64,8.225,1.243,2.024,2.4,20.826,357.781,352.708
2017-10-13 18:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.756,14.111,8.353,0.329,142.31,15.421,0,0,0,317.228,10.484,-0.241,-0.118,47.23,0.004,20.962,52.242,73.315,977.332,973.74,971.334,17.697,18.34,18.812,8.741,8.402,8.069,0.386,0.739,1.395,141.248,352.607,346.324
2017-10-13 18:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.718,13.719,8.06,1.208,172.654,15.036,0,0,0,317.559,10.355,-1.311,-0.543,44.671,0.017,20.967,52.247,73.304,977.304,973.716,971.307,17.897,18.259,18.512,8.487,8.334,8.055,1.431,0.827,0.181,171.293,181.756,257.076
2017-10-13 19:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.73,14.159,7.784,0.577,149.459,14.674,0,0,0,318.343,10.095,-0.526,-0.179,43.588,0.007,20.976,52.271,73.334,977.306,973.717,971.309,18.198,18.568,18.707,8.117,7.967,7.746,0.673,0.278,0.166,148.113,171.694,319.059
2017-10-13 19:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.706,14.122,7.672,0.265,327.447,14.322,0,0,0,317.939,9.805,-0.223,-0.079,42.903,0.003,20.959,52.233,73.292,977.298,973.71,971.302,18.016,18.548,18.714,8.001,7.794,7.602,0.311,0.248,0.346,325.926,335.09,2.624
2017-10-13 20:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.765,13.234,7.766,0.639,345.424,13.979,0,0,0,316.006,9.47,-0.56,-0.277,42.739,0.008,20.905,52.106,73.137,977.346,973.753,971.348,17.148,17.927,18.392,8.226,7.98,7.764,0.745,0.453,0.272,344.099,347.018,11.262
2017-10-13 20:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.801,13.16,7.786,0.186,279.796,13.65,0,0,0,315.347,9.16,-0.142,-0.081,42.464,0.002,20.882,52.055,73.075,977.386,973.794,971.388,16.82,17.767,18.231,8.257,7.983,7.826,0.217,0.14,0.058,278.146,265.512,207.019
2017-10-13 21:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.835,12.738,7.655,0.589,205.658,13.322,0,0,0,314.908,8.951,-0.508,-0.295,41.272,0.008,20.865,52.012,73.015,977.425,973.834,971.426,16.61,17.532,17.986,8.186,7.98,7.852,0.688,0.618,0.509,204.328,206.502,212.607
2017-10-13 21:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.896,12.426,7.553,0.744,212.717,13.015,0,0,0,314.353,8.725,-0.677,-0.404,40.422,0.01,20.846,51.962,72.94,977.482,973.89,971.484,16.376,17.147,17.597,8.12,8.013,7.913,0.87,0.849,0.83,211.433,203.788,203.538
2017-10-13 22:00:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,979.97,11.767,7.517,1.191,217.362,12.709,0,0,0,312.814,8.482,-1.257,-0.86,39.766,0.017,20.81,51.876,72.827,977.56,973.97,971.559,15.826,16.691,17.22,8.197,8.108,8.018,1.407,1.04,0.915,216.048,201.528,188.359
2017-10-13 22:30:00,9.725555,47.432499,407,542332,525,494,47.4372,9.7319,524.5213,493.4773,2,406.4,0.184,0.969,980.044,11.508,7.458,1.095,200.952,12.423,0,0,0,311.637,8.194,-1.1,-0.801,39.72,0.015,20.786,51.819,72.754,977.635,974.044,971.635,15.499,16.441,16.925,8.164,8.154,8.108,1.288,1.055,0.99,199.599,190.807,182.204
