DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.1,0.97,1004.096,19.987,6.867,6.067,303.627,17.246,0,0,0,0,19.667,0,0,0,0,21.239,52.892,74.122,1001.663,997.958,995.488,19.879,19.036,18.41,6.877,6.763,6.673,6.428,7.271,7.875,308.915,308.054,307.952
2017-10-13 12:30:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.166,0.98,1003.284,19.072,7.099,6.329,303.825,17.347,0,481.03,503.556,312.592,21.022,63.566,135.944,-98.791,0.732,21.135,52.661,73.867,1000.776,997.097,994.629,18.564,18.481,18.444,6.785,6.724,6.697,7.167,7.99,8.372,307.905,308.431,308.688
2017-10-13 13:00:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.166,0.98,1003.441,19.02,7.052,5.898,302.714,17.417,0,429.347,446.121,312.903,20.822,55.526,122.2,-74.464,0.688,21.132,52.653,73.856,1000.953,997.274,994.806,18.525,18.452,18.421,6.754,6.694,6.666,6.668,7.46,7.827,306.766,307.259,307.491
2017-10-13 13:30:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.166,0.98,1003.248,19.071,7.172,5.429,300.36,17.464,0,367.402,378.37,314.284,20.518,41.412,105.049,-53.607,0.635,21.141,52.676,73.89,1000.873,997.194,994.726,18.635,18.581,18.558,6.889,6.833,6.807,6.137,6.904,7.261,304.424,305.109,305.416
2017-10-13 14:00:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.166,0.98,1003.219,19.02,7.05,5.901,299.606,17.48,0,297.405,302.775,314.18,19.761,22.047,91.398,-29.826,0.673,21.141,52.677,73.893,1000.887,997.209,994.741,18.686,18.659,18.649,6.782,6.729,6.704,6.683,7.503,7.872,303.669,304.31,304.622
2017-10-13 14:30:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.166,0.98,1003.053,18.821,7.114,5.682,298.891,17.458,0,221.225,221.516,313.469,18.932,3.094,70.167,-8.644,0.636,21.136,52.665,73.879,1000.864,997.184,994.652,18.612,18.612,18.613,6.865,6.818,6.796,6.44,7.21,7.559,302.943,303.437,303.653
2017-10-13 15:00:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.166,0.98,1003.233,18.317,7.276,5.548,296.639,17.396,0,141.401,137.667,312.037,17.812,-13.115,45.739,13.231,0.6,21.122,52.633,73.837,1000.903,997.224,994.752,18.276,18.316,18.334,7.057,7.012,6.991,6.298,7.147,7.507,300.709,301.527,301.868
2017-10-13 15:30:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.166,0.98,1003.262,17.609,7.439,5.885,295.963,17.29,0,63.155,57.626,310.948,16.485,-29.148,23.397,33.252,0.611,21.098,52.574,73.759,1000.915,997.234,994.764,17.814,17.903,17.942,7.305,7.279,7.267,6.696,7.65,8.024,300.025,300.583,300.832
2017-10-13 16:00:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.166,0.98,1003.134,16.991,7.298,5.918,298.518,17.147,0,2.427,2.046,309.493,15.41,-39.414,4.141,44.249,0.598,21.066,52.498,73.656,1000.944,997.264,994.727,17.435,17.566,17.625,7.27,7.261,7.256,6.748,7.746,8.146,302.589,302.676,302.745
2017-10-13 16:30:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.098,0.98,1003.349,16.911,7.183,6.214,297.674,16.999,0,0,0,309.436,15.195,-44.882,3.409,38.198,0.627,21.063,52.488,73.641,1001.047,997.367,994.895,17.394,17.52,17.579,7.161,7.146,7.137,7.092,8.193,8.664,301.738,302.052,302.193
2017-10-13 17:00:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.098,0.98,1003.96,16.646,7.161,5.951,296.292,16.854,0,0,0,310.323,14.822,-44.852,3.09,34.962,0.593,21.058,52.478,73.626,1001.196,997.512,995.041,17.213,17.329,17.384,7.138,7.131,7.128,6.802,7.832,8.283,300.345,300.801,300.989
2017-10-13 17:30:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.098,0.98,1004.071,16.498,7.232,6.165,293.43,16.718,0,0,0,310.935,14.687,-46.625,3.128,31.681,0.618,21.048,52.453,73.593,1001.249,997.567,995.093,17.026,17.152,17.209,7.212,7.204,7.2,7.042,8.055,8.478,297.475,298.148,298.466
2017-10-13 18:00:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.098,0.98,1003.783,16.38,7.319,6.359,294.181,16.586,0,0,0,310.433,14.562,-48.573,3.092,29.301,0.64,21.036,52.422,73.549,1001.266,997.584,995.111,16.889,17.033,17.1,7.3,7.287,7.279,7.265,8.309,8.735,298.238,299,299.39
2017-10-13 18:30:00,16.538334,47.854168,184,606579,1030,552,47.8536,16.5385,1029.9876,552.0632,51,189.91,0.098,0.98,1003.495,16.286,7.299,6.282,295.766,16.454,0,0,0,309.867,14.386,-49.693,2.965,27.57,0.629,21.03,52.409,73.532,1001.074,997.392,994.923,16.867,17.012,17.079,7.279,7.269,7.263,7.18,8.222,8.657,299.826,300.844,301.322
