DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.1,0.97,985.233,20.729,7.113,1.518,185.828,15.758,0,0,0,0,22.384,0,0,0,0,21.262,52.952,74.233,982.816,979.207,976.785,21.933,21.393,21.266,7.079,6.964,6.922,1.608,1.744,1.791,191.153,192.553,191.825
2017-10-13 12:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.165,0.98,986.154,20.786,7.358,1.347,183.424,16.048,0,502.153,503.561,320.879,24.197,43.09,50.313,-199.326,0.192,21.267,52.979,74.301,983.636,980.021,977.598,21.84,21.723,21.684,7.199,7.125,7.092,1.413,1.53,1.58,186.54,181.007,178.204
2017-10-13 13:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.165,0.98,986.188,21.162,7.468,1.718,164.199,16.293,0,450.723,451.992,323.775,24.443,45.021,47.884,-157.759,0.219,21.295,53.051,74.402,983.759,980.112,977.689,22.205,22.096,22.053,7.32,7.238,7.197,1.808,1.858,1.862,167.299,164.967,163.589
2017-10-13 13:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.165,0.98,986.291,21.181,7.624,1.994,171.896,16.476,0,388.626,389.732,325.553,24.103,41.56,42.744,-118.585,0.236,21.303,53.07,74.43,983.824,980.21,977.784,22.228,22.132,22.095,7.488,7.421,7.388,2.102,2.135,2.127,175.085,172.773,171.418
2017-10-13 14:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.165,0.98,986.13,20.983,7.896,2.536,168.811,16.607,0,318.388,319.313,325.368,23.255,34.612,36.387,-79.168,0.267,21.298,53.059,74.416,983.723,980.109,977.685,22.059,21.97,21.938,7.771,7.714,7.687,2.681,2.809,2.845,171.936,170.159,169.12
2017-10-13 14:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.165,0.98,986.188,20.467,8.562,3.311,185.014,16.681,0,240.655,241.38,326.553,22.009,26.223,28.217,-40.609,0.315,21.286,53.029,74.376,983.78,980.161,977.735,21.566,21.497,21.477,8.45,8.393,8.368,3.511,3.738,3.807,188.229,186.585,185.639
2017-10-13 15:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.165,0.98,986.395,19.995,8.903,3.404,175.102,16.699,0,159.523,160.038,325.467,20.675,11.033,18.271,-6.842,0.307,21.273,52.999,74.336,983.853,980.234,977.806,21.182,21.156,21.15,8.808,8.736,8.701,3.623,4.004,4.144,178.273,178.209,178.148
2017-10-13 15:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.165,0.98,986.22,18.914,8.785,2.621,177.88,16.651,0,78.754,79.049,323.058,18.814,-1.18,5.602,25.94,0.215,21.224,52.881,74.177,983.912,980.294,977.867,20.658,20.817,20.878,8.608,8.35,8.235,2.794,3.581,3.791,181.08,178.57,177.368
2017-10-13 16:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.165,0.98,986.443,17.311,8.567,2.076,176.304,16.476,0,10.516,10.582,320.562,16.859,-5.379,-0.975,59.197,0.118,21.199,52.828,74.126,983.922,980.302,977.874,20.141,20.581,20.71,8.787,8.654,8.575,2.34,3.11,3.374,179.452,173.8,172.511
2017-10-13 16:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.043,0.98,986.564,16.649,8.354,1.907,175.716,16.199,0,0,0,318.332,16.099,-6.57,-1.315,61.181,0.085,21.168,52.762,74.051,983.953,980.332,977.904,19.695,20.451,20.693,8.766,8.541,8.34,2.307,2.953,3.204,178.912,174.574,174.8
2017-10-13 17:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.043,0.98,986.505,16.127,8.19,1.461,180.263,15.924,0,0,0,317.326,15.62,-6.061,-0.999,58.246,0.068,21.134,52.687,73.968,984.004,980.383,977.956,19.292,20.257,20.547,8.692,8.633,8.595,1.762,2.409,2.757,183.491,179.464,179.489
2017-10-13 17:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.043,0.98,986.549,15.399,8.247,0.599,9.353,15.627,0,0,0,316.542,14.949,-5.398,-0.657,56.059,0.062,21.088,52.55,73.737,984.148,980.527,978.098,18.598,18.932,19.201,8.871,8.804,8.737,0.724,0.349,0.188,12.543,348.707,246.858
2017-10-13 18:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.043,0.98,986.54,15.24,8.343,2.439,18.93,15.354,0,0,0,315.15,14.436,-9.655,-1.671,51.019,0.109,21.022,52.404,73.565,984.274,980.652,978.223,17.835,18.551,18.869,8.64,8.794,8.886,2.908,2.761,2.417,22.135,21.031,19.643
2017-10-13 18:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.043,0.98,986.804,14.679,8.196,3.059,31.759,15.126,0,0,0,313.613,13.644,-12.467,-1.51,48.242,0.178,20.945,52.239,73.389,984.252,980.631,978.203,16.825,18.378,18.996,8.312,8.353,8.387,3.418,3.943,3.53,34.921,36.058,35.057
2017-10-13 19:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.043,0.98,986.937,12.903,8.162,2.248,37.713,14.897,0,0,0,309.094,12.422,-5.82,-1.754,54.367,0.123,20.826,51.912,72.881,984.447,980.826,978.398,15.126,15.799,16.541,8.45,8.443,8.436,2.52,3.172,3.722,41.011,41.768,43.448
2017-10-13 19:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.043,0.98,987.213,12.493,7.931,1.964,30.186,14.616,0,0,0,306.534,12.07,-5.124,-1.442,54.634,0.086,20.808,51.875,72.836,984.574,980.952,978.523,14.874,15.732,16.233,8.299,8.405,8.43,2.315,2.941,3.26,33.357,42.566,56.825
2017-10-13 20:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.043,0.98,987.183,12.831,8.071,2.58,28.445,14.362,0,0,0,306.689,12.078,-9.118,-2.1,49.289,0.133,20.814,51.877,72.808,984.777,981.155,978.725,14.988,15.488,15.723,8.338,8.457,8.493,2.945,2.955,2.886,31.653,42.238,51.85
2017-10-13 20:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.043,0.98,987.332,12.692,7.876,2.286,33.095,14.132,0,0,0,307.96,12.028,-8.047,-1.67,47.873,0.102,20.811,51.876,72.817,984.904,981.282,978.854,14.99,15.715,15.995,8.187,8.195,8.206,2.702,2.938,2.85,36.313,45.931,56.724
2017-10-13 21:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.043,0.98,987.447,12.624,7.684,2.142,29.06,13.89,0,0,0,308.225,11.939,-8.305,-1.437,46.116,0.096,20.806,51.864,72.8,985.104,981.48,979.051,14.999,15.747,15.93,8.003,8.013,8.029,2.547,2.709,2.592,32.28,43.393,55.644
2017-10-13 21:30:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.043,0.98,987.723,12.416,7.493,2.029,32.711,13.648,0,0,0,305.046,11.718,-8.482,-1.383,47.018,0.091,20.797,51.845,72.784,985.257,981.636,979.205,14.884,15.718,15.976,7.85,7.937,7.995,2.412,2.571,2.605,35.894,51.987,65.821
2017-10-13 22:00:00,15.44,46.980556,340,495504,954,451,46.9846,15.4384,954.1217,450.5504,53,332.58,0.043,0.98,988.014,12.046,7.287,1.478,44.639,13.388,0,0,0,303.398,11.489,-6.767,-0.965,48.398,0.068,20.781,51.803,72.719,985.517,981.892,979.462,14.687,15.423,15.651,7.738,7.839,7.881,1.755,1.852,1.999,47.915,66.33,78.366
