DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.1,0.97,982.514,20.687,7.431,1.633,191.929,16.336,0,0,0,0,21.571,0,0,0,0,21.311,53.098,74.466,980.466,976.615,974.128,22.769,22.769,22.444,7.579,7.462,7.378,1.607,1.607,1.646,197.398,197.398,199.466
2017-10-13 12:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,982.228,20.637,7.207,1.157,195.396,16.598,0,501.103,515.263,320.286,23.759,40.308,30.739,-236.632,0.223,21.25,52.942,74.252,979.702,976.103,973.69,22.076,21.995,21.969,7.112,7.057,7.03,1.148,1.029,0.925,198.463,196.713,195.568
2017-10-13 13:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,982.091,21.005,6.951,0.869,122.563,16.829,0,450.53,464.82,321.051,24.277,41.253,28.66,-192.972,0.218,21.266,52.981,74.305,979.669,976.074,973.66,22.451,22.343,22.303,6.864,6.814,6.79,0.864,0.975,1.015,125.846,119.671,116.427
2017-10-13 13:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,982.346,21.099,6.929,0.718,193.89,17.015,0,388.593,402.613,322.801,24.159,37.209,25.346,-150.745,0.214,21.283,53.024,74.367,979.762,976.165,973.752,22.646,22.551,22.511,6.85,6.818,6.803,0.718,0.779,0.8,197.036,191.991,189.111
2017-10-13 14:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,982.309,20.944,7.034,2.066,200.008,17.13,0,318.375,331.737,322.437,23.294,34.647,23.163,-101.65,0.29,21.271,52.996,74.329,979.672,976.074,973.66,22.412,22.336,22.31,6.961,6.933,6.92,2.054,2.11,2.101,203.155,200.226,198.314
2017-10-13 14:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,982.089,20.896,7.203,1.856,199.578,17.187,0,240.976,253.182,322.832,22.533,21.476,17.556,-61.431,0.257,21.272,52.997,74.33,979.728,976.132,973.719,22.416,22.344,22.317,7.138,7.11,7.096,1.848,2.007,2.058,202.824,201.675,200.965
2017-10-13 15:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,982.062,20.457,7.828,2.515,200.845,17.187,0,159.123,169.509,324.232,21.241,10.968,12.323,-17.566,0.296,21.261,52.973,74.3,979.778,976.179,973.763,22.023,21.978,21.959,7.769,7.782,7.791,2.502,2.771,2.879,203.963,202.705,202.044
2017-10-13 15:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,982.49,19.573,8.582,2.941,184.438,17.132,0,78.203,85.766,324.003,19.589,0.207,5.504,24.536,0.307,21.244,52.93,74.243,979.893,976.288,973.876,21.33,21.322,21.319,8.523,8.523,8.522,2.922,3.315,3.472,187.616,187.736,187.846
2017-10-13 16:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,982.554,18.201,8.441,2.114,188.519,16.982,0,10.219,12.621,321.906,17.806,-4.668,-0.231,64.066,0.15,21.198,52.819,74.092,979.958,976.353,973.937,20.698,20.802,20.855,8.481,8.423,8.38,2.089,2.695,2.963,191.699,193.599,194.308
2017-10-13 16:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,982.432,17.227,8.225,0.799,172.558,16.69,0,0,0,319.64,16.941,-3.389,-0.332,70.046,0.065,21.147,52.698,73.936,980.029,976.359,974.075,20.04,20.286,20.457,8.493,8.459,8.438,0.792,1.412,1.935,175.742,187.099,188.037
2017-10-13 17:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,982.448,16.81,8.295,1.067,335.386,16.382,0,0,0,317.917,16.453,-4.242,-0.409,66.592,0.066,21.116,52.623,73.841,980.095,976.491,974.073,19.576,19.921,20.127,8.574,8.577,8.578,1.064,0.848,0.642,338.558,316.988,280.712
2017-10-13 17:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,982.407,16.762,8.302,2.072,342.263,16.103,0,0,0,316.479,16.158,-7.178,-0.704,62.044,0.094,21.099,52.579,73.771,980.157,976.554,974.136,19.39,19.675,19.831,8.51,8.478,8.448,2.02,1.691,1.599,345.523,328.484,316.68
2017-10-13 18:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,982.735,16,8.373,4.059,45.2,15.865,0,0,0,314.423,14.658,-17.711,0.102,53.887,0.367,20.997,52.349,73.503,980.351,976.748,974.329,17.98,18.921,19.439,8.371,8.39,8.401,3.991,4.898,4.554,48.374,49.649,51.563
2017-10-13 18:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,982.521,14.669,8.426,4.108,40.487,15.668,0,0,0,310.011,13.846,-12.377,0.016,60.044,0.387,20.894,52.078,73.104,980.317,976.713,974.296,16.586,17.146,17.807,8.425,8.421,8.404,4.022,5.736,5.857,43.668,43.151,45.146
2017-10-13 19:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,982.832,14.737,8.239,4.83,36.854,15.481,0,0,0,309.482,13.61,-19.585,0.217,52.584,0.455,20.916,52.136,73.18,980.345,976.742,974.322,16.889,17.454,17.854,8.236,8.314,8.353,4.734,7.109,6.744,40.051,42.877,48.102
2017-10-13 19:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,982.849,14.613,8.082,4.763,46.22,15.306,0,0,0,307.631,13.343,-21.158,0.187,51.121,0.444,20.902,52.091,73.09,980.481,976.878,974.459,16.777,17.059,17.201,8.079,8.13,8.179,4.664,6.063,6.48,49.444,49.785,51.191
2017-10-13 20:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,983.024,14.429,7.95,4.315,48.807,15.12,0,0,0,306.936,13.108,-19.15,0.066,51.783,0.394,20.874,52.042,73.061,980.692,977.09,974.667,16.44,17.236,17.459,7.949,8.188,8.336,4.217,5.692,5.434,52.002,56.869,64.111
2017-10-13 20:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,983.398,14.376,7.898,3.885,47.003,14.922,0,0,0,307.129,12.95,-17.315,-0.251,51.44,0.342,20.863,52.02,73.044,980.856,977.249,974.829,16.216,17.206,17.56,7.904,8.085,8.172,3.793,4.817,4.553,50.188,56.767,65.367
2017-10-13 21:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,983.538,14.341,7.864,3.958,45.602,14.725,0,0,0,307.789,12.801,-18.738,-0.239,48.485,0.346,20.861,52.021,73.054,980.973,977.368,974.946,16.18,17.35,17.685,7.87,8.027,8.083,3.862,4.362,3.936,48.799,56.726,65.932
2017-10-13 21:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,983.378,14.281,7.857,3.615,50.782,14.527,0,0,0,307.237,12.856,-17.145,-0.682,48.739,0.293,20.857,52,73.006,981.176,977.571,975.149,16.201,17.091,17.439,7.884,7.976,8.031,3.524,3.857,3.522,53.98,63.384,76.187
2017-10-13 22:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,983.952,14.164,7.79,3.138,49.605,14.322,0,0,0,304.009,12.998,-14.035,-1.084,52.292,0.223,20.869,52.024,73.028,981.396,977.788,975.368,16.237,16.973,17.227,7.873,7.94,7.962,3.052,3.201,3.071,52.8,65.505,76.894
2017-10-13 22:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,983.866,13.912,7.724,2.964,51.336,14.102,0,0,0,303.639,12.805,-13.331,-1.11,51.899,0.204,20.847,51.97,72.953,981.568,977.962,975.477,16.018,16.765,17.058,7.828,7.881,7.885,2.877,2.632,2.441,54.542,69.282,82.846
2017-10-13 23:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,984.261,13.666,7.608,2.584,57.236,13.875,0,0,0,302.331,12.755,-10.973,-1.039,53.677,0.138,20.844,51.96,72.933,981.768,978.159,975.739,15.912,16.609,16.857,7.78,7.82,7.84,2.487,1.983,1.763,60.486,84.988,102.561
2017-10-13 23:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,984.413,13.398,7.497,2.031,63.359,13.63,0,0,0,301.631,12.701,-8.394,-0.808,55.273,0.093,20.833,51.926,72.871,981.955,978.347,975.924,15.769,16.267,16.435,7.741,7.754,7.759,1.969,1.498,1.473,66.572,101.909,122.589
2017-10-14 00:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,984.54,13.011,7.391,1.466,72.285,13.366,0,0,0,300.805,12.459,-6.669,-0.592,56.254,0.072,20.809,51.86,72.771,982.102,978.494,976.074,15.444,15.808,15.984,7.683,7.684,7.687,1.453,1.163,1.155,75.523,107.431,132.22
2017-10-14 00:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,984.492,12.438,7.279,0.667,79.97,13.088,0,0,0,298.387,11.969,-5.656,-0.389,57.848,0.065,20.77,51.76,72.624,982.047,978.438,976.017,14.928,15.182,15.354,7.615,7.613,7.615,0.66,0.563,0.477,83.101,100.046,123.566
2017-10-14 01:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,984.396,11.951,7.257,0.515,56.944,12.802,0,0,0,295.623,11.509,-5.346,-0.379,59.101,0.065,20.735,51.676,72.514,982.01,978.399,975.98,14.44,14.805,15.035,7.617,7.616,7.616,0.511,0.395,0.209,60.105,61.502,84.696
2017-10-14 01:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,984.544,11.818,7.281,1.434,23.63,12.524,0,0,0,294.869,11.323,-5.993,-0.648,57.946,0.07,20.719,51.638,72.465,982.156,978.55,976.126,14.214,14.613,14.892,7.608,7.599,7.596,1.423,1.288,1.1,26.826,23.253,16.727
2017-10-14 02:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,984.649,11.782,7.315,1.467,20.466,12.26,0,0,0,294.987,11.247,-6.479,-0.69,56.362,0.072,20.718,51.635,72.46,982.284,978.677,976.252,14.173,14.565,14.818,7.653,7.67,7.678,1.452,1.294,1.196,23.666,12.558,4.71
2017-10-14 02:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,984.7,11.69,7.28,1.066,25.511,12,0,0,0,295.812,11.176,-6.23,-0.542,54.942,0.066,20.714,51.626,72.447,982.319,978.709,976.288,14.126,14.496,14.748,7.645,7.68,7.709,1.054,0.916,0.897,28.723,11.047,357.561
2017-10-14 03:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,984.736,11.458,7.31,0.963,20.199,11.755,0,0,0,295.264,10.949,-6.17,-0.533,54.505,0.066,20.699,51.587,72.391,982.372,978.763,976.274,13.89,14.24,14.502,7.692,7.718,7.743,0.955,0.838,0.87,23.402,6.912,355.224
2017-10-14 03:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,984.791,11.252,7.392,1.556,354.062,11.513,0,0,0,293.951,10.681,-6.935,-0.811,53.916,0.076,20.681,51.545,72.338,982.461,978.817,976.396,13.603,14.036,14.339,7.755,7.767,7.774,1.54,1.417,1.299,357.234,353.772,355.466
2017-10-14 04:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,984.785,11.377,7.401,1.654,353.514,11.292,0,0,0,294.132,10.725,-7.918,-0.89,52.053,0.08,20.691,51.573,72.384,982.429,978.816,976.396,13.737,14.232,14.59,7.766,7.786,7.805,1.637,1.653,1.613,356.706,350.12,346.714
2017-10-14 04:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,984.825,11.142,7.377,1.495,343.811,11.072,0,0,0,292.813,10.532,-7.414,-0.818,52.715,0.074,20.677,51.536,72.329,982.464,978.852,976.432,13.529,13.99,14.337,7.769,7.758,7.747,1.479,1.432,1.36,347.013,344.114,342.896
2017-10-14 05:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,984.914,10.949,7.303,1.348,351.659,10.852,0,0,0,291.716,10.369,-7.054,-0.737,53.044,0.068,20.666,51.505,72.281,982.507,978.893,976.473,13.361,13.773,14.078,7.712,7.718,7.719,1.336,1.221,1.106,354.867,352.716,351.671
2017-10-14 05:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,984.989,10.762,7.16,0.702,358.052,10.626,0,3.663,3.13,290.668,10.211,-6.706,-0.493,51.137,0.065,20.651,51.47,72.233,982.583,978.972,976.552,13.208,13.632,13.915,7.578,7.615,7.647,0.693,0.563,0.44,1.228,3.206,5.743
2017-10-14 06:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,985.078,11.09,7.472,0.287,359.62,10.479,0,67.857,65.487,289.767,10.754,-4.08,-0.082,10.117,0.065,20.632,51.424,72.17,982.675,979.065,976.642,12.938,13.383,13.67,7.558,7.603,7.647,0.284,0.279,0.344,2.812,50.723,76.799
2017-10-14 06:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,985.063,11.385,7.744,0.262,300.271,10.543,0,148.615,146.6,288.83,11.467,0.996,1.829,-38.94,0.097,20.615,51.381,72.112,982.641,979.027,976.605,12.664,13.146,13.425,7.616,7.645,7.701,0.255,0.128,0.383,303.498,71.366,85.103
2017-10-14 07:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,985.079,11.791,7.822,0.146,270.641,10.704,0,230.697,229.809,289.746,12.892,13.278,5.715,-82.15,0.158,20.646,51.452,72.2,982.649,979.039,976.614,13.049,13.354,13.632,7.722,7.698,7.76,0.143,0.332,0.233,273.677,313.07,8.269
2017-10-14 07:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,985.09,12.66,7.961,0.162,237.759,10.939,0,308.988,309.603,292.253,14.914,26.976,9.722,-121.32,0.186,20.717,51.607,72.384,982.655,979.044,976.557,13.957,13.699,14.029,7.88,7.755,7.819,0.158,0.861,0.523,240.918,299.04,316.851
2017-10-14 08:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,985.07,13.402,7.971,0.377,225.582,11.236,0,380.53,382.845,294.828,16.982,42.558,13.941,-152.906,0.21,20.778,51.765,72.601,982.653,979.042,976.617,14.783,14.636,14.625,7.933,7.929,7.944,0.37,0.43,0.383,228.689,235.788,238.405
2017-10-14 08:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,985.056,14.578,8.228,0.525,172.89,11.579,0,443.266,447.371,296.797,18.953,57.066,17.683,-178.282,0.229,20.854,51.955,72.868,982.647,979.032,976.609,15.724,15.584,15.571,8.186,8.185,8.19,0.516,0.594,0.599,176.032,174.037,171.497
2017-10-14 09:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,985.045,15.398,8.652,0.862,171.173,11.963,0,495.163,501.065,299.412,20.499,72.029,20.652,-196.198,0.247,20.923,52.127,73.106,982.626,979.01,976.586,16.497,16.322,16.283,8.605,8.6,8.602,0.85,0.929,0.939,174.386,170.383,167.705
2017-10-14 09:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,985.041,16.058,8.97,1.015,169.578,12.37,0,535.047,542.688,302.142,21.818,85.943,23.252,-206.721,0.261,20.979,52.265,73.298,982.6,978.985,976.555,17.128,16.932,16.879,8.919,8.908,8.905,1.002,1.1,1.125,172.71,168.663,166.165
2017-10-14 10:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,984.955,16.72,9.142,1.013,168.589,12.788,0,562.317,571.588,304.765,22.981,96.616,25.618,-211.261,0.271,21.031,52.394,73.476,982.517,978.898,976.474,17.779,17.568,17.5,9.089,9.071,9.064,1.001,1.163,1.222,171.792,168.641,167.026
2017-10-14 10:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,984.869,17.272,9.217,1.164,172.31,13.205,0,576.338,587.083,306.948,23.853,105.999,27.492,-207.91,0.288,21.072,52.495,73.617,982.436,978.82,976.393,18.322,18.101,18.027,9.162,9.138,9.127,1.152,1.289,1.335,175.509,172.087,170.233
2017-10-14 11:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,984.807,17.753,9.149,1.122,175.003,13.605,0,577.098,589.124,308.375,24.551,110.224,28.613,-200.097,0.29,21.104,52.574,73.728,982.384,978.766,976.34,18.804,18.579,18.504,9.093,9.065,9.052,1.109,1.266,1.322,178.179,174.843,173.037
2017-10-14 11:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,984.767,18.188,9.046,1.103,171.051,13.988,0,563.878,576.939,310.188,25.031,111.052,28.994,-186.811,0.291,21.132,52.644,73.826,982.344,978.726,976.301,19.244,19.022,18.947,8.989,8.96,8.946,1.094,1.268,1.334,174.254,170.838,169.018
2017-10-14 12:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,984.73,18.657,8.95,1.262,154.649,14.344,0,537.694,551.526,311.039,25.272,108.948,28.74,-167.376,0.3,21.162,52.72,73.933,982.314,978.697,976.275,19.717,19.496,19.418,8.894,8.856,8.837,1.252,1.429,1.496,157.855,156.579,155.961
2017-10-14 12:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,984.794,18.987,9.056,1.417,154.948,14.663,0,497.852,512.122,313.526,25.261,104.31,27.242,-143.635,0.307,21.19,52.788,74.029,982.36,978.748,976.318,20.048,19.838,19.759,9.001,8.969,8.954,1.406,1.58,1.64,158.11,157.431,156.996
2017-10-14 13:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,984.813,19.185,9.34,1.426,150.595,14.949,0,446.156,460.518,315.751,25.035,95.583,24.372,-116.796,0.302,21.214,52.849,74.115,982.374,978.76,976.332,20.258,20.061,19.987,9.288,9.261,9.248,1.417,1.592,1.659,153.769,153.786,153.743
2017-10-14 13:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,984.854,19.323,9.449,1.635,149.423,15.189,0,383.838,397.911,317.835,24.515,85.106,21.291,-85.009,0.309,21.228,52.885,74.167,982.401,978.785,976.356,20.411,20.231,20.162,9.401,9.379,9.369,1.625,1.806,1.874,152.593,152.086,151.772
2017-10-14 14:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,984.898,19.331,9.516,1.766,140.016,15.38,0,312.556,325.909,319.724,23.755,71.359,17.492,-51.052,0.308,21.231,52.894,74.18,982.465,978.846,976.42,20.443,20.285,20.225,9.473,9.45,9.439,1.755,1.939,2.008,143.193,143.456,143.566
2017-10-14 14:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,984.98,19.266,9.162,1.844,139.336,15.512,0,235.169,247.335,319.228,22.753,54.024,13.705,-14.876,0.3,21.218,52.861,74.138,982.54,978.922,976.5,20.417,20.287,20.239,9.125,9.098,9.084,1.83,2.013,2.075,142.478,142.148,141.998
2017-10-14 15:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,985.069,19.054,9.368,1.873,133.262,15.585,0,153.585,163.887,320.257,21.565,36.45,8.671,21.33,0.285,21.212,52.849,74.123,982.628,979.011,976.583,20.254,20.154,20.118,9.34,9.317,9.305,1.861,2.033,2.088,136.43,137.262,137.702
2017-10-14 15:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,985.162,18.713,9.476,1.971,130.82,15.596,0,73.226,80.61,320.751,20.151,19.235,3.847,57.239,0.271,21.196,52.81,74.071,982.724,979.106,976.678,19.975,19.915,19.894,9.46,9.44,9.43,1.956,2.114,2.156,134.018,134.714,135.109
2017-10-14 16:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.161,0.98,985.25,17.963,9.065,1.846,136.191,15.524,0,7.228,9.126,319.307,18.336,4.407,-0.245,87.398,0.224,21.167,52.738,73.974,982.82,979.205,976.776,19.74,19.723,19.719,9.072,9.062,9.057,1.83,2.009,2.053,139.398,139.888,140.202
2017-10-14 16:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,985.353,17.086,8.879,1.615,112.662,15.339,0,0,0,318.73,17.265,2.127,-1.258,85.181,0.174,21.138,52.67,73.882,982.919,979.301,976.873,19.33,19.347,19.37,9.083,9.117,9.136,1.601,1.903,2.021,115.706,121.143,124.837
2017-10-14 17:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,985.452,16.106,9.209,1.85,69.428,15.171,0,0,0,316.261,16.38,3.275,-1.627,84.252,0.211,21.043,52.449,73.612,983.004,979.385,976.958,17.923,18.363,18.719,9.292,9.395,9.468,1.826,2.475,2.756,72.613,95.57,106.26
2017-10-14 17:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,985.515,15.427,8.925,1.415,59.464,14.975,0,0,0,315.535,15.644,2.596,-1.236,80.111,0.153,21.014,52.375,73.507,983.069,979.454,977.024,17.584,17.986,18.35,9.174,9.288,9.373,1.395,1.718,1.861,62.621,90.478,107.467
2017-10-14 18:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,985.574,15.206,8.903,1.361,37.615,14.743,0,0,0,315.153,15.319,1.355,-1.151,76.323,0.138,21.002,52.337,73.435,983.117,979.5,977.072,17.405,17.63,17.839,9.19,9.237,9.281,1.343,1.193,0.921,40.828,52.954,70.509
2017-10-14 18:30:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,985.547,15.122,8.966,1.748,47.769,14.531,0,0,0,315.047,15.127,0.061,-1.422,72.824,0.159,20.988,52.307,73.4,983.094,979.477,977.05,17.219,17.561,17.786,9.206,9.273,9.315,1.722,1.692,1.382,50.949,57.5,66.848
2017-10-14 19:00:00,15.448889,47.077778,367,506494,954,461,47.0749,15.4458,954.2346,461.32,52,367.57,0.026,0.98,985.477,14.906,8.937,1.669,39.47,14.334,0,0,0,315.306,14.853,-0.63,-1.334,69.872,0.149,20.974,52.274,73.362,983.04,979.421,976.995,17.036,17.47,17.724,9.201,9.284,9.331,1.642,1.436,1.208,42.635,45.184,49.691
