DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.1,0.97,983.417,20.666,7.416,2.037,178.859,15.888,0,0,0,0,21.477,0,0,0,0,21.284,52.99,74.262,981.011,977.408,974.99,22.247,21.368,21.158,7.412,7.266,7.211,2.046,2.219,2.312,183.555,184.434,183.95
2017-10-13 12:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.164,0.98,983.937,20.273,7.485,1.647,177.106,16.13,0,501.211,496.199,319.833,22.966,38.891,107.435,-143.883,0.267,21.227,52.877,74.157,981.425,977.821,975.404,21.512,21.413,21.389,7.169,7.039,6.99,1.833,1.97,1.993,180.265,175.879,173.372
2017-10-13 13:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.164,0.98,983.934,20.584,7.518,1.763,181.014,16.334,0,450.403,443.171,321.293,22.881,33.639,99.279,-115.163,0.279,21.252,52.941,74.247,981.435,977.762,975.476,21.843,21.758,21.735,7.213,7.092,7.043,1.966,2.1,2.129,184.202,179.496,176.691
2017-10-13 13:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.164,0.98,984.099,20.664,7.574,1.907,205.902,16.495,0,388.874,379.749,322.197,22.407,25.487,87.345,-86.977,0.287,21.264,52.97,74.288,981.541,977.936,975.518,21.948,21.873,21.851,7.28,7.156,7.107,2.128,2.32,2.367,208.947,206.835,205.524
2017-10-13 14:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.164,0.98,983.882,20.758,7.655,1.913,190.319,16.61,0,318.805,308.226,322.604,21.791,14.151,71.326,-60.565,0.276,21.276,53,74.332,981.43,977.825,975.408,22.106,22.056,22.04,7.365,7.257,7.214,2.14,2.393,2.474,193.575,191.405,190.025
2017-10-13 14:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.164,0.98,983.916,20.522,7.707,2.137,188.905,16.676,0,241.526,230.134,322.793,20.743,2.869,53.535,-32.833,0.278,21.27,52.987,74.316,981.48,977.873,975.457,22.019,22.002,21.996,7.378,7.285,7.25,2.397,2.705,2.802,192.06,191.433,191.303
2017-10-13 15:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.164,0.98,983.755,19.675,8.708,2.353,194.643,16.693,0,159.727,148.509,324.168,19.536,-1.633,25.9,-6.848,0.26,21.268,52.985,74.318,981.51,977.903,975.482,21.651,21.644,21.639,8.298,8.31,8.321,2.656,3.007,3.149,197.852,198.038,198.134
2017-10-13 15:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.164,0.98,984.238,17.866,9.258,2.334,183.46,16.646,0,78.697,69.344,324.324,17.47,-4.699,4.64,21.355,0.207,21.249,52.939,74.258,981.626,977.947,975.593,21.022,21.086,21.112,8.817,8.765,8.736,2.654,3.071,3.249,186.568,184.376,183.537
2017-10-13 16:00:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.164,0.98,984.299,15.255,8.155,1.693,194.311,16.458,0,10.575,7.119,320.982,14.754,-6.001,-1.978,50.752,0.119,21.188,52.797,74.078,981.667,978.056,975.636,20.164,20.665,20.868,8.81,8.424,8.248,2.011,3.257,3.484,197.597,188.936,187.368
2017-10-13 16:30:00,15.410277,47.046112,357,503194,951,458,47.0493,15.4038,951.4922,457.6456,51,352.49,0.09,0.98,984.1,14.433,7.534,1.489,199.988,16.177,0,0,0,319.127,13.968,-5.577,-1.69,52.697,0.072,21.144,52.689,73.937,981.723,978.114,975.694,19.81,20.221,20.462,8.405,8.407,8.402,1.968,2.403,2.82,203.203,189.095,181.952
