DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.1,0.97,994.579,18.4,7.696,3.592,289.186,15.742,0,0,0,0,18.964,0,0,0,0,21.142,52.634,73.743,992.158,988.491,986.042,19.08,17.785,17.496,7.705,7.599,7.559,3.579,4.389,4.746,290.805,290.094,289.942
2017-10-13 12:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.167,0.98,992.726,17.861,7.946,4.416,283.164,15.918,0,490.402,489.976,310.79,21.23,76.782,73.236,-134.957,0.423,21.069,52.492,73.622,990.187,986.545,984.103,18.19,18.06,18.01,7.761,7.706,7.68,4.675,5.087,5.269,285.364,285.508,285.564
2017-10-13 13:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.167,0.98,992.558,18.161,7.922,5.181,286.119,16.054,0,442.761,442.091,312.3,21.142,74.662,70.056,-102.647,0.48,21.089,52.543,73.693,990.057,986.418,983.975,18.5,18.373,18.324,7.742,7.678,7.648,5.499,5.945,6.132,288.336,288.191,288.095
2017-10-13 13:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.167,0.98,992.574,18.227,7.99,5.027,289.79,16.16,0,384.99,384.108,311.912,20.89,64.672,61.393,-74.935,0.465,21.1,52.572,73.735,990.043,986.335,983.96,18.602,18.488,18.444,7.824,7.768,7.742,5.332,5.764,5.947,291.993,291.933,291.903
2017-10-13 14:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.167,0.98,992.597,18.117,7.596,4.976,290.299,16.225,0,318.581,317.528,309.072,20.172,48.578,53.223,-46.688,0.455,21.085,52.535,73.685,990.077,986.369,983.995,18.551,18.46,18.427,7.439,7.385,7.359,5.278,5.737,5.926,292.535,292.465,292.402
2017-10-13 14:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.167,0.98,992.5,17.993,7.788,4.49,284.916,16.262,0,244.028,242.87,309.337,19.431,30.746,40.02,-22.044,0.409,21.089,52.545,73.7,990.018,986.378,983.936,18.513,18.449,18.427,7.648,7.589,7.56,4.767,5.192,5.374,287.141,287.587,287.822
2017-10-13 15:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.167,0.98,992.492,17.743,7.846,4.04,288.088,16.248,0,164.749,163.583,309.595,18.372,11.832,26.537,2.951,0.361,21.081,52.526,73.677,990.055,986.415,984.038,18.376,18.353,18.347,7.724,7.676,7.653,4.29,4.712,4.889,290.298,290.275,290.281
2017-10-13 15:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.167,0.98,992.554,17.314,7.656,4.104,289.738,16.182,0,85.62,84.606,307.589,16.963,-5.769,13.528,29.445,0.336,21.063,52.485,73.627,990.083,986.443,984.001,18.19,18.28,18.319,7.535,7.446,7.407,4.378,4.993,5.235,291.952,292.939,293.319
2017-10-13 16:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.167,0.98,992.623,15.305,7.579,3.204,298.06,16.02,0,16.035,15.557,305.457,14.537,-9.28,0.182,57.456,0.21,21.017,52.386,73.516,990.141,986.501,984.057,17.532,18.067,18.232,7.565,7.416,7.351,3.452,4.389,4.662,300.267,301.875,302.248
2017-10-13 16:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.065,0.98,992.672,14.993,7.354,3.493,294.301,15.765,0,0,0,304.379,13.831,-14.076,-1.064,59.24,0.208,21.001,52.356,73.489,990.182,986.541,984.1,17.368,18.14,18.277,7.43,7.339,7.26,3.816,4.413,4.621,296.52,299.566,299.961
2017-10-13 17:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.065,0.98,992.757,14.902,7.364,3.837,302.884,15.523,0,0,0,302.579,13.398,-18.239,-0.631,54.615,0.233,20.974,52.286,73.39,990.263,986.621,984.179,16.969,17.692,17.878,7.395,7.347,7.27,4.198,4.58,4.708,305.126,307.903,307.859
2017-10-13 17:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.065,0.98,992.83,14.501,7.371,4.094,311.115,15.295,0,0,0,299.984,12.773,-21.009,-0.251,52.217,0.262,20.92,52.157,73.223,990.372,986.731,984.288,16.225,17.133,17.497,7.379,7.213,7.098,4.466,4.731,4.895,313.331,312.164,310.379
2017-10-13 18:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.065,0.98,992.896,14.511,7.191,4.557,308.87,15.079,0,0,0,298.559,12.478,-26.613,0.322,47.415,0.302,20.902,52.118,73.174,990.461,986.821,984.378,16.058,17.038,17.339,7.184,7.163,7.089,4.963,5.465,5.744,311.073,313.173,310.201
2017-10-13 18:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.065,0.98,992.725,13.987,7.127,4.651,303.915,14.881,0,0,0,296.902,12.023,-27.077,0.332,46.54,0.313,20.86,52.011,73.029,990.337,986.697,984.255,15.528,16.454,16.884,7.121,7.168,7.161,5.054,5.535,5.668,306.121,310.496,309.451
2017-10-13 19:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.065,0.98,992.881,13.854,7.029,4.262,296.96,14.671,0,0,0,296.984,11.844,-24.511,0.016,46.19,0.266,20.858,52.008,73.018,990.446,986.737,984.363,15.524,16.53,16.775,7.028,6.94,6.869,4.665,5.081,5.407,299.142,305.207,306.101
2017-10-13 19:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.065,0.98,993.161,12.855,6.853,3.768,267.474,14.439,0,0,0,295.66,11.342,-18.483,-1.028,49.218,0.221,20.801,51.848,72.773,990.677,987.036,984.593,14.762,15.274,15.657,6.906,6.874,6.848,4.139,4.416,4.458,269.639,276.103,281.404
2017-10-13 20:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.065,0.98,993.392,12.067,6.919,3.477,257.92,14.198,0,0,0,293.832,10.812,-15.369,-2.113,50.489,0.2,20.754,51.734,72.618,990.871,987.229,984.784,14.019,14.594,15.022,7.059,7.02,6.978,3.823,4.309,4.636,260.131,271.115,278.313
2017-10-13 20:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.065,0.98,993.575,11.736,6.89,3.434,247.968,13.956,0,0,0,293.455,10.505,-15.095,-2.289,49.341,0.196,20.728,51.671,72.531,991.04,987.396,984.952,13.652,14.234,14.661,7.046,7.046,7.039,3.781,4.227,4.613,250.16,263.175,272.441
2017-10-13 21:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.065,0.98,993.69,11.368,6.81,3.351,248.379,13.714,0,0,0,292.793,10.184,-14.526,-2.383,48.762,0.189,20.699,51.6,72.43,991.202,987.558,985.114,13.292,13.903,14.188,6.987,6.994,6.99,3.695,4.058,4.337,250.582,264.33,272.91
2017-10-13 21:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.065,0.98,993.783,11.325,6.819,3.539,255.549,13.474,0,0,0,292.434,10.019,-16.042,-2.425,46.766,0.204,20.684,51.562,72.377,991.321,987.677,985.234,13.083,13.68,14.071,6.961,6.963,6.95,3.891,4.239,4.479,257.774,269.863,279.454
2017-10-13 22:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.065,0.98,993.918,11.589,6.86,3.926,263.46,13.257,0,0,0,291.686,9.988,-19.674,-2.254,43.844,0.235,20.688,51.572,72.398,991.363,987.718,985.272,13.101,13.748,14.199,6.942,6.94,6.927,4.3,4.678,4.817,265.669,276.662,284.963
2017-10-13 22:30:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.065,0.98,993.967,11.342,6.808,3.857,263.461,13.06,0,0,0,290.93,9.772,-19.302,-2.51,43.471,0.229,20.672,51.53,72.335,991.468,987.823,985.38,12.893,13.482,13.952,6.91,6.909,6.901,4.23,4.567,4.697,265.682,276.382,284.603
2017-10-13 23:00:00,14.188056,48.235279,298,642671,855,585,48.2388,14.1949,854.4916,584.6085,53,291.47,0.065,0.98,994.1,10.192,6.387,2.401,264.018,12.832,0,0,0,291.152,9.399,-9.754,-2.056,48.881,0.101,20.658,51.491,72.267,991.614,987.97,985.525,12.75,13.171,13.525,6.834,6.843,6.851,2.831,2.987,3.156,266.222,277.983,287.607
