DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.1,0.97,961.885,16.736,5.148,0.557,19.182,15.141,0,0,0,0,21.53,0,0,0,0,21.284,53.02,74.358,964.546,960.775,958.249,25.325,25.325,25.325,7.292,7.18,7.106,0.365,0.365,0.365,19.43,19.43,19.43
2017-10-13 12:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,959.756,21.704,5.568,1.388,324.514,15.455,0,534.073,555.305,307.993,24.728,36.594,65.036,-218.87,0.192,21.258,52.952,74.253,957.334,953.926,951.507,25.131,25.053,25.035,5.357,5.272,5.242,1.468,1.375,1.312,325.037,320.783,318.938
2017-10-13 13:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,959.683,22.056,5.832,1.27,107.715,15.729,0,487.029,507.068,311.595,25.356,39.822,60.539,-179.051,0.192,21.291,53.034,74.366,957.238,953.728,951.378,25.488,25.369,25.333,5.64,5.559,5.53,1.334,1.391,1.411,107.724,106.368,105.513
2017-10-13 13:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,959.619,22.012,6.165,0.185,260.686,15.959,0,428.202,446.134,313.528,25.239,36.315,51.291,-142.64,0.168,21.311,53.082,74.434,957.199,953.689,951.338,25.676,25.551,25.523,5.871,5.78,5.751,0.195,0.154,0.112,261.003,258.824,266.368
2017-10-13 14:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,959.622,22.156,6.176,0.554,9.567,16.144,0,363.357,379.908,313.325,24.606,27.64,43.751,-107.829,0.161,21.324,53.116,74.483,957.228,953.718,951.368,25.863,25.756,25.725,5.883,5.823,5.791,0.582,0.756,0.842,9.636,4.026,3.436
2017-10-13 14:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,959.689,22.301,6.026,0.94,100.011,16.285,0,288.06,302.321,315.023,23.713,15.968,34.911,-71.977,0.15,21.338,53.15,74.531,957.251,953.747,951.392,26.124,26.076,26.059,5.74,5.615,5.557,1.002,1.136,1.206,99.521,89.348,83.732
2017-10-13 15:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,959.806,21.062,7.636,4.545,76.303,16.329,0,205.081,216.508,318.894,21.816,14.907,34.232,-20.098,0.401,21.277,53.001,74.327,957.481,953.966,951.615,24.532,24.503,24.495,7.487,7.438,7.418,4.847,5.434,5.68,76.275,75.486,75.056
2017-10-13 15:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,960.315,18.876,8.397,6.451,67.719,16.304,0,122.122,130.39,315.404,19.345,12.192,22.754,26.281,0.542,21.15,52.685,73.885,957.913,954.461,952.035,22.324,22.302,22.299,8.311,8.287,8.277,6.897,7.748,8.085,67.688,67.437,67.435
2017-10-13 16:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,960.61,17.695,8.516,5.433,72.548,16.216,0,44.001,48.432,312.97,17.47,-4.774,8.587,53.096,0.444,21.08,52.514,73.651,958.216,954.697,952.337,21.276,21.331,21.362,8.465,8.435,8.417,5.808,6.678,7.037,72.524,72.001,72.049
2017-10-13 16:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,961.168,15.563,7.897,1.415,85.263,16.014,0,0,0,313.793,15.326,-2.759,-0.861,70.204,0.085,21.054,52.449,73.562,958.669,955.15,952.786,20.944,21.006,21.036,8.291,8.284,8.279,1.59,1.939,2.131,85.285,80.413,78.409
2017-10-13 17:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,961.407,15.283,7.853,1.922,107.548,15.73,0,0,0,313.096,14.844,-5.127,-1.018,64.201,0.103,21.012,52.35,73.434,958.961,955.443,953.082,20.423,20.639,20.739,8.142,8.103,8.084,2.192,2.663,2.786,107.512,106.365,104.618
2017-10-13 17:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,961.72,14.284,7.803,1.3,58.346,15.436,0,0,0,310.812,13.994,-3.405,-0.745,63.337,0.063,20.949,52.192,73.211,959.29,955.77,953.408,19.484,19.667,19.807,8.235,8.201,8.156,1.557,1.806,2.103,58.253,68.939,75.215
2017-10-13 18:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,961.947,14.016,7.59,1.615,77.184,15.136,0,0,0,309.564,13.623,-4.618,-0.82,60.093,0.071,20.912,52.096,73.07,959.58,956.059,953.699,19.096,19.19,19.239,7.94,7.936,7.935,1.931,2.388,2.675,77.033,80.737,81.869
2017-10-13 18:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,962.011,13.345,7.584,1.78,74.549,14.85,0,0,0,307.694,12.94,-4.772,-0.935,58.664,0.078,20.849,51.945,72.87,959.651,956.13,953.769,18.24,18.482,18.618,7.908,7.897,7.884,2.121,2.793,3.15,74.518,74.967,75.232
2017-10-13 19:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,962.11,13.23,7.385,1.315,65.122,14.564,0,0,0,307.37,12.824,-4.781,-0.682,56.409,0.063,20.849,51.943,72.864,959.809,956.289,953.929,18.305,18.504,18.634,7.777,7.77,7.762,1.567,2.131,2.488,65.016,65.185,66.11
2017-10-13 19:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,962.253,12.657,7.347,1.169,163.771,14.279,0,0,0,305.891,12.278,-4.47,-0.651,55.703,0.063,20.803,51.829,72.706,959.964,956.442,954.081,17.654,17.9,18.008,7.759,7.743,7.732,1.391,1.248,1.244,163.686,148.531,134.544
2017-10-13 20:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,962.425,12.754,7.227,1.188,132.333,13.993,0,0,0,306.188,12.298,-5.386,-0.647,52.851,0.063,20.811,51.849,72.729,960.113,956.592,954.168,17.808,18.004,18.058,7.637,7.646,7.645,1.408,1.407,1.425,132.067,135.948,137.981
2017-10-13 20:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,962.625,12.574,7.12,1.093,107.284,13.718,0,0,0,305.706,12.095,-5.658,-0.61,51.37,0.062,20.798,51.817,72.686,960.254,956.733,954.374,17.639,17.837,17.951,7.535,7.538,7.535,1.298,1.516,1.695,107.199,112.024,115.65
2017-10-13 21:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,962.797,12.461,7.065,1.059,129.489,13.454,0,0,0,305.298,11.95,-6.03,-0.616,49.883,0.062,20.791,51.799,72.661,960.388,956.864,954.503,17.538,17.717,17.81,7.498,7.517,7.531,1.259,1.361,1.449,129.443,120.379,115.178
2017-10-13 21:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,962.967,12.153,7.032,0.504,133.269,13.191,0,0,0,304.766,11.663,-5.8,-0.473,49.125,0.061,20.774,51.758,72.602,960.525,957.001,954.64,17.268,17.444,17.551,7.521,7.527,7.535,0.598,0.791,0.936,133.223,114.573,106.091
2017-10-13 22:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,963.017,11.659,6.992,0.156,148.092,12.927,0,0,0,303.169,11.206,-5.377,-0.391,49.407,0.06,20.737,51.67,72.491,960.608,957.082,954.719,16.744,17.083,17.259,7.512,7.519,7.526,0.187,0.51,0.572,148.305,98.2,104.472
2017-10-13 22:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,963.024,11.324,6.982,0.32,191.518,12.663,0,0,0,301.954,10.873,-5.348,-0.451,49.098,0.06,20.709,51.608,72.419,960.646,957.122,954.758,16.354,16.947,17.121,7.512,7.498,7.497,0.38,0.394,0.475,191.368,144.204,144.209
2017-10-13 23:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,963.064,11.122,6.951,0.539,84.708,12.4,0,0,0,301.089,10.655,-5.551,-0.531,48.388,0.061,20.691,51.568,72.368,960.695,957.171,954.807,16.12,16.817,16.97,7.481,7.468,7.473,0.64,0.65,0.451,84.597,90.132,103.098
2017-10-13 23:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,963.123,10.918,6.901,0.888,119.3,12.148,0,0,0,300.187,10.432,-5.776,-0.655,47.754,0.062,20.671,51.514,72.291,960.758,957.232,954.871,15.858,16.441,16.711,7.413,7.404,7.414,1.046,1.442,1.451,119.203,94.743,90.968
2017-10-14 00:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,963.196,10.737,6.949,1.183,256.874,11.893,0,0,0,299.29,10.229,-6.043,-0.826,47.101,0.063,20.657,51.472,72.221,960.825,957.302,954.936,15.62,16.016,16.329,7.472,7.441,7.435,1.399,0.444,0.243,256.881,246.304,167.16
2017-10-14 00:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,963.249,10.794,7.03,1.694,250.644,11.656,0,0,0,299.113,10.156,-7.584,-1.235,44.874,0.076,20.655,51.469,72.215,960.864,957.342,954.973,15.565,15.977,16.23,7.517,7.486,7.468,2.004,1.396,1.058,250.615,254.224,251.675
2017-10-14 01:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,963.221,10.172,7.164,1.998,263.628,11.436,0,0,0,296.423,9.535,-7.594,-1.702,45.845,0.088,20.599,51.339,72.055,960.82,957.295,954.93,14.713,15.447,15.822,7.634,7.581,7.544,2.353,1.917,1.651,263.568,262.361,259.528
2017-10-14 01:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,963.163,10.005,7.095,1.81,255.268,11.216,0,0,0,295.359,9.392,-7.313,-1.534,45.88,0.08,20.594,51.322,72.02,960.764,957.238,954.877,14.65,15.201,15.527,7.62,7.598,7.586,2.131,1.793,1.574,255.35,261.166,264.016
2017-10-14 02:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,963.096,9.783,7.171,2.075,249.951,10.997,0,0,0,294.097,9.106,-8.08,-1.95,45.11,0.091,20.571,51.268,71.953,960.692,957.168,954.803,14.298,14.985,15.323,7.671,7.639,7.625,2.443,1.75,1.316,249.885,260.461,267.616
2017-10-14 02:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,963.096,9.368,7.228,1.986,252.212,10.797,0,0,0,292.39,8.749,-7.404,-1.998,45.973,0.087,20.544,51.212,71.888,960.698,957.173,954.81,13.865,14.887,15.114,7.782,7.709,7.692,2.334,1.727,1.419,252.154,259.775,270.624
2017-10-14 03:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,963.126,9.101,7.105,1.382,244.678,10.578,0,0,0,291.955,8.604,-5.944,-1.274,46.71,0.065,20.541,51.198,71.859,960.721,957.196,954.834,13.818,14.628,14.929,7.779,7.742,7.727,1.622,1.247,1.041,244.641,261.775,276.792
2017-10-14 03:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,963.197,8.86,7.082,0.868,257.188,10.344,0,0,0,291.587,8.388,-5.652,-0.954,46.323,0.062,20.531,51.162,71.795,960.834,957.308,954.943,13.659,14.189,14.534,7.83,7.78,7.744,1.02,0.634,0.404,257.207,261.542,268.476
2017-10-14 04:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,963.241,8.733,6.989,0.726,269.908,10.119,0,0,0,291.067,8.248,-5.803,-0.869,45.71,0.061,20.521,51.137,71.76,960.907,957.382,955.017,13.564,14.007,14.45,7.745,7.796,7.77,0.852,0.75,0.61,269.818,275.877,264.482
2017-10-14 04:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,963.281,8.605,6.984,1.163,256.034,9.899,0,0,0,290.283,8.095,-6.112,-1.145,45.115,0.062,20.506,51.096,71.698,960.962,957.437,955.07,13.362,13.714,14.15,7.713,7.719,7.746,1.366,0.785,0.636,255.942,266.687,263.362
2017-10-14 05:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,963.304,8.685,6.953,1.122,263.98,9.679,0,0,0,290.064,8.129,-6.668,-1.137,43.932,0.062,20.518,51.13,71.756,960.987,957.459,955.159,13.517,14.039,14.514,7.709,7.722,7.706,1.316,0.792,0.729,263.894,262.871,251.892
2017-10-14 05:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.046,0.98,963.33,8.747,6.902,0.988,233.628,9.464,0,0,0,290.193,8.156,-7.084,-1.058,42.721,0.062,20.527,51.158,71.802,961.042,957.482,955.121,13.658,14.318,14.765,7.682,7.695,7.668,1.163,0.879,0.835,233.465,232.572,231.687
2017-10-14 06:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,963.38,9.346,7.098,0.349,229.785,9.288,0,27.421,29.102,290.964,8.829,-6.18,-0.485,23.465,0.06,20.543,51.2,71.863,961.06,957.532,955.169,13.895,14.618,15.027,7.642,7.638,7.602,0.41,0.69,0.657,229.565,246.346,247.461
2017-10-14 06:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,963.4,8.927,7.014,0.137,75.646,9.134,0,101.606,25.201,290.042,8.453,-5.676,-0.446,27.134,0.06,20.515,51.142,71.802,961.058,957.531,955.165,13.508,14.567,15.003,7.607,7.609,7.578,0.161,0.864,0.929,75.941,249.453,251.748
2017-10-14 07:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,963.415,11.063,7.871,0.668,59.638,9.208,0,182.911,190.27,290.539,11.45,4.586,6.276,-67.679,0.083,20.544,51.203,71.871,961.061,957.533,955.169,13.903,14.643,15.22,7.624,7.567,7.503,0.699,0.661,1.303,59.59,242.263,243.022
2017-10-14 07:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,963.358,12.132,8.082,0.434,27.255,9.457,0,262.942,272.992,292.977,13.716,18.616,13.343,-102.841,0.123,20.628,51.396,72.11,960.994,957.467,955.103,14.984,15.294,15.765,7.829,7.675,7.558,0.456,0.915,1.427,27.033,249.227,246.464
2017-10-14 08:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,963.212,13.464,8.328,0.218,321.631,9.786,0,337.801,350.374,296.426,16.255,32.522,21.008,-133.478,0.143,20.738,51.656,72.442,960.845,957.319,954.953,16.413,16.374,16.575,8.086,7.851,7.72,0.227,0.86,1.131,321.569,257.07,246.196
2017-10-14 08:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,963.013,14.859,8.242,0.229,248.219,10.178,0,405.026,419.902,300.386,18.769,45.144,29.944,-158.318,0.16,20.847,51.926,72.817,960.652,957.126,954.759,17.963,17.868,17.874,8.049,7.969,7.93,0.239,0.535,0.683,248.27,240.876,241.888
2017-10-14 09:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,962.787,16.027,8.172,0.487,248.366,10.61,0,462.492,479.392,304.335,21.063,58.768,38.332,-175.365,0.177,20.935,52.146,73.12,960.456,956.898,954.535,19.221,19.069,19.039,8.066,7.984,7.947,0.509,0.754,0.866,248.284,243.734,242.493
2017-10-14 09:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,962.546,17.321,8.025,0.389,245.352,11.068,0,509.118,527.737,307.554,23.103,71.035,45.833,-185.849,0.188,21.008,52.326,73.37,960.186,956.662,954.299,20.33,20.148,20.099,7.912,7.831,7.795,0.408,0.594,0.68,245.325,242.318,241.02
2017-10-14 10:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,962.282,18.332,7.824,0.254,229.125,11.532,0,543.789,563.784,310.224,24.689,80.639,52.591,-190.552,0.197,21.074,52.488,73.596,959.92,956.397,954.035,21.36,21.162,21.105,7.704,7.612,7.571,0.265,0.427,0.5,229.07,237.839,240.924
2017-10-14 10:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,962.031,19.316,7.539,0.128,181.354,11.998,0,565.625,586.62,312.747,26.024,86.849,58.282,-190.291,0.203,21.134,52.639,73.806,959.705,956.149,953.725,22.371,22.169,22.105,7.412,7.297,7.242,0.134,0.212,0.267,181.379,218.769,230.11
2017-10-14 11:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,961.812,20.209,7.256,0.104,161.04,12.46,0,573.885,595.472,315.349,27.074,90.103,62.377,-185.002,0.207,21.189,52.775,73.996,959.446,955.926,953.569,23.283,23.08,23.01,7.123,7.025,6.979,0.109,0.12,0.145,160.9,204.423,226.474
2017-10-14 11:30:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,961.615,20.908,7.21,0.244,148.205,12.905,0,568.438,590.197,317.725,27.809,91.329,63.932,-174.586,0.21,21.237,52.896,74.168,959.241,955.727,953.366,24,23.799,23.725,7.074,7.011,6.984,0.256,0.246,0.222,148.237,150.743,152.929
2017-10-14 12:00:00,11.356667,47.259998,578,519374,646,473,47.2602,11.3517,646.3759,472.9775,53,562.07,0.165,0.98,961.451,21.497,7.235,0.59,142.352,13.33,0,549.5,571.007,319.76,28.175,89.379,63.649,-159.781,0.213,21.28,53.001,74.314,959.092,955.577,953.218,24.6,24.401,24.328,7.094,7.017,6.983,0.616,0.624,0.603,142.038,142.443,142.354
