DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.1,0.97,958.572,16.657,4.946,0.386,357.389,14.928,0,0,0,0,21.207,0,0,0,0,21.259,52.962,74.276,960.925,957.18,954.672,25.455,25.455,25.455,6.962,6.855,6.784,0.238,0.238,0.238,357.822,357.822,357.822
2017-10-13 12:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.165,0.971,957.199,21.537,5.898,1.008,324.611,15.252,0,533.936,525.997,308.142,23.687,24.397,100.744,-178.225,0.201,21.258,52.955,74.258,954.785,951.288,948.94,25.297,25.234,25.212,5.617,5.52,5.48,1.118,1.186,1.181,324.598,323.068,322.21
2017-10-13 13:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.165,0.971,957.007,21.813,6.092,0.113,166.675,15.531,0,487.934,481.405,309.578,24.019,24.87,90.984,-148.991,0.19,21.282,53.014,74.338,954.623,951.127,948.846,25.588,25.512,25.486,5.802,5.658,5.592,0.123,0.41,0.535,166.813,153.782,151.607
2017-10-13 13:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.165,0.971,956.884,21.994,6.11,0.488,308.385,15.776,0,430.8,425.774,310.639,23.757,19.888,81.63,-119.618,0.19,21.297,53.051,74.39,954.582,951.088,948.74,25.836,25.761,25.739,5.819,5.646,5.573,0.543,0.568,0.569,308.48,308.612,310.733
2017-10-13 14:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.165,0.971,956.918,21.895,6.201,0.697,267.292,15.963,0,363.97,360.444,311.174,23.091,13.523,68.31,-89.911,0.183,21.298,53.054,74.397,954.649,951.153,948.807,25.821,25.764,25.751,5.906,5.759,5.708,0.773,0.862,0.896,267.212,277.617,284.021
2017-10-13 14:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.165,0.971,957.06,21.495,7.298,4.057,72.05,16.097,0,287.559,285.52,314.872,21.614,2.385,73.349,-48.425,0.478,21.293,53.043,74.383,954.763,951.263,948.917,25.292,25.228,25.204,6.96,6.932,6.916,4.606,5.351,5.618,72.121,73.283,73.913
2017-10-13 15:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.165,0.971,957.193,20.388,7.728,4.798,74.425,16.127,0,205.382,204.711,315.998,20.139,-5.527,56.236,-16.841,0.544,21.234,52.898,74.185,954.884,951.381,949.032,24.26,24.262,24.263,7.434,7.386,7.366,5.451,6.275,6.608,74.389,74.956,75.181
2017-10-13 15:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.165,0.971,957.685,18.398,8.387,5.856,61.069,16.097,0,122.013,122.429,313.65,18.064,-8.839,35.895,18.272,0.652,21.118,52.61,73.782,955.316,951.81,949.459,22.231,22.244,22.25,8.226,8.192,8.177,6.651,7.53,7.874,61.042,62.99,63.922
2017-10-13 16:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.165,0.971,957.949,17.387,8.367,5.695,60.136,16.011,0,43.865,44.757,311.669,16.482,-22.111,15.877,41.008,0.613,21.061,52.471,73.592,955.573,952.062,949.711,21.404,21.478,21.512,8.273,8.242,8.226,6.473,7.449,7.823,60.123,61.757,62.583
2017-10-13 16:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.082,0.971,958.267,15.856,8.198,3.518,63.263,15.863,0,0,0,311.457,14.404,-16.931,0.12,55.502,0.328,21.021,52.37,73.452,955.931,952.487,950.07,20.875,20.961,20.999,8.193,8.179,8.172,4.015,4.687,4.988,63.21,64.47,65.095
