DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.17,0.985,976.798,16.641,6.819,6.26,288.416,15.612,0,0,0,0,17.935,0,0,0,0,21.003,52.333,73.403,974.906,971.09,968.533,19.372,19.372,19.372,7.026,6.916,6.842,6.249,6.249,6.495,291.849,291.849,291.844
2017-10-13 12:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.175,16.564,7.365,6.216,281.477,15.688,0,483.663,457.51,301.933,17.913,39.247,220.361,-12.191,0.609,20.936,52.16,73.152,973.497,969.92,967.524,18.351,18.292,18.27,7.014,6.903,6.856,7.068,7.927,8.317,285.147,285.766,286.101
2017-10-13 13:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.323,16.552,7.381,6.641,279.878,15.74,0,432.832,405.955,302.855,17.309,22.808,202.422,-8.57,0.635,20.942,52.176,73.176,973.644,970.069,967.67,18.416,18.378,18.363,7.03,6.933,6.892,7.603,8.544,8.972,283.514,283.907,284.121
2017-10-13 13:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.544,16.28,7.384,6.543,278.332,15.767,0,372.36,345.465,301.71,16.595,9.264,173.31,-4.518,0.616,20.932,52.152,73.145,973.757,970.182,967.783,18.215,18.197,18.191,7.033,6.945,6.908,7.532,8.494,8.93,281.976,282.426,282.673
2017-10-13 14:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.587,16.059,7.555,6.17,277.224,15.763,0,303.024,276.981,301.169,15.926,-3.657,136.974,-0.884,0.57,20.929,52.146,73.139,973.8,970.223,967.826,18.089,18.096,18.1,7.195,7.118,7.086,7.16,8.099,8.528,280.867,281.413,281.681
2017-10-13 14:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.601,15.777,7.675,6.244,277.917,15.73,0,226.893,202.767,301.024,15.028,-19.991,102.012,3.814,0.556,20.927,52.142,73.136,973.784,970.207,967.809,17.986,18.016,18.029,7.31,7.254,7.231,7.437,8.383,8.814,281.559,281.823,281.941
2017-10-13 15:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.581,15.397,7.719,6.093,279.287,15.661,0,146.933,126.162,300.635,13.969,-35.705,65.756,9.18,0.518,20.922,52.13,73.122,973.748,970.17,967.769,17.891,17.955,17.982,7.352,7.307,7.288,7.494,8.455,8.893,282.918,283.17,283.262
2017-10-13 15:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.527,14.791,7.59,5.73,280.089,15.547,0,67.981,53.015,300.276,12.676,-47.072,30.239,15.565,0.457,20.907,52.094,73.075,973.717,970.142,967.743,17.697,17.798,17.84,7.345,7.317,7.304,7.322,8.275,8.713,283.716,284.066,284.185
2017-10-13 16:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.48,14.24,7.349,5.541,279.237,15.397,0,4.611,3.369,299.914,11.637,-53.261,5.763,20.352,0.419,20.889,52.053,73.02,973.798,970.22,967.822,17.516,17.638,17.689,7.29,7.278,7.271,7.29,8.242,8.686,282.865,283.264,283.43
2017-10-13 16:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.584,14.192,7.416,5.741,278.345,15.242,0,0,0,300.244,11.647,-54.772,3.861,19.444,0.442,20.883,52.036,72.995,973.898,970.317,967.919,17.377,17.503,17.555,7.381,7.375,7.372,7.481,8.44,8.872,281.987,282.532,282.783
2017-10-13 17:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.619,14.209,7.575,6.044,279.754,15.089,0,0,0,300.389,11.76,-56.638,3.802,17.987,0.476,20.881,52.032,72.99,973.921,970.342,967.941,17.272,17.404,17.46,7.544,7.537,7.534,7.773,8.793,9.245,283.395,283.878,284.102
2017-10-13 17:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.672,13.923,7.675,5.59,281.169,14.935,0,0,0,300.555,11.41,-52.402,2.569,19.024,0.427,20.872,52.01,72.959,974.009,970.43,968.028,17.107,17.239,17.295,7.65,7.638,7.632,7.315,8.284,8.723,284.808,285.351,285.609
2017-10-13 18:00:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.812,13.917,7.633,5.83,281.895,14.791,0,0,0,300.4,11.462,-54.278,2.933,17.95,0.454,20.864,51.991,72.933,974.117,970.537,968.139,17.003,17.134,17.189,7.607,7.601,7.597,7.549,8.526,8.96,285.51,286.122,286.41
2017-10-13 18:30:00,16.001667,48.088612,389,631815,989,575,48.0864,16.0059,988.6846,575.246,2,426.26,0.183,0.97,976.548,13.82,7.557,6.087,280.728,14.659,0,0,0,299.648,11.437,-55.859,3.297,17.36,0.483,20.847,51.948,72.873,973.895,970.316,967.917,16.834,16.971,17.03,7.531,7.516,7.508,7.797,8.837,9.295,284.371,284.879,285.133
