DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.13,0.97,965.572,15.982,7.204,5.219,277.473,15.28,0,0,0,0,17.53,0,0,0,0,20.943,52.164,73.126,963.453,959.699,957.329,19.364,19.244,18.54,7.306,7.199,7.156,5.822,6.161,6.353,278.716,278.444,278.396
2017-10-13 12:30:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.486,15.484,7.609,4.975,273.181,15.394,0,490.59,469.589,296.096,17.903,77.411,173.447,-17.493,0.68,20.851,51.936,72.83,962.954,959.418,956.985,18.038,17.949,17.914,7.247,7.173,7.139,5.815,6.71,7.143,276.505,277.224,277.532
2017-10-13 13:00:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.524,15.399,7.729,5.373,278.395,15.467,0,440.277,409.859,296.558,17.183,59.034,154.014,-11.929,0.708,20.852,51.94,72.837,963.088,959.551,957.181,18.007,17.934,17.905,7.376,7.31,7.28,6.32,7.25,7.683,281.674,281.851,281.879
2017-10-13 13:30:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.591,15.303,7.753,4.839,272.59,15.502,0,379.83,341.338,295.86,16.548,37.3,128.517,-7.25,0.633,20.854,51.945,72.846,963.104,959.567,957.195,17.991,17.941,17.922,7.414,7.351,7.322,5.704,6.576,6.984,275.906,276.664,276.972
2017-10-13 14:00:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.551,15.286,7.701,4.824,271.137,15.501,0,310.472,265.809,295.735,15.67,11.008,105.184,-1.17,0.604,20.862,51.967,72.88,963.046,959.511,957.138,18.12,18.104,18.098,7.365,7.313,7.29,5.754,6.622,7.04,274.445,275.476,275.901
2017-10-13 14:30:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.634,15.171,7.805,4.271,270.981,15.461,0,233.517,185.542,297.038,14.79,-9.226,73.138,4.637,0.503,20.871,51.991,72.915,963.085,959.551,957.178,18.185,18.198,18.204,7.454,7.41,7.389,5.272,6.058,6.45,274.322,275.427,275.898
2017-10-13 15:00:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.68,14.643,7.986,3.497,264.756,15.372,0,152.818,105.665,297.28,13.504,-19.831,35.3,12.898,0.353,20.867,51.981,72.903,963.088,959.554,957.179,18.041,18.078,18.095,7.618,7.589,7.574,4.702,5.352,5.68,268.059,269.839,270.631
2017-10-13 15:30:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.613,13.578,7.81,3.395,262.247,15.203,0,73.027,34.115,296.944,11.476,-27.392,8.817,25.695,0.265,20.854,51.951,72.864,963.07,959.534,957.164,17.875,17.949,17.981,7.623,7.608,7.6,5.054,5.653,5.959,265.566,267.415,268.257
2017-10-13 16:00:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.422,13.053,7.755,3.747,262.006,14.965,0,7.157,4.662,295.865,10.58,-35.659,1.661,30.194,0.295,20.831,51.896,72.793,963.076,959.539,957.169,17.568,17.699,17.756,7.724,7.717,7.712,5.559,6.176,6.476,265.311,267.06,267.86
2017-10-13 16:30:00,15.5875,48.028057,696,622993,959,567,48.0305,15.5934,958.5599,566.7284,15,524.69,0.204,0.953,965.593,12.452,7.741,3.488,258.982,14.713,0,0,0,294.931,9.898,-29.434,-2.806,33.119,0.236,20.818,51.864,72.75,963.119,959.615,957.242,17.295,17.457,17.543,7.818,7.815,7.811,5.347,6.051,6.411,262.285,265.285,266.682
