DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.1,0.97,993.927,17.749,7.534,3.71,278.367,15.686,0,0,0,0,18.423,0,0,0,0,21.125,52.633,73.826,991.94,988.028,985.439,18.931,18.931,18.827,7.719,7.598,7.528,3.719,3.719,3.896,280.339,280.339,280.597
2017-10-13 12:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.161,0.98,992.363,17.696,7.93,4.239,274.082,15.859,0,488.615,469.353,310.569,20.266,63.619,79.848,-130.711,0.534,21.061,52.468,73.589,989.924,986.285,983.844,18.11,18.012,17.973,7.729,7.659,7.626,4.768,5.293,5.513,276.341,276.684,276.9
2017-10-13 13:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.161,0.98,992.331,17.937,7.929,4.337,274.86,15.997,0,440.924,419.77,311.665,20.283,58.616,73.923,-101.237,0.544,21.08,52.516,73.656,989.89,986.252,983.81,18.37,18.282,18.248,7.738,7.668,7.635,4.881,5.461,5.711,277.125,276.961,276.912
2017-10-13 13:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.161,0.98,992.333,17.937,7.851,4.005,284.536,16.092,0,382.769,360.369,311.802,20.002,48.356,64.243,-74.023,0.507,21.08,52.519,73.662,989.872,986.232,983.792,18.409,18.339,18.313,7.674,7.622,7.599,4.504,5.029,5.255,286.776,286.209,285.897
2017-10-13 14:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.161,0.98,992.281,17.914,7.736,4.058,278.597,16.147,0,315.922,293.043,310.632,19.402,34.257,54.322,-45.773,0.504,21.08,52.518,73.662,989.864,986.225,983.785,18.447,18.395,18.376,7.567,7.49,7.453,4.569,5.133,5.373,280.847,280.854,280.885
2017-10-13 14:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.161,0.98,992.324,17.773,7.861,3.549,280.097,16.159,0,241.555,219.232,310.711,18.702,18.813,39.756,-20.294,0.441,21.081,52.522,73.671,989.838,986.199,983.757,18.383,18.355,18.346,7.712,7.657,7.631,3.994,4.503,4.725,282.364,282.422,282.467
2017-10-13 15:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.161,0.98,992.397,17.58,7.915,3.45,277.802,16.129,0,162.788,142.405,310.549,17.736,2.869,25.886,6.145,0.411,21.08,52.52,73.67,989.858,986.218,983.777,18.311,18.318,18.323,7.775,7.733,7.713,3.89,4.406,4.62,280.069,280.581,280.826
2017-10-13 15:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.161,0.98,992.321,16.863,7.899,3.107,282.016,16.038,0,84.023,67.804,309.088,16.291,-7.469,9.311,32.804,0.333,21.061,52.475,73.611,989.87,986.229,983.787,18.075,18.129,18.154,7.74,7.712,7.699,3.517,4.044,4.254,284.299,284.934,285.222
2017-10-13 16:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.161,0.98,992.396,15.416,7.387,3.175,276.46,15.837,0,15.169,8.254,306.036,14.261,-13.962,0.755,57.92,0.3,21.009,52.354,73.458,989.955,986.316,983.875,17.522,17.803,17.941,7.348,7.283,7.247,3.63,4.589,5.006,278.757,280.982,281.787
2017-10-13 16:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.071,0.98,992.464,14.399,7.46,2.943,293.153,15.557,0,0,0,303.11,13.286,-13.49,-1.035,60.338,0.266,20.964,52.247,73.324,989.987,986.348,983.904,16.774,17.227,17.444,7.535,7.549,7.539,3.382,4.228,4.467,295.438,300.272,300.597
2017-10-13 17:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.071,0.98,992.496,14.182,7.211,2.96,299.901,15.284,0,0,0,300.933,12.927,-15.239,-1.004,57.391,0.254,20.95,52.215,73.287,990.057,986.417,983.975,16.674,17.222,17.575,7.29,7.263,7.243,3.423,4.806,5.324,302.171,305.444,303.128
2017-10-13 17:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.071,0.98,992.514,13.717,7.01,2.561,299.901,14.998,0,0,0,300.684,12.584,-13.775,-1.389,55.423,0.207,20.936,52.181,73.242,990.147,986.507,984.065,16.544,17.099,17.523,7.181,7.158,7.134,3.01,4.336,5.064,302.159,305.673,305.027
2017-10-13 18:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.071,0.98,992.809,13.875,7.089,3.289,281.351,14.719,0,0,0,299.222,12.23,-20.035,-0.699,50.45,0.285,20.909,52.116,73.151,990.269,986.628,984.185,16.116,16.737,17.017,7.13,7.136,7.132,3.809,4.834,5.155,283.607,287.278,289.497
2017-10-13 18:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.071,0.98,992.709,13.934,7.129,3.712,286.314,14.478,0,0,0,297.204,11.852,-25.39,-0.1,46.817,0.34,20.888,52.072,73.098,990.106,986.467,984.025,15.817,16.656,16.857,7.132,7.12,7.099,4.278,5.466,5.513,288.58,291.919,292.911
2017-10-13 19:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.071,0.98,992.614,13.472,7.012,3.538,286.368,14.236,0,0,0,296.312,11.537,-23.621,-0.648,46.819,0.317,20.856,51.994,72.988,990.192,986.554,984.048,15.479,16.36,16.518,7.04,6.959,6.927,4.084,5.744,5.92,288.654,292.919,295.144
2017-10-13 19:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.071,0.98,992.668,12.291,6.765,2.813,276.968,13.974,0,0,0,294.015,11.036,-15.336,-1.714,52.251,0.231,20.797,51.844,72.782,990.35,986.71,984.269,14.726,15.512,15.953,6.924,6.869,6.828,3.274,4.994,5.534,279.209,287.775,292.193
2017-10-13 20:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.071,0.98,993.005,12.384,6.678,2.846,262.675,13.702,0,0,0,294.91,10.978,-17.197,-1.632,48.545,0.23,20.81,51.864,72.792,990.518,986.879,984.437,14.882,15.367,15.706,6.833,6.822,6.81,3.334,4.826,5.167,264.931,278.426,283.712
2017-10-13 20:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.071,0.98,993.23,12.301,6.687,3.084,265.238,13.45,0,0,0,294.634,10.758,-18.888,-1.533,46.423,0.255,20.788,51.806,72.697,990.702,987.061,984.619,14.575,14.916,15.117,6.801,6.801,6.802,3.589,4.672,4.984,267.516,278.28,283.081
2017-10-13 21:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.071,0.98,993.483,11.466,6.524,2.248,258.348,13.198,0,0,0,294.457,10.425,-12.767,-1.896,49.372,0.159,20.769,51.754,72.615,990.894,987.253,984.809,14.26,14.489,14.614,6.851,6.857,6.86,2.721,3.463,3.839,260.601,271.385,275.702
