DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.1,0.97,944.685,15.445,6.68,4.753,281.742,13.211,0,0,0,0,15.537,0,0,0,0,20.727,51.612,72.354,942.327,938.876,936.561,18.691,18.38,18.37,6.621,6.588,6.58,6.446,6.924,7.126,284.662,284.851,285.088
2017-10-13 12:30:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.172,0.98,944.392,14.241,7.482,5.025,283.816,13.349,0,495.91,488.322,286.481,17.28,80.324,132.282,-66.359,0.582,20.738,51.646,72.41,942.1,938.649,936.334,18.616,18.493,18.443,7.176,7.099,7.064,5.626,6.382,6.735,286.102,285.923,285.846
2017-10-13 13:00:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.172,0.98,944.583,14.192,7.554,5.123,285.772,13.459,0,331.47,331.352,333.355,16.401,57.824,103.479,-40.57,0.582,20.744,51.661,72.434,942.246,938.794,936.48,18.628,18.533,18.495,7.285,7.212,7.178,5.738,6.469,6.799,288.1,287.71,287.513
2017-10-13 13:30:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.172,0.98,944.697,14.144,7.53,4.753,285.676,13.535,0,388.012,375.784,288.047,16.376,55.466,100.8,-37.67,0.547,20.742,51.656,72.427,942.307,938.852,936.534,18.582,18.491,18.456,7.263,7.195,7.165,5.316,6.013,6.327,287.992,287.508,287.301
2017-10-13 14:00:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.172,0.98,944.665,14.029,7.5,4.575,283.021,13.59,0,320.229,306.404,287.305,15.614,37.381,81.382,-22.65,0.52,20.739,51.651,72.422,942.281,938.762,936.509,18.543,18.475,18.449,7.255,7.192,7.163,5.117,5.797,6.098,285.329,284.871,284.7
2017-10-13 14:30:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.172,0.98,944.606,13.858,7.593,4.448,283.281,13.601,0,245.011,230.344,286.827,14.686,18.413,58.729,-7.704,0.492,20.737,51.648,72.421,942.267,938.812,936.497,18.472,18.438,18.426,7.379,7.327,7.304,4.98,5.655,5.956,285.603,285.201,285.02
2017-10-13 15:00:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.172,0.98,944.642,13.589,7.62,4.749,281.478,13.564,0,165.026,150.633,286.34,13.505,-1.822,36.654,8.001,0.493,20.733,51.637,72.41,942.259,938.804,936.487,18.372,18.382,18.387,7.436,7.399,7.382,5.33,6.058,6.378,283.798,283.418,283.259
2017-10-13 15:30:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.172,0.98,944.678,12.962,7.707,4.414,286.023,13.476,0,84.517,72.351,286.613,12.031,-16.149,11.891,23.51,0.408,20.718,51.604,72.366,942.312,938.859,936.539,18.105,18.169,18.197,7.586,7.555,7.54,4.966,5.676,5.985,288.338,287.389,287.007
2017-10-13 16:00:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.172,0.98,944.755,11.683,7.418,4.554,287.667,13.308,0,14.633,9.171,284.43,9.794,-26.358,-3.099,40.069,0.359,20.682,51.518,72.255,942.381,938.929,936.612,17.637,17.795,17.866,7.478,7.476,7.473,5.14,5.828,6.166,289.98,288.993,288.48
2017-10-13 16:30:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.133,0.98,944.85,10.968,7.113,4.445,288.072,13.079,0,0,0,283.118,8.881,-25.683,-5.977,41.901,0.331,20.64,51.416,72.121,942.464,939.008,936.691,17.121,17.41,17.562,7.26,7.23,7.21,5.026,5.925,6.396,290.395,289.334,288.923
2017-10-13 17:00:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.133,0.98,944.938,9.244,6.634,3.759,286.827,12.828,0,0,0,281.387,7.781,-17.228,-7.322,44.941,0.243,20.597,51.321,72.015,942.529,939.077,936.759,16.539,17.146,17.487,7.146,7.215,7.252,4.256,5.582,6.264,289.153,286.542,285.806
2017-10-13 17:30:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.133,0.98,944.944,7.933,6.199,3.068,290.721,12.545,0,0,0,279.214,6.886,-12.376,-6.799,47.521,0.18,20.568,51.248,71.913,942.64,939.183,936.867,16.134,16.701,17.069,7.155,7.224,7.264,3.494,4.456,5.08,293.058,288.359,286.519
2017-10-13 18:00:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.133,0.98,945.16,7.71,6.116,3.082,292.483,12.246,0,0,0,277.976,6.611,-12.997,-7.051,46.215,0.178,20.558,51.226,71.887,942.721,939.266,936.948,15.95,16.633,17.002,7.118,7.156,7.155,3.523,4.589,5.19,294.797,291.722,291.281
2017-10-13 18:30:00,14.345555,48.459167,689,670156,865,610,48.4616,14.3446,865.0706,609.7294,51,709.16,0.133,0.98,944.968,7.961,6.123,3.41,286.224,11.961,0,0,0,277.797,6.593,-16.176,-7.198,42.996,0.203,20.548,51.197,71.839,942.504,939.083,936.766,15.927,16.505,16.849,6.902,6.945,6.958,3.897,4.932,5.516,288.548,289.169,290.067
