DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.17,0.985,922.534,16.29,4.474,0.714,276.767,13.402,0,0,0,0,19.394,0,0,0,0,21.012,52.333,73.376,923.089,919.541,917.164,26.006,26.006,26.006,5.72,5.632,5.573,0.642,0.642,0.642,267.525,267.525,267.525
2017-10-13 12:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,919.929,19.034,4.416,1.959,207.114,13.673,0,543.707,427.944,287.102,19.737,8.445,174.164,-38.088,0.228,20.981,52.253,73.257,917.69,914.339,912.099,26.007,26.04,26.063,4.207,3.967,3.88,2.144,2.436,2.56,207.538,203.181,201.137
2017-10-13 13:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,919.721,19.316,5.143,1.078,307.06,13.932,0,496.876,394.581,290.099,20.296,9.341,144.277,-39.961,0.161,21.021,52.348,73.384,917.596,914.307,912.002,26.291,26.279,26.287,4.9,4.565,4.44,1.149,1.117,1.058,306.894,299.916,295.957
2017-10-13 13:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,919.848,19.495,5.644,0.539,346.552,14.191,0,435.164,354.554,291.328,20.339,6.538,117.043,-38.597,0.116,21.052,52.427,73.499,917.64,914.287,912.047,26.486,26.497,26.514,5.376,5.1,4.978,0.581,0.354,0.219,346.793,336.139,317.317
2017-10-13 14:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.051,18.406,7.347,3.031,57.57,14.377,0,368.165,297.93,295.195,18.129,-3.812,112.399,-23.546,0.283,21.033,52.381,73.436,917.817,914.461,912.208,25.486,25.48,25.475,6.998,6.846,6.783,3.449,4.012,4.218,57.883,61.735,63.209
2017-10-13 14:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,919.917,17.599,8.028,3.788,64.878,14.479,0,291.133,238.241,295.868,16.918,-10.438,86.169,-15.307,0.323,21.006,52.319,73.359,917.717,914.36,912.108,24.835,24.95,25.011,7.645,7.521,7.439,4.556,5.288,5.597,64.932,66.507,67.883
2017-10-13 15:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.074,16.394,7.892,5.007,66.206,14.496,0,208.874,173.378,295.245,15.058,-25.07,69.419,-3.53,0.405,20.937,52.149,73.122,917.745,914.451,912.135,23.89,24.012,24.06,7.519,7.438,7.405,6.229,6.836,7.106,66.318,67.538,68.437
2017-10-13 15:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.221,15.316,7.791,3.858,75.81,14.43,0,124.205,105.354,294.151,13.416,-23.385,30.23,6.359,0.261,20.901,52.065,73.019,917.91,914.55,912.305,23.435,23.783,23.977,7.418,7.231,7.112,5.276,6.02,6.492,75.895,77.853,79.085
2017-10-13 16:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.335,13.768,6.735,3.335,67.745,14.264,0,44.275,39.322,296.997,10.371,-12.965,3.612,24.42,0.096,20.937,52.156,73.147,917.995,914.642,912.387,24.414,24.791,24.969,6.414,6.237,6.162,4.548,4.639,4.79,67.812,69.257,70.648
2017-10-13 16:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.611,11.771,6.737,3.512,66.514,13.961,0,0,0,294.955,8.047,-14.356,-4.427,37.102,0.098,20.846,51.934,72.852,918.227,914.866,912.617,22.706,23.255,23.66,7.247,7.011,6.84,4.747,4.723,4.7,66.666,66.628,67.402
