DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.803,16.604,7.477,1.454,327.967,15.8,0,0,0,0,18.645,0,0,0,0,21.034,52.402,73.5,978.981,975.122,972.535,19.027,19.027,19.027,7.718,7.597,7.516,1.452,1.452,1.452,325.449,325.449,325.449
2017-10-13 12:30:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,981.237,17.157,8.013,2.685,324.499,16.334,0,523.231,522.495,311.031,23.48,135.611,127.347,-66.34,0.401,20.993,52.292,73.327,978.776,975.179,972.768,18.282,18.067,18.013,7.796,7.683,7.636,2.967,3.089,3.109,323.103,323.873,324.377
2017-10-13 13:00:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,981.151,17.016,8.274,2.219,317.144,16.767,0,481.503,480.801,311.78,23.246,122.245,113.055,-60.121,0.354,20.993,52.292,73.328,978.669,975.076,972.661,18.18,17.978,17.945,8.071,7.932,7.87,2.436,2.546,2.56,315.69,316.781,317.563
2017-10-13 13:30:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,981.198,17.045,8.378,1.986,281.504,17.152,0,427.88,427.227,314.201,22.7,103.132,99.871,-51.471,0.322,21,52.31,73.358,978.712,975.118,972.702,18.238,18.105,18.133,8.183,8.02,7.95,2.18,2.131,2.042,280.025,282.304,284.22
2017-10-13 14:00:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.836,17.432,8.161,1.638,274.252,17.452,0,364.753,364.162,316.598,22.088,75.193,87.368,-42.999,0.275,21.022,52.37,73.454,978.398,974.804,972.395,18.711,18.717,18.798,7.963,7.778,7.748,1.794,1.542,1.339,272.918,270.715,271.495
2017-10-13 14:30:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.632,17.738,8.377,1.575,276.919,17.67,0,293.881,293.366,317.761,21.059,49.185,70.455,-31.436,0.253,21.056,52.457,73.578,978.205,974.612,972.198,19.101,19.148,19.216,8.185,8.007,7.969,1.729,1.381,1.168,275.499,275.654,278.828
2017-10-13 15:00:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.579,17.793,8.311,1.905,283.823,17.77,0,216.996,216.57,317.646,19.438,23.401,54.544,-15.471,0.255,21.066,52.483,73.62,978.138,974.544,972.133,19.256,19.37,19.462,8.118,7.961,7.965,2.125,1.765,1.563,282.429,284.246,289.747
2017-10-13 15:30:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.645,17.589,8.432,2.129,281.988,17.74,0,136.61,136.288,317.387,17.656,0.831,33.453,0.779,0.232,21.065,52.482,73.619,978.197,974.6,972.13,19.207,19.501,19.592,8.191,7.637,7.726,2.453,2.173,1.924,280.571,271.674,273.958
2017-10-13 16:00:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.688,16.413,8.61,1.86,289.776,17.587,0,58.409,58.217,317.948,15.275,-2.966,3.824,21.439,0.058,21.07,52.494,73.639,978.253,974.662,972.252,19.287,19.628,19.744,8.2,7.546,7.688,2.6,2.37,2.04,288.404,277.852,282.758
2017-10-13 16:30:00,9.63,47.497223,395,550018,518,501,47.4991,9.636,517.5479,500.7913,17,393.16,0.14,0.95,980.802,14.971,8.284,1.678,294.273,17.222,0,0.577,0.575,318.813,11.918,-2.493,0.039,49.214,0.029,21.072,52.499,73.645,978.362,974.769,972.358,19.277,19.587,19.801,8.267,7.664,7.66,2.055,2.006,1.635,292.9,278.867,283.032
