DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,13.054167,47.791111,419,585440,772,533,47.7909,13.0498,772.3272,533.0235,51,437.9,0.1,0.97,976.116,18.185,7.863,2.215,0.759,14.998,0,0,0,0,19.358,0,0,0,0,21.203,52.83,74.099,974.969,971.105,968.515,21.662,21.662,21.662,8.384,8.254,8.167,2.213,2.213,2.213,1.973,1.973,1.973
2017-10-13 12:30:00,13.054167,47.791111,419,585440,772,533,47.7909,13.0498,772.3272,533.0235,51,437.9,0.167,0.98,976.009,18.191,8.117,3.47,357.363,15.205,0,506.464,512.328,311.645,20.727,53.782,136.147,-115.978,0.444,21.08,52.518,73.653,973.503,969.925,967.527,20.007,19.909,19.872,7.754,7.673,7.64,3.892,4.194,4.292,358.65,357.055,356.112
2017-10-13 13:00:00,13.054167,47.791111,419,585440,772,533,47.7909,13.0498,772.3272,533.0235,51,437.9,0.167,0.98,975.726,18.245,7.936,3.299,355.705,15.356,0,460.634,465.182,310.585,20.596,48.032,125.479,-92.918,0.428,21.078,52.514,73.647,973.346,969.773,967.376,20.1,19.995,19.954,7.591,7.508,7.474,3.692,4.074,4.228,356.982,355.534,354.732
2017-10-13 13:30:00,13.054167,47.791111,419,585440,772,533,47.7909,13.0498,772.3272,533.0235,51,437.9,0.167,0.98,975.803,18.3,7.752,2.563,340.432,15.481,0,403.403,406.592,309.958,20.436,37.414,107.644,-73.779,0.356,21.082,52.521,73.658,973.399,969.825,967.428,20.196,20.101,20.062,7.433,7.354,7.323,2.856,3.193,3.333,341.701,341.133,340.822
2017-10-13 14:00:00,13.054167,47.791111,419,585440,772,533,47.7909,13.0498,772.3272,533.0235,51,437.9,0.167,0.98,975.813,18.266,7.738,2.338,327.744,15.578,0,336.268,338.107,310.28,19.869,25.8,88.952,-52.203,0.326,21.085,52.531,73.673,973.302,969.728,967.329,20.221,20.147,20.117,7.438,7.362,7.33,2.609,2.922,3.058,328.996,327.779,327.176
2017-10-13 14:30:00,13.054167,47.791111,419,585440,772,533,47.7909,13.0498,772.3272,533.0235,51,437.9,0.167,0.98,975.716,18.096,7.71,2.286,322.368,15.629,0,261.608,262.179,309.997,18.967,12.944,68.564,-29.256,0.307,21.076,52.509,73.645,973.262,969.688,967.29,20.12,20.071,20.05,7.424,7.366,7.341,2.552,2.859,2.992,323.671,322.566,322.014
2017-10-13 15:00:00,13.054167,47.791111,419,585440,772,533,47.7909,13.0498,772.3272,533.0235,51,437.9,0.167,0.98,975.757,17.781,7.776,2.317,329.415,15.636,0,181.801,181.282,309.482,17.828,0.608,44.932,-6.218,0.285,21.068,52.493,73.624,973.309,969.733,967.337,20.002,19.986,19.978,7.446,7.398,7.378,2.592,2.907,3.044,330.73,329.267,328.489
2017-10-13 15:30:00,13.054167,47.791111,419,585440,772,533,47.7909,13.0498,772.3272,533.0235,51,437.9,0.167,0.98,975.824,16.328,7.755,2.296,334.145,15.592,0,100.634,99.392,309.19,16.225,-1.211,11.933,16.754,0.21,21.053,52.455,73.574,973.355,969.783,967.383,19.816,19.823,19.826,7.386,7.344,7.324,2.579,2.865,2.976,335.458,334.399,333.803
2017-10-13 16:00:00,13.054167,47.791111,419,585440,772,533,47.7909,13.0498,772.3272,533.0235,51,437.9,0.167,0.98,975.949,13.753,7.449,1.735,342.116,15.438,0,26.742,25.635,308.66,13.379,-4.458,-0.205,45.228,0.12,21.037,52.419,73.529,973.485,969.909,967.572,19.519,19.608,19.624,7.518,7.509,7.5,1.972,2.3,2.409,343.414,343.471,343.312
2017-10-13 16:30:00,13.054167,47.791111,419,585440,772,533,47.7909,13.0498,772.3272,533.0235,51,437.9,0.105,0.98,976.123,12.028,6.419,0.777,352.195,15.153,0,0,0,307.48,11.771,-3.081,-0.975,56.9,0.046,21.02,52.381,73.484,973.652,970.075,967.676,19.246,19.517,19.553,7.555,7.468,7.401,1.022,1.282,1.412,353.509,354.997,351.582
