DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.1,0.97,1004.57,19.903,6.261,6.288,308.189,17.488,0,0,0,0,19.572,0,0,0,0,21.128,52.619,73.776,1002.085,998.406,995.934,18.547,17.943,17.927,6.169,6.086,6.065,7.33,8.248,8.551,312.359,312.133,312.044
2017-10-13 12:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.162,0.98,1004.648,18.864,6.035,7.134,310.48,17.554,0,477.736,470.023,308.793,21.876,94.794,23.117,-148.224,0.614,21.097,52.561,73.724,1002.07,998.388,995.919,18.186,18.075,18.031,5.982,5.965,5.955,7.602,8.179,8.437,314.564,314.149,313.929
2017-10-13 13:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.162,0.98,1004.405,19.069,5.989,7.21,313.429,17.598,0,426.51,418.689,309.411,21.973,91.843,21.551,-109.992,0.62,21.105,52.579,73.751,1002.125,998.447,995.975,18.397,18.281,18.237,5.941,5.929,5.923,7.682,8.28,8.541,317.543,317.184,316.982
2017-10-13 13:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.162,0.98,1004.437,19.114,6.414,7.018,314.41,17.62,0,364.244,356.553,312.01,21.731,80.607,18.565,-76.991,0.602,21.126,52.632,73.824,1002.07,998.39,995.985,18.48,18.372,18.332,6.37,6.355,6.346,7.481,8.082,8.341,318.499,318.017,317.75
2017-10-13 14:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.162,0.98,1004.385,19.128,6.583,6.514,315.401,17.627,0,294.133,286.806,313.338,21.261,61.326,15.348,-46.809,0.558,21.137,52.66,73.864,1002.039,998.359,995.888,18.567,18.475,18.443,6.543,6.526,6.516,6.946,7.53,7.779,319.495,319.047,318.79
2017-10-13 14:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.162,0.98,1004.338,19.056,6.708,5.857,316.352,17.609,0,217.924,211.255,314.04,20.539,38.497,11.7,-17.161,0.5,21.142,52.673,73.886,1002.008,998.327,995.856,18.593,18.53,18.509,6.672,6.654,6.645,6.248,6.815,7.056,320.442,319.768,319.393
2017-10-13 15:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.162,0.98,1004.709,19.027,6.707,5.048,306.494,17.559,0,138.333,132.728,315.226,19.649,13.782,7.834,10.967,0.423,21.156,52.711,73.941,1002.071,998.388,995.916,18.7,18.678,18.673,6.675,6.658,6.649,5.393,5.894,6.117,310.502,309.483,308.879
2017-10-13 15:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.162,0.98,1004.93,18.388,7.148,5.25,280.888,17.477,0,60.744,56.897,316.294,18.239,-3.165,3.771,42.406,0.42,21.14,52.672,73.891,1002.131,998.445,995.973,18.232,18.25,18.261,7.126,7.115,7.109,5.635,6.261,6.511,284.991,285.923,286.342
2017-10-13 16:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.162,0.98,1004.898,17.569,7.223,4.854,281.333,17.349,0,1.834,1.625,315.06,16.688,-15.671,0.449,64.341,0.368,21.106,52.59,73.782,1002.201,998.515,996.043,17.736,17.848,17.905,7.219,7.207,7.199,5.253,5.932,6.245,285.428,287.113,287.729
2017-10-13 16:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1004.7,17.189,7.201,4.211,285.074,17.189,0,0,0,313.354,16.042,-16.462,0.223,61.192,0.301,21.069,52.505,73.674,1002.288,998.603,996.13,17.308,17.57,17.678,7.197,7.192,7.189,4.589,5.561,5.931,289.172,292.545,293.769
2017-10-13 17:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1004.734,16.537,7.264,3.839,277.863,17.003,0,0,0,311.24,15.402,-14.423,0.141,60.698,0.264,21.016,52.377,73.504,1002.354,998.668,996.195,16.547,16.92,17.1,7.261,7.258,7.257,4.196,5.188,5.661,281.956,288.042,290.319
2017-10-13 17:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1004.901,16.029,7.304,3.584,273.693,16.805,0,0,0,310.639,14.963,-13.004,0.09,59.08,0.235,20.982,52.305,73.428,1002.416,998.731,996.258,16.025,16.794,17.041,7.302,7.293,7.294,3.935,5.329,5.802,277.776,286.655,289.167
2017-10-13 18:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1004.919,15.796,7.459,3.371,276.558,16.597,0,0,0,310.002,14.656,-13.939,0.025,55.938,0.213,20.975,52.284,73.39,1002.466,998.779,996.305,15.859,16.496,16.743,7.458,7.449,7.441,3.738,5.24,5.815,280.631,285.249,286.852
2017-10-13 18:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1004.807,15.743,7.409,4.012,280.449,16.419,0,0,0,309.492,14.336,-17.995,0.082,51.343,0.263,20.968,52.264,73.357,1002.264,998.579,996.106,15.78,16.333,16.577,7.408,7.401,7.398,4.409,5.777,6.333,284.555,288.333,289.797
2017-10-13 19:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1004.883,16.287,7.388,4.402,293.006,16.291,0,0,0,311.342,14.539,-24.033,0.128,44.298,0.29,21.017,52.371,73.482,1002.359,998.673,996.198,16.46,16.661,16.753,7.386,7.377,7.372,4.846,5.639,5.985,297.081,300.474,301.871
2017-10-13 19:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1004.958,15.718,7.302,4.273,283.541,16.146,0,0,0,309.189,14.091,-21.968,0.101,46.572,0.284,20.968,52.264,73.357,1002.544,998.858,996.385,15.823,16.418,16.566,7.3,7.269,7.254,4.695,6.152,6.435,287.615,293.044,295.081
2017-10-13 20:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1005.164,15.294,7.25,4.508,292.385,15.96,0,0,0,307.219,13.604,-24.354,0.104,44.261,0.306,20.942,52.199,73.264,1002.809,999.121,996.648,15.481,16.039,16.199,7.249,7.225,7.213,4.941,6.603,7.047,296.448,299.265,300.233
2017-10-13 20:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1005.42,14.993,7.131,5.184,301.277,15.801,0,0,0,307.957,13.199,-30.662,0.174,37.389,0.369,20.941,52.183,73.221,1003.058,999.37,996.895,15.494,15.711,15.812,7.128,7.126,7.124,5.647,6.508,6.891,305.378,306.511,307.097
2017-10-13 21:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1005.809,14.811,7.165,3.883,309.768,15.628,0,0,0,305.596,13.293,-18.654,0.038,47.942,0.246,20.893,52.073,73.087,1003.306,999.616,997.141,14.732,15.227,15.446,7.164,7.172,7.174,4.287,5.578,6.121,313.841,312.461,312.22
2017-10-13 21:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1005.822,14.548,7.253,4.175,309.441,15.445,0,0,0,304.571,12.943,-21.077,0.036,45.306,0.272,20.879,52.048,73.06,1003.462,999.773,997.296,14.526,15.249,15.411,7.252,7.213,7.188,4.589,6.21,6.627,313.504,313,312.603
2017-10-13 22:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1006.114,14.134,7.11,3.539,297.564,15.25,0,0,0,301.306,12.711,-17.52,-0.217,49.097,0.216,20.849,51.97,72.95,1003.596,999.904,997.427,14.099,14.726,14.926,7.118,7.139,7.153,3.941,5.548,6.074,301.65,304.659,305.67
2017-10-13 22:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1006.044,13.908,7.06,3.817,295.88,15.053,0,0,0,299.627,12.362,-19.066,-0.108,47.901,0.24,20.826,51.918,72.886,1003.654,999.963,997.486,13.818,14.619,14.809,7.063,7.078,7.087,4.22,5.803,6.247,299.961,304.857,306.371
2017-10-13 23:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1006.204,13.786,7.052,4.104,294.955,14.855,0,0,0,298.509,12.119,-21.186,-0.023,45.871,0.262,20.82,51.902,72.863,1003.753,1000.06,997.585,13.701,14.484,14.651,7.053,7.067,7.072,4.518,6.12,6.464,299.061,303.175,305.07
2017-10-13 23:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1006.445,13.765,7.008,4.157,302.612,14.678,0,0,0,297.605,11.99,-22.587,-0.055,44.308,0.264,20.822,51.905,72.865,1003.852,1000.161,997.683,13.683,14.431,14.622,7.009,7.012,7.013,4.581,6.352,6.791,306.704,307.164,307.956
2017-10-14 00:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1006.463,13.651,7.006,4.486,297.141,14.502,0,0,0,297.361,11.819,-25.59,0.016,41.1,0.29,20.821,51.895,72.834,1004,1000.309,997.832,13.705,14.18,14.342,7.006,7.018,7.021,4.929,6.396,6.858,301.232,303.8,304.933
2017-10-14 00:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1006.28,13.254,7.023,4.722,297.383,14.338,0,0,0,296.71,11.381,-28.09,0.018,38.828,0.317,20.803,51.853,72.781,1003.773,1000.082,997.603,13.455,14.025,14.188,7.023,7.027,7.027,5.162,6.828,7.229,301.47,303.392,304.268
2017-10-14 01:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1006.259,13.218,6.976,4.678,293.147,14.174,0,0,0,296.536,11.324,-27.916,0.013,38.383,0.311,20.795,51.834,72.754,1003.848,1000.157,997.68,13.387,13.981,14.14,6.976,6.98,6.981,5.122,6.764,7.163,297.251,300.769,301.964
2017-10-14 01:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.018,0.98,1006.341,12.936,6.929,5.251,297.371,14.02,0,0,0,296.245,10.922,-34.196,0.068,32.797,0.367,20.798,51.832,72.738,1003.893,1000.202,997.724,13.433,13.771,13.927,6.928,6.93,6.931,5.718,6.894,7.373,301.455,303.342,304.168
