DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.17,0.985,992.52,18.24,6.904,5.783,247.19,16.418,0,0,0,0,18.842,0,0,0,0,21.134,52.659,73.865,990.515,986.635,984.054,19.554,19.554,19.496,7.078,6.968,6.894,5.775,5.775,5.907,250.56,250.56,251.055
2017-10-13 12:30:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.188,18.023,7.487,7.204,255.64,16.683,0,482.923,474.998,309.055,19.952,61.734,179.44,-35.468,0.67,21.055,52.457,73.571,989.546,985.911,983.473,18.352,18.265,18.232,7.13,6.994,6.933,8.159,8.887,9.17,258.973,259.626,260.023
2017-10-13 13:00:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.294,17.704,7.628,7.04,252.203,16.857,0,432.814,424.09,309.05,19.388,52.627,158.847,-27.371,0.651,21.039,52.417,73.517,989.703,986.066,983.628,18.058,17.981,17.953,7.265,7.156,7.11,7.976,8.735,9.041,255.526,255.931,256.197
2017-10-13 13:30:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.35,17.725,7.664,6.959,254.988,16.969,0,373.116,363.855,309.017,18.815,33.26,140.35,-19.917,0.635,21.05,52.445,73.56,989.694,986.057,983.616,18.172,18.127,18.111,7.299,7.205,7.165,7.92,8.683,9.002,258.311,258.838,259.156
2017-10-13 14:00:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.21,17.645,7.742,6.635,261.245,17.024,0,304.684,295.225,308.846,18.12,13.678,116.541,-11.793,0.596,21.054,52.457,73.579,989.648,986.01,983.57,18.205,18.187,18.181,7.374,7.287,7.249,7.597,8.317,8.624,264.571,264.903,265.09
2017-10-13 14:30:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.312,17.44,7.828,6.268,262.778,17.013,0,229.162,219.959,308.715,17.235,-5.467,89.3,-2.383,0.548,21.055,52.461,73.587,989.687,986.049,983.607,18.147,18.165,18.172,7.468,7.39,7.357,7.271,7.992,8.289,266.105,266.307,266.426
2017-10-13 15:00:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.198,17.031,7.892,5.971,263.154,16.925,0,149.755,141.435,307.943,16.091,-22.921,60.426,8.949,0.497,21.045,52.439,73.56,989.601,986.065,983.555,17.989,18.056,18.081,7.557,7.488,7.461,7.185,7.948,8.247,266.479,266.735,266.872
2017-10-13 15:30:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.093,16.38,7.96,5.468,260.663,16.749,0,71.1,64.754,307.647,14.704,-35.264,31.233,21.898,0.424,21.03,52.402,73.514,989.625,985.986,983.545,17.733,17.865,17.913,7.7,7.646,7.625,6.883,7.629,7.908,263.983,264.382,264.566
2017-10-13 16:00:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.356,15.462,7.689,5.104,257.004,16.471,0,6.589,4.936,307.009,13.216,-41.149,9.218,34.816,0.367,20.994,52.318,73.405,989.745,986.107,983.665,17.26,17.501,17.6,7.581,7.556,7.545,6.705,7.537,7.901,260.323,261.236,261.712
2017-10-13 16:30:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.204,14.825,7.828,4.926,262.169,16.156,0,0,0,305.49,12.687,-37.715,5.275,37.059,0.352,20.946,52.213,73.285,989.798,986.158,983.717,16.577,17.213,17.403,7.763,7.73,7.717,6.488,7.807,8.244,265.501,265.83,266.518
2017-10-13 17:00:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.473,13.41,7.946,3.607,261.914,15.808,0,0,0,303.246,11.496,-21.055,1.414,46.016,0.215,20.87,52.034,73.063,989.944,986.303,983.863,15.404,16.392,16.844,7.908,7.871,7.847,5.118,6.942,7.588,265.233,269.587,271.427
2017-10-13 17:30:00,15.611111,48.180279,285,641676,959,584,48.1843,15.6068,959.3206,583.5529,2,290.31,0.198,0.954,992.507,12.9,7.812,3.537,265.114,15.425,0,0,0,301.424,11.061,-19.859,1.137,46.523,0.211,20.823,51.915,72.89,990.057,986.417,983.976,14.833,15.729,16.163,7.781,7.732,7.707,5.017,6.233,6.921,268.432,273.882,275.834
