DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.1,0.97,998.464,18.371,5.959,6.452,304.184,17.224,0,0,0,0,19.917,0,0,0,0,21.135,52.657,73.865,996.511,992.64,990.045,19.347,19.347,19.347,6.159,6.063,6,6.446,6.446,6.491,308.108,308.108,308.693
2017-10-13 12:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.177,0.965,998.014,18.817,6.397,8.021,304.598,17.28,0,478.938,469.047,308.754,20.493,55.831,133.784,-83.353,0.688,21.094,52.552,73.71,995.554,991.898,989.444,18.771,18.703,18.676,6.092,6.028,6,8.56,9.309,9.648,308.445,308.538,308.509
2017-10-13 13:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.177,0.965,998.138,18.887,6.719,7.214,306.271,17.324,0,427.801,419.146,310.4,20.55,50.928,118.118,-64.194,0.626,21.11,52.591,73.766,995.674,992.017,989.562,18.84,18.777,18.753,6.411,6.347,6.319,7.687,8.412,8.746,310.093,310.135,310.08
2017-10-13 13:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.177,0.965,998.159,18.909,6.902,6.239,311.694,17.36,0,366.257,358.991,312.386,20.371,39.777,100.441,-47.033,0.548,21.119,52.616,73.802,995.706,992.048,989.592,18.899,18.845,18.826,6.61,6.542,6.512,6.643,7.319,7.622,315.51,315.181,314.901
2017-10-13 14:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.177,0.965,998.239,18.821,6.981,5.575,289.629,17.367,0,157.838,157.838,379.746,19.384,13.496,66.761,-13.959,0.481,21.128,52.638,73.835,995.763,992.104,989.649,18.953,18.929,18.92,6.732,6.686,6.666,5.94,6.481,6.734,293.31,293.192,293.123
2017-10-13 14:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.177,0.965,998.342,18.204,7.467,6.334,274.681,17.334,0,220.766,216.542,313.199,18.639,11.523,63.219,-8.031,0.537,21.103,52.576,73.749,995.838,992.175,989.72,18.35,18.341,18.341,7.24,7.187,7.164,6.757,7.492,7.814,278.498,278.824,278.975
2017-10-13 15:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.177,0.965,998.374,17.857,7.513,6.44,273.071,17.272,0,141.638,138.968,312.82,17.599,-6.622,44.321,11.873,0.528,21.093,52.554,73.722,995.83,992.17,989.712,18.167,18.201,18.218,7.314,7.268,7.247,6.884,7.687,8.03,276.903,277.197,277.353
2017-10-13 15:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.177,0.965,998.419,17.279,7.428,6.287,272.883,17.165,0,64.036,62.833,311.973,16.302,-22.847,24.006,30.411,0.49,21.071,52.499,73.649,995.817,992.158,989.701,17.858,17.94,17.975,7.278,7.247,7.234,6.736,7.557,7.901,276.703,277.053,277.223
2017-10-13 16:00:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.177,0.965,998.45,16.574,7.353,5.992,276.904,17.023,0,3.186,3.121,311.46,15.028,-31.974,4.255,43.651,0.442,21.044,52.435,73.563,995.875,992.211,989.756,17.479,17.597,17.646,7.316,7.305,7.3,6.448,7.252,7.584,280.726,280.521,280.416
2017-10-13 16:30:00,16.229445,48.206944,225,647217,1005,589,48.2035,16.2351,1004.5797,589.383,53,232.65,0.1,0.965,998.633,16.379,7.423,6.443,270.56,16.869,0,0,0,311.163,14.74,-36.771,2.966,38.618,0.477,21.036,52.415,73.534,995.962,992.3,989.842,17.286,17.413,17.466,7.4,7.394,7.391,6.946,7.79,8.136,274.377,274.712,274.897
