DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,11112,306.0,1.4,1.5,979.1,68.0,0.0,18.4,600.0,,527.0,
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,11112,332.0,1.0,1.2,979.0,68.0,0.0,18.3,600.0,,481.0,
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,11112,327.0,1.6,1.7,979.0,71.0,0.0,17.3,392.0,,229.0,
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,11112,339.0,1.5,1.8,978.9,72.0,0.0,17.6,600.0,,450.0,
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,11112,350.0,1.5,1.7,978.9,68.0,0.0,17.6,600.0,,473.0,
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,11112,329.0,1.5,1.7,978.8,67.0,0.0,18.0,600.0,,481.0,
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,11112,318.0,1.3,1.5,978.7,65.0,0.0,18.3,600.0,,489.0,
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,11112,307.0,1.9,2.0,978.8,62.0,0.0,18.3,600.0,,466.0,
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,11112,319.0,1.3,1.6,978.8,62.0,0.0,18.6,600.0,,458.0,
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,11112,353.0,1.3,1.5,978.7,60.0,0.0,18.7,600.0,,450.0,
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,11112,315.0,1.1,1.2,978.7,59.0,0.0,18.8,600.0,,427.0,
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,11112,349.0,1.1,1.2,978.7,60.0,0.0,19.1,600.0,,374.0,
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,11112,331.0,0.8,1.1,978.7,60.0,0.0,19.4,600.0,,366.0,
