DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,7704,288.0,7.2,7.5,1004.0,43.0,0.0,20.5,600.0,,560.0,
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,7704,290.0,6.8,7.0,1003.7,44.0,0.0,20.4,600.0,,522.0,
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,7704,285.0,5.8,6.0,1004.0,45.0,0.0,20.7,600.0,,515.0,
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,7704,290.0,3.9,4.4,1003.8,45.0,0.0,20.5,600.0,,545.0,
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,7704,284.0,6.5,6.8,1003.6,44.0,0.0,20.6,600.0,,537.0,
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,7704,273.0,6.4,6.7,1003.6,44.0,0.0,20.5,600.0,,409.0,
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,7704,282.0,6.6,6.8,1003.6,44.0,0.0,20.4,600.0,,386.0,
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,7704,290.0,6.7,7.0,1003.6,44.0,0.0,20.4,600.0,,379.0,
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,7704,284.0,7.1,7.3,1003.5,44.0,0.0,20.3,600.0,,386.0,
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,7704,282.0,7.3,7.5,1003.6,44.0,0.0,20.4,600.0,,371.0,
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,7704,291.0,6.7,6.9,1003.6,44.0,0.0,20.4,600.0,,348.0,
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,7704,278.0,5.8,6.1,1003.6,45.0,0.0,20.2,600.0,,326.0,
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,7704,279.0,7.5,7.6,1003.6,45.0,0.0,20.1,600.0,,288.0,
2017-10-13 14:10:00+00:00,2017-10-13 14:10:00+00:00,7704,291.0,7.6,8.0,1003.5,45.0,0.0,20.0,600.0,,280.0,
2017-10-13 14:20:00+00:00,2017-10-13 14:20:00+00:00,7704,286.0,6.8,7.0,1003.5,43.0,0.0,20.2,600.0,,257.0,
2017-10-13 14:30:00+00:00,2017-10-13 14:30:00+00:00,7704,291.0,7.2,7.4,1003.6,44.0,0.0,20.1,600.0,,235.0,
2017-10-13 14:40:00+00:00,2017-10-13 14:40:00+00:00,7704,295.0,6.0,6.2,1003.5,43.0,0.0,20.1,600.0,,212.0,
2017-10-13 14:50:00+00:00,2017-10-13 14:50:00+00:00,7704,298.0,6.3,6.6,1003.4,44.0,0.0,19.9,600.0,,197.0,
2017-10-13 15:00:00+00:00,2017-10-13 15:00:00+00:00,7704,303.0,4.4,4.7,1003.3,46.0,0.0,19.9,600.0,,159.0,
2017-10-13 15:10:00+00:00,2017-10-13 15:10:00+00:00,7704,304.0,4.5,4.8,1003.4,45.0,0.0,19.7,600.0,,144.0,
2017-10-13 15:20:00+00:00,2017-10-13 15:20:00+00:00,7704,299.0,6.0,6.3,1003.3,45.0,0.0,19.4,600.0,,106.0,
2017-10-13 15:30:00+00:00,2017-10-13 15:30:00+00:00,7704,287.0,5.4,5.8,1003.3,47.0,0.0,19.0,600.0,,91.0,
2017-10-13 15:40:00+00:00,2017-10-13 15:40:00+00:00,7704,300.0,5.4,5.6,1003.2,47.0,0.0,18.8,600.0,,61.0,
2017-10-13 15:50:00+00:00,2017-10-13 15:50:00+00:00,7704,303.0,5.5,5.6,1003.3,48.0,0.0,18.5,600.0,,38.0,
2017-10-13 16:00:00+00:00,2017-10-13 16:00:00+00:00,7704,305.0,4.4,4.6,1003.5,48.0,0.0,18.4,152.0,,15.0,
2017-10-13 16:10:00+00:00,2017-10-13 16:10:00+00:00,7704,296.0,4.6,4.9,1003.5,48.0,0.0,18.3,0.0,,8.0,
2017-10-13 16:20:00+00:00,2017-10-13 16:20:00+00:00,7704,293.0,4.3,4.4,1003.6,50.0,0.0,18.0,0.0,,0.0,
2017-10-13 16:30:00+00:00,2017-10-13 16:30:00+00:00,7704,294.0,4.6,4.7,1003.6,51.0,0.0,17.9,0.0,,0.0,
2017-10-13 16:40:00+00:00,2017-10-13 16:40:00+00:00,7704,281.0,4.6,4.8,1003.6,53.0,0.0,17.7,0.0,,0.0,
2017-10-13 16:50:00+00:00,2017-10-13 16:50:00+00:00,7704,279.0,4.8,4.9,1003.6,54.0,0.0,17.6,0.0,,0.0,
2017-10-13 17:00:00+00:00,2017-10-13 17:00:00+00:00,7704,283.0,4.4,4.5,1003.8,54.0,0.0,17.5,0.0,,0.0,
2017-10-13 17:10:00+00:00,2017-10-13 17:10:00+00:00,7704,288.0,4.6,4.7,1004.1,55.0,0.0,17.4,0.0,,0.0,
2017-10-13 17:20:00+00:00,2017-10-13 17:20:00+00:00,7704,277.0,4.7,4.8,1004.2,55.0,0.0,17.3,0.0,,0.0,
2017-10-13 17:30:00+00:00,2017-10-13 17:30:00+00:00,7704,276.0,5.5,5.7,1004.1,56.0,0.0,17.2,0.0,,0.0,
2017-10-13 17:40:00+00:00,2017-10-13 17:40:00+00:00,7704,279.0,5.5,5.6,1004.2,56.0,0.0,17.2,0.0,,0.0,
2017-10-13 17:50:00+00:00,2017-10-13 17:50:00+00:00,7704,277.0,5.3,5.4,1004.2,56.0,0.0,17.1,0.0,,0.0,
2017-10-13 18:00:00+00:00,2017-10-13 18:00:00+00:00,7704,280.0,5.3,5.4,1004.2,57.0,0.0,17.0,0.0,,0.0,
2017-10-13 18:10:00+00:00,2017-10-13 18:10:00+00:00,7704,280.0,5.3,5.4,1004.2,57.0,0.0,16.9,0.0,,0.0,
2017-10-13 18:20:00+00:00,2017-10-13 18:20:00+00:00,7704,273.0,5.0,5.1,1004.2,57.0,0.0,17.1,0.0,,0.0,
2017-10-13 18:30:00+00:00,2017-10-13 18:30:00+00:00,7704,273.0,4.4,4.6,1004.2,57.0,0.0,17.0,0.0,,0.0,
2017-10-13 18:40:00+00:00,2017-10-13 18:40:00+00:00,7704,268.0,3.6,3.7,1004.2,58.0,0.0,16.9,0.0,,0.0,
