DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,16400,150.0,1.5,,982.7,48.0,0.0,20.3,600.0,102.5,,
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,16400,180.0,1.5,,982.6,48.0,0.0,20.5,600.0,102.5,,
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,16400,160.0,1.5,,982.5,52.0,0.0,20.8,600.0,102.4,,
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,16400,160.0,1.5,,982.4,49.0,0.0,20.9,600.0,102.4,,
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,16400,150.0,2.1,,982.4,47.0,0.0,20.8,600.0,102.4,,
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,16400,160.0,2.1,,982.3,46.0,0.0,21.0,600.0,102.4,,
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,16400,170.0,2.1,,982.3,42.0,0.0,21.2,600.0,102.4,,
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,16400,160.0,1.5,,982.2,41.0,0.0,21.1,600.0,102.4,,
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,16400,170.0,1.5,,982.0,41.0,0.0,21.6,600.0,102.4,,
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,16400,190.0,2.1,,982.1,41.0,0.0,21.5,600.0,102.4,,
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,16400,160.0,1.5,,982.2,43.0,0.0,21.5,600.0,102.4,,
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,16400,160.0,2.1,,982.1,43.0,0.0,21.4,600.0,102.4,,
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,16400,180.0,1.5,,982.0,42.0,0.0,21.7,600.0,102.4,,
2017-10-13 14:10:00+00:00,2017-10-13 14:10:00+00:00,16400,210.0,1.5,,982.0,42.0,0.0,21.7,600.0,102.4,,
2017-10-13 14:20:00+00:00,2017-10-13 14:20:00+00:00,16400,180.0,1.5,,982.0,44.0,0.0,21.4,600.0,102.4,,
2017-10-13 14:30:00+00:00,2017-10-13 14:30:00+00:00,16400,150.0,1.5,,982.0,45.0,0.0,21.3,600.0,102.4,,
2017-10-13 14:40:00+00:00,2017-10-13 14:40:00+00:00,16400,130.0,1.5,,982.0,44.0,0.0,21.3,600.0,102.4,,
2017-10-13 14:50:00+00:00,2017-10-13 14:50:00+00:00,16400,170.0,2.1,,982.0,45.0,0.0,21.6,600.0,102.4,,
2017-10-13 15:00:00+00:00,2017-10-13 15:00:00+00:00,16400,150.0,2.1,,982.0,46.0,0.0,21.0,600.0,102.4,,
2017-10-13 15:10:00+00:00,2017-10-13 15:10:00+00:00,16400,140.0,2.1,,982.0,50.0,0.0,20.5,600.0,102.4,,
2017-10-13 15:20:00+00:00,2017-10-13 15:20:00+00:00,16400,150.0,1.5,,982.0,48.0,0.0,20.6,600.0,102.4,,
2017-10-13 15:30:00+00:00,2017-10-13 15:30:00+00:00,16400,170.0,1.0,,982.1,45.0,0.0,20.6,600.0,102.4,,
2017-10-13 15:40:00+00:00,2017-10-13 15:40:00+00:00,16400,170.0,1.0,,982.1,47.0,0.0,20.1,600.0,102.4,,
2017-10-13 15:50:00+00:00,2017-10-13 15:50:00+00:00,16400,150.0,1.0,,982.2,52.0,0.0,19.0,271.0,102.4,,
2017-10-13 16:00:00+00:00,2017-10-13 16:00:00+00:00,16400,140.0,1.0,,982.3,53.0,0.0,18.5,0.0,102.5,,
2017-10-13 16:10:00+00:00,2017-10-13 16:10:00+00:00,16400,130.0,1.0,,982.3,56.0,0.0,17.8,0.0,102.5,,
2017-10-13 16:20:00+00:00,2017-10-13 16:20:00+00:00,16400,0.0,0.5,,982.4,58.0,0.0,17.2,0.0,102.5,,
2017-10-13 16:30:00+00:00,2017-10-13 16:30:00+00:00,16400,80.0,1.0,,982.4,62.0,0.0,16.3,0.0,102.5,,
2017-10-13 16:40:00+00:00,2017-10-13 16:40:00+00:00,16400,0.0,0.5,,982.5,62.0,0.0,16.4,0.0,102.5,,
2017-10-13 16:50:00+00:00,2017-10-13 16:50:00+00:00,16400,0.0,0.5,,982.5,66.0,0.0,16.1,0.0,102.5,,
2017-10-13 17:00:00+00:00,2017-10-13 17:00:00+00:00,16400,0.0,0.5,,982.6,69.0,0.0,15.9,0.0,102.5,,
2017-10-13 17:10:00+00:00,2017-10-13 17:10:00+00:00,16400,40.0,1.0,,982.7,71.0,0.0,15.7,0.0,102.5,,
2017-10-13 17:20:00+00:00,2017-10-13 17:20:00+00:00,16400,350.0,1.0,,982.8,75.0,0.0,15.1,0.0,102.6,,
2017-10-13 17:30:00+00:00,2017-10-13 17:30:00+00:00,16400,340.0,1.5,,982.9,77.0,0.0,14.5,0.0,102.6,,
2017-10-13 17:40:00+00:00,2017-10-13 17:40:00+00:00,16400,340.0,1.5,,982.9,77.0,0.0,13.6,0.0,102.6,,
2017-10-13 17:50:00+00:00,2017-10-13 17:50:00+00:00,16400,340.0,2.1,,982.9,77.0,0.0,13.6,0.0,102.6,,
2017-10-13 18:00:00+00:00,2017-10-13 18:00:00+00:00,16400,350.0,1.5,,983.0,78.0,0.0,14.0,0.0,102.6,,
2017-10-13 18:10:00+00:00,2017-10-13 18:10:00+00:00,16400,360.0,1.5,,983.1,78.0,0.0,13.9,0.0,102.6,,
2017-10-13 18:20:00+00:00,2017-10-13 18:20:00+00:00,16400,350.0,1.5,,983.2,81.0,0.0,13.6,0.0,102.6,,
2017-10-13 18:30:00+00:00,2017-10-13 18:30:00+00:00,16400,330.0,1.5,,983.3,79.0,0.0,13.9,0.0,102.6,,
2017-10-13 18:40:00+00:00,2017-10-13 18:40:00+00:00,16400,300.0,1.0,,983.3,79.0,0.0,13.8,0.0,102.6,,
2017-10-13 18:50:00+00:00,2017-10-13 18:50:00+00:00,16400,0.0,0.5,,983.4,83.0,0.0,12.3,0.0,102.7,,
2017-10-13 19:00:00+00:00,2017-10-13 19:00:00+00:00,16400,0.0,0.5,,983.5,82.0,0.0,12.0,0.0,102.7,,
2017-10-13 19:10:00+00:00,2017-10-13 19:10:00+00:00,16400,350.0,1.5,,983.5,84.0,0.0,12.2,0.0,102.7,,
2017-10-13 19:20:00+00:00,2017-10-13 19:20:00+00:00,16400,330.0,1.0,,983.5,82.0,0.0,12.5,0.0,102.7,,
2017-10-13 19:30:00+00:00,2017-10-13 19:30:00+00:00,16400,350.0,1.5,,983.6,86.0,0.0,11.3,0.0,102.7,,
