DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,16412,173.0,1.2,1.6,980.9,44.0,0.0,20.6,600.0,,561.0,
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,16412,171.0,1.7,1.9,980.8,42.0,0.0,20.7,600.0,,516.0,
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,16412,204.0,1.2,1.4,980.7,44.0,0.0,20.9,557.0,,448.0,
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,16412,189.0,0.7,1.0,980.5,44.0,0.0,21.2,600.0,,527.0,
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,16412,190.0,1.6,1.8,980.5,43.0,0.0,21.2,599.0,,493.0,
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,16412,176.0,1.2,1.7,980.5,44.0,0.0,21.1,600.0,,460.0,
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,16412,208.0,1.8,1.9,980.4,43.0,0.0,21.4,600.0,,460.0,
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,16412,184.0,1.9,2.2,980.3,43.0,0.0,21.3,600.0,,437.0,
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,16412,217.0,1.9,2.0,980.1,42.0,0.0,21.9,600.0,,437.0,
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,16412,178.0,1.5,1.8,980.4,40.0,0.0,21.9,600.0,,426.0,
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,16412,206.0,1.1,1.3,980.4,42.0,0.0,21.7,600.0,,415.0,
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,16412,211.0,1.7,1.9,980.3,42.0,0.0,21.3,600.0,,392.0,
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,16412,245.0,1.2,1.3,980.2,44.0,0.0,21.1,600.0,,336.0,
2017-10-13 14:10:00+00:00,2017-10-13 14:10:00+00:00,16412,176.0,1.1,1.4,980.2,43.0,0.0,21.2,600.0,,336.0,
2017-10-13 14:20:00+00:00,2017-10-13 14:20:00+00:00,16412,124.0,1.3,1.5,980.2,43.0,0.0,21.1,600.0,,336.0,
2017-10-13 14:30:00+00:00,2017-10-13 14:30:00+00:00,16412,153.0,1.6,1.9,980.2,42.0,0.0,21.1,600.0,,303.0,
2017-10-13 14:40:00+00:00,2017-10-13 14:40:00+00:00,16412,131.0,1.7,1.9,980.2,43.0,0.0,20.8,600.0,,235.0,
2017-10-13 14:50:00+00:00,2017-10-13 14:50:00+00:00,16412,151.0,1.2,1.4,980.2,44.0,0.0,20.8,600.0,,213.0,
2017-10-13 15:00:00+00:00,2017-10-13 15:00:00+00:00,16412,134.0,2.1,2.2,980.2,43.0,0.0,20.6,600.0,,112.0,
2017-10-13 15:10:00+00:00,2017-10-13 15:10:00+00:00,16412,129.0,1.5,1.6,980.2,45.0,0.0,20.2,600.0,,146.0,
2017-10-13 15:20:00+00:00,2017-10-13 15:20:00+00:00,16412,143.0,1.4,1.5,980.3,46.0,0.0,20.0,600.0,,101.0,
2017-10-13 15:30:00+00:00,2017-10-13 15:30:00+00:00,16412,108.0,1.3,1.3,980.4,48.0,0.0,19.6,600.0,,78.0,
2017-10-13 15:40:00+00:00,2017-10-13 15:40:00+00:00,16412,77.0,2.2,2.3,980.4,51.0,0.0,19.4,348.0,,56.0,
2017-10-13 15:50:00+00:00,2017-10-13 15:50:00+00:00,16412,78.0,2.0,2.1,980.5,53.0,0.0,19.1,0.0,,22.0,
2017-10-13 16:00:00+00:00,2017-10-13 16:00:00+00:00,16412,57.0,1.3,1.4,980.5,55.0,0.0,18.7,0.0,,11.0,
2017-10-13 16:10:00+00:00,2017-10-13 16:10:00+00:00,16412,49.0,1.4,1.4,980.7,59.0,0.0,17.9,0.0,,11.0,
2017-10-13 16:20:00+00:00,2017-10-13 16:20:00+00:00,16412,50.0,1.5,1.6,980.7,62.0,0.0,17.6,0.0,,0.0,
2017-10-13 16:30:00+00:00,2017-10-13 16:30:00+00:00,16412,41.0,1.5,1.5,980.8,65.0,0.0,17.0,0.0,,0.0,
2017-10-13 16:40:00+00:00,2017-10-13 16:40:00+00:00,16412,38.0,1.7,1.7,980.9,67.0,0.0,16.6,0.0,,0.0,
2017-10-13 16:50:00+00:00,2017-10-13 16:50:00+00:00,16412,29.0,1.5,1.6,980.9,68.0,0.0,16.3,0.0,,0.0,
2017-10-13 17:00:00+00:00,2017-10-13 17:00:00+00:00,16412,350.0,0.8,0.9,981.0,70.0,0.0,15.9,0.0,,0.0,
2017-10-13 17:10:00+00:00,2017-10-13 17:10:00+00:00,16412,14.0,1.0,1.1,981.1,70.0,0.0,15.8,0.0,,0.0,
2017-10-13 17:20:00+00:00,2017-10-13 17:20:00+00:00,16412,34.0,1.9,1.9,981.2,73.0,0.0,15.4,0.0,,0.0,
2017-10-13 17:30:00+00:00,2017-10-13 17:30:00+00:00,16412,34.0,1.4,1.4,981.3,74.0,0.0,15.0,0.0,,0.0,
2017-10-13 17:40:00+00:00,2017-10-13 17:40:00+00:00,16412,40.0,1.3,1.3,981.3,74.0,0.0,14.8,0.0,,0.0,
2017-10-13 17:50:00+00:00,2017-10-13 17:50:00+00:00,16412,41.0,1.7,1.7,981.3,76.0,0.0,14.4,0.0,,0.0,
2017-10-13 18:00:00+00:00,2017-10-13 18:00:00+00:00,16412,37.0,2.1,2.1,981.3,77.0,0.0,14.1,0.0,,0.0,
2017-10-13 18:10:00+00:00,2017-10-13 18:10:00+00:00,16412,39.0,1.6,1.7,981.4,77.0,0.0,14.0,0.0,,0.0,
2017-10-13 18:20:00+00:00,2017-10-13 18:20:00+00:00,16412,42.0,1.4,1.5,981.5,78.0,0.0,13.8,0.0,,0.0,
2017-10-13 18:30:00+00:00,2017-10-13 18:30:00+00:00,16412,23.0,1.7,1.7,981.5,78.0,0.0,13.7,0.0,,0.0,
2017-10-13 18:40:00+00:00,2017-10-13 18:40:00+00:00,16412,28.0,1.2,1.2,981.5,79.0,0.0,13.5,0.0,,0.0,
2017-10-13 18:50:00+00:00,2017-10-13 18:50:00+00:00,16412,31.0,1.6,1.7,981.8,79.0,0.0,13.4,0.0,,0.0,
2017-10-13 19:00:00+00:00,2017-10-13 19:00:00+00:00,16412,34.0,1.7,1.7,981.8,80.0,0.0,13.2,0.0,,0.0,
2017-10-13 19:10:00+00:00,2017-10-13 19:10:00+00:00,16412,34.0,1.9,1.9,981.9,80.0,0.0,13.0,0.0,,0.0,
2017-10-13 19:20:00+00:00,2017-10-13 19:20:00+00:00,16412,34.0,2.0,2.0,981.9,81.0,0.0,12.8,0.0,,0.0,
2017-10-13 19:30:00+00:00,2017-10-13 19:30:00+00:00,16412,33.0,2.2,2.2,981.9,82.0,0.0,12.7,0.0,,0.0,
2017-10-13 19:40:00+00:00,2017-10-13 19:40:00+00:00,16412,36.0,2.0,2.1,981.9,82.0,0.0,12.5,0.0,,0.0,
2017-10-13 19:50:00+00:00,2017-10-13 19:50:00+00:00,16412,33.0,2.1,2.2,981.9,83.0,0.0,12.4,0.0,,0.0,
2017-10-13 20:00:00+00:00,2017-10-13 20:00:00+00:00,16412,26.0,1.3,1.3,981.8,83.0,0.0,12.2,0.0,,0.0,
2017-10-13 20:10:00+00:00,2017-10-13 20:10:00+00:00,16412,35.0,1.9,1.9,981.9,84.0,0.0,12.1,0.0,,0.0,
2017-10-13 20:20:00+00:00,2017-10-13 20:20:00+00:00,16412,41.0,2.4,2.4,982.0,84.0,0.0,11.9,0.0,,0.0,
2017-10-13 20:30:00+00:00,2017-10-13 20:30:00+00:00,16412,31.0,2.2,2.2,982.1,85.0,0.0,11.8,0.0,,0.0,
2017-10-13 20:40:00+00:00,2017-10-13 20:40:00+00:00,16412,29.0,2.1,2.1,982.1,84.0,0.0,11.8,0.0,,0.0,
2017-10-13 20:50:00+00:00,2017-10-13 20:50:00+00:00,16412,28.0,2.1,2.1,982.2,85.0,0.0,11.6,0.0,,0.0,
