DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,16413,165.0,0.8,1.0,983.8,45.0,0.0,21.0,600.0,,496.0,
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,16413,142.0,1.2,1.4,983.8,43.0,0.0,20.8,600.0,,462.0,
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,16413,172.0,1.2,1.5,983.7,43.0,0.0,21.1,600.0,,401.0,
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,16413,178.0,1.2,1.4,983.6,43.0,0.0,21.1,600.0,,468.0,
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,16413,215.0,1.8,1.8,983.5,43.0,0.0,21.4,600.0,,448.0,
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,16413,176.0,1.5,1.8,983.5,40.0,0.0,21.4,600.0,,441.0,
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,16413,192.0,1.5,1.7,983.4,37.0,0.0,21.9,600.0,,407.0,
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,16413,164.0,1.0,1.2,983.3,40.0,0.0,21.6,600.0,,401.0,
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,16413,145.0,1.7,1.8,983.2,43.0,0.0,21.7,600.0,,394.0,
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,16413,173.0,1.1,1.4,983.3,42.0,0.0,21.9,600.0,,380.0,
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,16413,172.0,1.3,1.5,983.3,41.0,0.0,21.9,600.0,,373.0,
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,16413,169.0,1.2,1.4,983.3,41.0,0.0,22.3,599.0,,360.0,
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,16413,144.0,2.0,2.1,983.3,41.0,0.0,22.0,600.0,,319.0,
2017-10-13 14:10:00+00:00,2017-10-13 14:10:00+00:00,16413,141.0,1.3,1.5,983.2,41.0,0.0,21.9,600.0,,312.0,
2017-10-13 14:20:00+00:00,2017-10-13 14:20:00+00:00,16413,143.0,1.3,1.4,983.2,40.0,0.0,21.9,600.0,,312.0,
2017-10-13 14:30:00+00:00,2017-10-13 14:30:00+00:00,16413,143.0,2.3,2.4,983.2,41.0,0.0,22.0,600.0,,326.0,
2017-10-13 14:40:00+00:00,2017-10-13 14:40:00+00:00,16413,129.0,1.5,1.6,983.2,41.0,0.0,21.7,600.0,,272.0,
2017-10-13 14:50:00+00:00,2017-10-13 14:50:00+00:00,16413,147.0,1.5,1.7,983.2,42.0,0.0,21.4,600.0,,170.0,
2017-10-13 15:00:00+00:00,2017-10-13 15:00:00+00:00,16413,147.0,1.2,1.2,983.2,44.0,0.0,21.0,504.0,,115.0,
2017-10-13 15:10:00+00:00,2017-10-13 15:10:00+00:00,16413,132.0,1.1,1.2,983.2,46.0,0.0,20.7,387.0,,88.0,
2017-10-13 15:20:00+00:00,2017-10-13 15:20:00+00:00,16413,145.0,1.7,1.8,983.2,46.0,0.0,20.5,600.0,,95.0,
2017-10-13 15:30:00+00:00,2017-10-13 15:30:00+00:00,16413,147.0,1.3,1.3,983.3,46.0,0.0,20.4,600.0,,102.0,
2017-10-13 15:40:00+00:00,2017-10-13 15:40:00+00:00,16413,218.0,0.6,1.3,983.4,53.0,0.0,19.3,225.0,,48.0,
2017-10-13 15:50:00+00:00,2017-10-13 15:50:00+00:00,16413,314.0,0.5,0.6,983.5,56.0,0.0,18.6,0.0,,20.0,
2017-10-13 16:00:00+00:00,2017-10-13 16:00:00+00:00,16413,317.0,0.6,0.7,983.5,59.0,0.0,18.0,0.0,,14.0,
2017-10-13 16:10:00+00:00,2017-10-13 16:10:00+00:00,16413,301.0,0.5,0.6,983.6,62.0,0.0,17.3,0.0,,7.0,
2017-10-13 16:20:00+00:00,2017-10-13 16:20:00+00:00,16413,325.0,0.6,0.6,983.6,65.0,0.0,16.6,0.0,,0.0,
2017-10-13 16:30:00+00:00,2017-10-13 16:30:00+00:00,16413,305.0,0.6,0.6,983.7,68.0,0.0,16.1,0.0,,0.0,
2017-10-13 16:40:00+00:00,2017-10-13 16:40:00+00:00,16413,302.0,0.6,0.6,983.8,70.0,0.0,15.6,0.0,,0.0,
2017-10-13 16:50:00+00:00,2017-10-13 16:50:00+00:00,16413,317.0,1.1,1.1,983.8,71.0,0.0,15.1,0.0,,0.0,
