DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,175,274.0,2.1,2.2,958.9,47.0,0.0,16.8,600.0,,468.0,11804.0
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,175,257.0,1.3,1.5,958.7,45.0,0.0,17.0,600.0,,491.0,11804.0
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,175,266.0,0.4,0.7,958.7,45.0,0.0,17.3,600.0,,537.0,11804.0
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,175,187.0,0.4,0.6,958.5,45.0,0.0,17.7,600.0,,537.0,11804.0
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,175,260.0,0.3,0.9,958.5,44.0,0.0,18.1,600.0,,559.0,11804.0
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,175,321.0,0.5,0.6,958.4,44.0,0.0,18.4,600.0,,548.0,11804.0
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,175,330.0,1.1,1.2,958.4,42.0,0.0,18.3,600.0,,502.0,11804.0
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,175,315.0,0.3,0.5,958.2,42.0,0.0,18.4,600.0,,479.0,11804.0
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,175,160.0,1.4,1.5,958.2,43.0,0.0,18.4,600.0,,377.0,11804.0
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,175,187.0,1.7,1.7,958.2,43.0,0.0,18.6,600.0,,342.0,11804.0
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,175,182.0,2.0,2.0,958.2,46.0,0.0,18.7,600.0,,388.0,11804.0
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,175,175.0,2.0,2.0,958.1,45.0,0.0,18.8,600.0,,400.0,11804.0
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,175,184.0,1.7,1.8,958.1,49.0,0.0,19.1,600.0,,411.0,11804.0
2017-10-13 14:10:00+00:00,2017-10-13 14:10:00+00:00,175,181.0,1.6,1.7,958.1,47.0,0.0,19.2,600.0,,342.0,11804.0
2017-10-13 14:20:00+00:00,2017-10-13 14:20:00+00:00,175,167.0,1.6,1.7,958.0,48.0,0.0,18.7,600.0,,251.0,11804.0
2017-10-13 14:30:00+00:00,2017-10-13 14:30:00+00:00,175,173.0,2.0,2.0,958.0,51.0,0.0,18.4,600.0,,205.0,11804.0
2017-10-13 14:40:00+00:00,2017-10-13 14:40:00+00:00,175,165.0,1.9,2.0,958.1,58.0,0.0,17.8,600.0,,160.0,11804.0
2017-10-13 14:50:00+00:00,2017-10-13 14:50:00+00:00,175,170.0,2.5,2.5,958.2,58.0,0.0,17.6,600.0,,171.0,11804.0
2017-10-13 15:00:00+00:00,2017-10-13 15:00:00+00:00,175,158.0,2.5,2.5,958.2,55.0,0.0,17.7,600.0,,171.0,11804.0
2017-10-13 15:10:00+00:00,2017-10-13 15:10:00+00:00,175,158.0,3.1,3.2,958.2,56.0,0.0,17.9,600.0,,137.0,11804.0
2017-10-13 15:20:00+00:00,2017-10-13 15:20:00+00:00,175,124.0,2.1,2.3,958.4,53.0,0.0,17.9,253.0,,80.0,11804.0
2017-10-13 15:30:00+00:00,2017-10-13 15:30:00+00:00,175,127.0,3.2,3.4,958.4,56.0,0.0,17.6,457.0,,68.0,11804.0
2017-10-13 15:40:00+00:00,2017-10-13 15:40:00+00:00,175,151.0,3.3,3.3,958.5,58.0,0.0,17.0,600.0,,57.0,11804.0
2017-10-13 15:50:00+00:00,2017-10-13 15:50:00+00:00,175,149.0,2.9,2.9,958.6,59.0,0.0,16.7,600.0,,46.0,11804.0
2017-10-13 16:00:00+00:00,2017-10-13 16:00:00+00:00,175,152.0,2.2,2.3,958.7,62.0,0.0,16.1,49.0,,23.0,11804.0
2017-10-13 16:10:00+00:00,2017-10-13 16:10:00+00:00,175,154.0,1.1,1.1,958.8,64.0,0.0,15.5,0.0,,11.0,11804.0
2017-10-13 16:20:00+00:00,2017-10-13 16:20:00+00:00,175,161.0,1.4,1.4,958.9,66.0,0.0,15.1,0.0,,11.0,11804.0
2017-10-13 16:30:00+00:00,2017-10-13 16:30:00+00:00,175,159.0,1.4,1.4,959.0,71.0,0.0,14.6,0.0,,11.0,11804.0
2017-10-13 16:40:00+00:00,2017-10-13 16:40:00+00:00,175,155.0,1.2,1.3,959.0,70.0,0.0,14.6,0.0,,0.0,11804.0
2017-10-13 16:50:00+00:00,2017-10-13 16:50:00+00:00,175,174.0,1.2,1.2,959.1,74.0,0.0,13.7,0.0,,0.0,11804.0
2017-10-13 17:00:00+00:00,2017-10-13 17:00:00+00:00,175,182.0,0.8,0.9,959.2,74.0,0.0,13.6,0.0,,0.0,11804.0
2017-10-13 17:10:00+00:00,2017-10-13 17:10:00+00:00,175,317.0,0.4,0.6,959.3,78.0,0.0,12.9,0.0,,0.0,11804.0
2017-10-13 17:20:00+00:00,2017-10-13 17:20:00+00:00,175,178.0,1.0,1.0,959.5,78.0,0.0,12.5,0.0,,0.0,11804.0
2017-10-13 17:30:00+00:00,2017-10-13 17:30:00+00:00,175,181.0,0.8,0.9,959.6,82.0,0.0,11.8,0.0,,0.0,11804.0
2017-10-13 17:40:00+00:00,2017-10-13 17:40:00+00:00,175,81.0,0.5,0.6,959.8,81.0,0.0,12.1,0.0,,0.0,11804.0
2017-10-13 17:50:00+00:00,2017-10-13 17:50:00+00:00,175,170.0,0.4,0.8,959.8,80.0,0.0,11.9,0.0,,0.0,11804.0
2017-10-13 18:00:00+00:00,2017-10-13 18:00:00+00:00,175,244.0,0.6,0.7,959.9,82.0,0.0,11.4,0.0,,0.0,11804.0
2017-10-13 18:10:00+00:00,2017-10-13 18:10:00+00:00,175,262.0,0.6,0.7,960.0,82.0,0.0,11.2,0.0,,0.0,11804.0
2017-10-13 18:20:00+00:00,2017-10-13 18:20:00+00:00,175,243.0,0.4,0.5,960.0,82.0,0.0,10.9,0.0,,0.0,11804.0
2017-10-13 18:30:00+00:00,2017-10-13 18:30:00+00:00,175,267.0,1.4,1.5,960.1,83.0,0.0,10.5,0.0,,0.0,11804.0
2017-10-13 18:40:00+00:00,2017-10-13 18:40:00+00:00,175,250.0,1.4,1.4,960.3,83.0,0.0,10.9,0.0,,0.0,11804.0
2017-10-13 18:50:00+00:00,2017-10-13 18:50:00+00:00,175,254.0,1.9,1.9,960.4,84.0,0.0,10.3,0.0,,0.0,11804.0
2017-10-13 19:00:00+00:00,2017-10-13 19:00:00+00:00,175,278.0,1.2,1.2,960.5,86.0,0.0,10.0,0.0,,0.0,11804.0
2017-10-13 19:10:00+00:00,2017-10-13 19:10:00+00:00,175,279.0,0.9,1.0,960.8,87.0,0.0,9.7,0.0,,0.0,11804.0
2017-10-13 19:20:00+00:00,2017-10-13 19:20:00+00:00,175,237.0,1.1,1.2,960.8,87.0,0.0,10.0,0.0,,0.0,11804.0
2017-10-13 19:30:00+00:00,2017-10-13 19:30:00+00:00,175,209.0,0.9,0.9,960.9,87.0,0.0,9.6,0.0,,0.0,11804.0
