DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,11803,244.0,1.1,1.3,956.5,47.0,0.0,16.9,600.0,,429.0,
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,11803,256.0,1.7,2.0,956.3,48.0,0.0,17.6,600.0,,489.0,
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,11803,247.0,1.3,1.5,956.2,45.0,0.0,17.7,600.0,,522.0,
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,11803,286.0,0.9,1.2,956.0,46.0,0.0,18.0,600.0,,543.0,
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,11803,300.0,0.4,0.8,955.9,43.0,0.0,18.4,600.0,,543.0,
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,11803,303.0,0.8,0.9,955.9,41.0,0.0,19.1,600.0,,543.0,
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,11803,89.0,1.0,1.2,955.9,41.0,0.0,18.9,600.0,,489.0,
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,11803,49.0,1.2,1.6,955.8,41.0,0.0,18.9,600.0,,455.0,
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,11803,93.0,1.9,2.0,955.8,45.0,0.0,18.9,600.0,,382.0,
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,11803,98.0,2.1,2.2,955.7,44.0,0.0,18.8,600.0,,342.0,
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,11803,49.0,0.5,1.1,955.7,46.0,0.0,19.0,600.0,,402.0,
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,11803,115.0,1.1,1.2,955.7,42.0,0.0,19.6,600.0,,422.0,
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,11803,113.0,0.7,0.8,955.6,44.0,0.0,19.7,600.0,,402.0,
2017-10-13 14:10:00+00:00,2017-10-13 14:10:00+00:00,11803,85.0,1.5,1.6,955.6,42.0,0.0,19.9,600.0,,355.0,
2017-10-13 14:20:00+00:00,2017-10-13 14:20:00+00:00,11803,134.0,1.2,1.3,955.6,45.0,0.0,19.6,600.0,,281.0,
2017-10-13 14:30:00+00:00,2017-10-13 14:30:00+00:00,11803,88.0,0.9,1.1,955.6,46.0,0.0,19.3,600.0,,221.0,
2017-10-13 14:40:00+00:00,2017-10-13 14:40:00+00:00,11803,57.0,1.8,2.0,955.7,47.0,0.0,19.1,313.0,,147.0,
2017-10-13 14:50:00+00:00,2017-10-13 14:50:00+00:00,11803,70.0,2.6,2.8,955.7,50.0,0.0,18.8,600.0,,154.0,
