DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,20212,161.0,1.2,1.2,972.7,56.0,0.0,17.7,599.0,,436.0,
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,20212,174.0,1.1,1.3,972.7,52.0,0.0,18.4,600.0,,457.0,
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,20212,166.0,1.0,1.1,972.7,55.0,0.0,18.4,600.0,,436.0,
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,20212,195.0,1.0,1.1,972.6,52.0,0.0,18.6,600.0,,531.0,
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,20212,158.0,1.2,1.3,972.5,52.0,0.0,19.0,600.0,,521.0,
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,20212,160.0,1.6,1.7,972.4,52.0,0.0,18.9,600.0,,468.0,
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,20212,154.0,2.3,2.4,972.3,54.0,0.0,18.8,600.0,,383.0,
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,20212,148.0,2.2,2.4,972.2,52.0,0.0,19.0,600.0,,393.0,
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,20212,158.0,2.7,2.8,972.2,54.0,0.0,18.9,600.0,,329.0,
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,20212,142.0,2.0,2.2,972.3,52.0,0.0,19.3,600.0,,404.0,
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,20212,129.0,1.7,1.9,972.2,51.0,0.0,19.3,600.0,,383.0,
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,20212,134.0,1.4,1.6,972.3,51.0,0.0,19.5,600.0,,393.0,
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,20212,153.0,2.0,2.1,972.2,50.0,0.0,19.5,600.0,,383.0,
2017-10-13 14:10:00+00:00,2017-10-13 14:10:00+00:00,20212,145.0,2.2,2.2,972.2,51.0,0.0,19.5,600.0,,351.0,
2017-10-13 14:20:00+00:00,2017-10-13 14:20:00+00:00,20212,162.0,2.0,2.0,972.2,53.0,0.0,19.5,600.0,,298.0,
2017-10-13 14:30:00+00:00,2017-10-13 14:30:00+00:00,20212,166.0,1.9,1.9,972.1,54.0,0.0,19.4,600.0,,255.0,
2017-10-13 14:40:00+00:00,2017-10-13 14:40:00+00:00,20212,149.0,1.2,1.3,972.0,49.0,0.0,19.4,600.0,,191.0,
2017-10-13 14:50:00+00:00,2017-10-13 14:50:00+00:00,20212,105.0,0.9,1.1,972.0,49.0,0.0,19.8,600.0,,223.0,
2017-10-13 15:00:00+00:00,2017-10-13 15:00:00+00:00,20212,71.0,0.7,0.9,972.0,47.0,0.0,19.9,600.0,,234.0,
2017-10-13 15:10:00+00:00,2017-10-13 15:10:00+00:00,20212,34.0,1.2,1.2,972.0,47.0,0.0,19.7,414.0,,149.0,
2017-10-13 15:20:00+00:00,2017-10-13 15:20:00+00:00,20212,51.0,1.5,1.5,972.0,49.0,0.0,19.4,201.0,,96.0,
2017-10-13 15:30:00+00:00,2017-10-13 15:30:00+00:00,20212,54.0,1.4,1.4,972.1,52.0,0.0,19.4,600.0,,128.0,
2017-10-13 15:40:00+00:00,2017-10-13 15:40:00+00:00,20212,26.0,1.2,1.2,972.1,52.0,0.0,19.5,600.0,,85.0,
2017-10-13 15:50:00+00:00,2017-10-13 15:50:00+00:00,20212,36.0,1.0,1.1,972.2,54.0,0.0,18.9,600.0,,53.0,
2017-10-13 16:00:00+00:00,2017-10-13 16:00:00+00:00,20212,49.0,1.0,1.0,972.3,62.0,0.0,17.7,414.0,,21.0,
2017-10-13 16:10:00+00:00,2017-10-13 16:10:00+00:00,20212,23.0,0.9,0.9,972.4,69.0,0.0,16.9,0.0,,11.0,
2017-10-13 16:20:00+00:00,2017-10-13 16:20:00+00:00,20212,358.0,0.9,0.9,972.4,71.0,0.0,16.1,0.0,,11.0,
2017-10-13 16:30:00+00:00,2017-10-13 16:30:00+00:00,20212,356.0,1.1,1.1,972.6,74.0,0.0,15.3,0.0,,0.0,
2017-10-13 16:40:00+00:00,2017-10-13 16:40:00+00:00,20212,13.0,0.9,0.9,972.6,75.0,0.0,15.0,0.0,,0.0,
2017-10-13 16:50:00+00:00,2017-10-13 16:50:00+00:00,20212,339.0,0.9,1.0,972.7,78.0,0.0,14.9,0.0,,0.0,
2017-10-13 17:00:00+00:00,2017-10-13 17:00:00+00:00,20212,322.0,1.5,1.5,972.9,79.0,0.0,14.4,0.0,,0.0,
2017-10-13 17:10:00+00:00,2017-10-13 17:10:00+00:00,20212,342.0,1.0,1.1,973.0,81.0,0.0,13.9,0.0,,0.0,
2017-10-13 17:20:00+00:00,2017-10-13 17:20:00+00:00,20212,323.0,1.1,1.1,973.0,81.0,0.0,13.6,0.0,,0.0,
2017-10-13 17:30:00+00:00,2017-10-13 17:30:00+00:00,20212,317.0,0.9,0.9,973.1,82.0,0.0,13.3,0.0,,0.0,
2017-10-13 17:40:00+00:00,2017-10-13 17:40:00+00:00,20212,327.0,1.0,1.0,973.2,84.0,0.0,12.8,0.0,,0.0,
2017-10-13 17:50:00+00:00,2017-10-13 17:50:00+00:00,20212,311.0,1.0,1.1,973.2,84.0,0.0,12.8,0.0,,0.0,
2017-10-13 18:00:00+00:00,2017-10-13 18:00:00+00:00,20212,309.0,1.1,1.1,973.2,84.0,0.0,12.8,0.0,,0.0,
2017-10-13 18:10:00+00:00,2017-10-13 18:10:00+00:00,20212,323.0,1.2,1.3,973.3,84.0,0.0,12.6,0.0,,0.0,
2017-10-13 18:20:00+00:00,2017-10-13 18:20:00+00:00,20212,349.0,1.0,1.1,973.3,86.0,0.0,12.1,0.0,,0.0,
2017-10-13 18:30:00+00:00,2017-10-13 18:30:00+00:00,20212,331.0,0.6,0.7,973.5,86.0,0.0,11.9,0.0,,0.0,
2017-10-13 18:40:00+00:00,2017-10-13 18:40:00+00:00,20212,12.0,0.6,0.6,973.6,86.0,0.0,11.6,0.0,,0.0,
2017-10-13 18:50:00+00:00,2017-10-13 18:50:00+00:00,20212,355.0,0.9,1.0,973.7,87.0,0.0,11.1,0.0,,0.0,
2017-10-13 19:00:00+00:00,2017-10-13 19:00:00+00:00,20212,320.0,1.0,1.1,973.8,88.0,0.0,11.4,0.0,,0.0,
2017-10-13 19:10:00+00:00,2017-10-13 19:10:00+00:00,20212,318.0,1.6,1.6,974.0,88.0,0.0,11.4,0.0,,0.0,
2017-10-13 19:20:00+00:00,2017-10-13 19:20:00+00:00,20212,329.0,1.1,1.2,974.0,88.0,0.0,11.1,0.0,,0.0,
2017-10-13 19:30:00+00:00,2017-10-13 19:30:00+00:00,20212,328.0,1.1,1.1,974.1,88.0,0.0,11.0,0.0,,0.0,
2017-10-13 19:40:00+00:00,2017-10-13 19:40:00+00:00,20212,340.0,1.0,1.2,974.2,88.0,0.0,11.0,0.0,,0.0,
2017-10-13 19:50:00+00:00,2017-10-13 19:50:00+00:00,20212,325.0,2.4,2.5,974.3,89.0,0.0,10.7,0.0,,0.0,
