DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,5604,,,,,,,,,,,
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,5604,,,,,,,,,,,
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,5604,,,,,,,,,,,
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,5604,,,,,,,,,,,
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,5604,,,,,,,,,,,
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,5604,,,,,,,,,,,
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,5604,,,,,,,,,,,
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,5604,,,,,,,,,,,
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,5604,,,,,,,,,,,
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,5604,,,,,,,,,,,
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,5604,,,,,,,,,,,
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,5604,,,,,,,,,,,
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,5604,,,,,,,,,,,
2017-10-13 14:10:00+00:00,2017-10-13 14:10:00+00:00,5604,,,,,,,,,,,
2017-10-13 14:20:00+00:00,2017-10-13 14:20:00+00:00,5604,,,,,,,,,,,
2017-10-13 14:30:00+00:00,2017-10-13 14:30:00+00:00,5604,,,,,,,,,,,
2017-10-13 14:40:00+00:00,2017-10-13 14:40:00+00:00,5604,,,,,,,,,,,
2017-10-13 14:50:00+00:00,2017-10-13 14:50:00+00:00,5604,,,,,,,,,,,
2017-10-13 15:00:00+00:00,2017-10-13 15:00:00+00:00,5604,,,,,,,,,,,
2017-10-13 15:10:00+00:00,2017-10-13 15:10:00+00:00,5604,,,,,,,,,,,
2017-10-13 15:20:00+00:00,2017-10-13 15:20:00+00:00,5604,,,,,,,,,,,
2017-10-13 15:30:00+00:00,2017-10-13 15:30:00+00:00,5604,,,,,,,,,,,
2017-10-13 15:40:00+00:00,2017-10-13 15:40:00+00:00,5604,,,,,,,,,,,
2017-10-13 15:50:00+00:00,2017-10-13 15:50:00+00:00,5604,,,,,,,,,,,
2017-10-13 16:00:00+00:00,2017-10-13 16:00:00+00:00,5604,,,,,,,,,,,
2017-10-13 16:10:00+00:00,2017-10-13 16:10:00+00:00,5604,,,,,,,,,,,
2017-10-13 16:20:00+00:00,2017-10-13 16:20:00+00:00,5604,,,,,,,,,,,
2017-10-13 16:30:00+00:00,2017-10-13 16:30:00+00:00,5604,,,,,,,,,,,
2017-10-13 16:40:00+00:00,2017-10-13 16:40:00+00:00,5604,,,,,,,,,,,
