DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,5609,214.0,6.1,6.4,995.2,59.0,0.0,18.0,600.0,,513.0,
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,5609,220.0,6.3,6.5,995.2,59.0,0.0,18.3,600.0,,520.0,
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,5609,224.0,6.4,6.6,994.9,57.0,0.0,18.4,600.0,,492.0,
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,5609,221.0,6.0,6.2,994.8,59.0,0.0,18.1,600.0,,331.0,
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,5609,218.0,5.1,5.3,994.8,56.0,0.0,18.7,600.0,,415.0,
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,5609,219.0,5.8,6.0,994.8,57.0,0.0,18.4,600.0,,443.0,
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,5609,219.0,5.7,6.0,994.7,56.0,0.0,18.6,600.0,,422.0,
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,5609,215.0,5.4,5.7,994.7,54.0,0.0,18.5,600.0,,394.0,
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,5609,212.0,5.6,5.8,994.7,55.0,0.0,18.8,600.0,,394.0,
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,5609,218.0,5.8,6.1,994.6,55.0,0.0,18.8,600.0,,394.0,
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,5609,217.0,5.5,5.7,994.5,54.0,0.0,18.8,600.0,,331.0,
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,5609,216.0,6.1,6.4,994.6,54.0,0.0,18.7,600.0,,309.0,
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,5609,218.0,5.7,6.0,994.6,53.0,0.0,18.8,600.0,,295.0,
2017-10-13 14:10:00+00:00,2017-10-13 14:10:00+00:00,5609,219.0,5.3,5.6,994.5,54.0,0.0,18.7,600.0,,260.0,
2017-10-13 14:20:00+00:00,2017-10-13 14:20:00+00:00,5609,229.0,5.4,5.6,994.4,54.0,0.0,18.4,600.0,,197.0,
2017-10-13 14:30:00+00:00,2017-10-13 14:30:00+00:00,5609,226.0,5.4,5.6,994.5,54.0,0.0,18.6,600.0,,218.0,
2017-10-13 14:40:00+00:00,2017-10-13 14:40:00+00:00,5609,227.0,4.5,4.7,994.4,55.0,0.0,18.2,472.0,,134.0,
