DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,3315,259.0,3.3,3.5,946.7,67.0,0.0,14.4,600.0,,448.0,
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,3315,263.0,3.0,3.3,946.6,68.0,0.0,14.2,287.0,,281.0,
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,3315,257.0,2.4,2.7,946.7,65.0,0.0,14.5,299.0,,374.0,
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,3315,248.0,3.1,3.5,946.6,64.0,0.0,14.8,470.0,,441.0,
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,3315,272.0,3.2,3.3,946.6,65.0,0.0,14.4,340.0,,328.0,
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,3315,265.0,3.6,3.8,946.6,64.0,0.0,14.3,314.0,,274.0,
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,3315,276.0,2.8,3.2,946.5,64.0,0.0,15.1,599.0,,515.0,
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,3315,237.0,3.9,4.1,946.4,64.0,0.0,15.2,600.0,,461.0,
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,3315,252.0,3.0,3.3,946.3,64.0,0.0,15.2,600.0,,448.0,
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,3315,253.0,2.8,3.1,946.4,66.0,0.0,14.7,377.0,,241.0,
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,3315,249.0,2.4,2.5,946.4,65.0,0.0,14.8,317.0,,254.0,
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,3315,254.0,2.6,2.8,946.4,65.0,0.0,14.3,208.0,,180.0,
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,3315,277.0,1.9,2.0,946.4,66.0,0.0,14.0,0.0,,114.0,
2017-10-13 14:10:00+00:00,2017-10-13 14:10:00+00:00,3315,275.0,1.7,1.8,946.3,64.0,0.0,14.3,380.0,,274.0,
2017-10-13 14:20:00+00:00,2017-10-13 14:20:00+00:00,3315,311.0,1.3,1.6,946.3,63.0,0.0,14.8,600.0,,374.0,
2017-10-13 14:30:00+00:00,2017-10-13 14:30:00+00:00,3315,242.0,1.0,1.6,946.3,62.0,0.0,14.8,431.0,,241.0,
2017-10-13 14:40:00+00:00,2017-10-13 14:40:00+00:00,3315,250.0,1.9,2.1,946.3,64.0,0.0,14.4,217.0,,114.0,
2017-10-13 14:50:00+00:00,2017-10-13 14:50:00+00:00,3315,258.0,2.1,2.3,946.4,65.0,0.0,14.1,348.0,,147.0,
2017-10-13 15:00:00+00:00,2017-10-13 15:00:00+00:00,3315,256.0,1.7,1.9,946.4,66.0,0.0,13.9,0.0,,67.0,
2017-10-13 15:10:00+00:00,2017-10-13 15:10:00+00:00,3315,261.0,1.9,2.0,946.3,67.0,0.0,13.7,0.0,,60.0,
2017-10-13 15:20:00+00:00,2017-10-13 15:20:00+00:00,3315,267.0,2.2,2.3,946.3,70.0,0.0,13.3,0.0,,53.0,
2017-10-13 15:30:00+00:00,2017-10-13 15:30:00+00:00,3315,286.0,2.0,2.1,946.3,70.0,0.0,13.2,0.0,,53.0,
2017-10-13 15:40:00+00:00,2017-10-13 15:40:00+00:00,3315,297.0,1.2,1.3,946.3,71.0,0.0,13.0,0.0,,47.0,
2017-10-13 15:50:00+00:00,2017-10-13 15:50:00+00:00,3315,296.0,0.6,0.6,946.4,73.0,0.0,12.8,0.0,,40.0,
2017-10-13 16:00:00+00:00,2017-10-13 16:00:00+00:00,3315,134.0,0.2,0.5,946.4,74.0,0.0,12.5,0.0,,27.0,
2017-10-13 16:10:00+00:00,2017-10-13 16:10:00+00:00,3315,109.0,0.6,0.7,946.4,77.0,0.0,11.8,0.0,,13.0,
2017-10-13 16:20:00+00:00,2017-10-13 16:20:00+00:00,3315,227.0,0.4,0.6,946.5,82.0,0.0,11.2,0.0,,7.0,
2017-10-13 16:30:00+00:00,2017-10-13 16:30:00+00:00,3315,245.0,1.7,1.7,946.5,82.0,0.0,11.0,0.0,,0.0,
2017-10-13 16:40:00+00:00,2017-10-13 16:40:00+00:00,3315,260.0,2.0,2.0,946.6,83.0,0.0,10.7,0.0,,0.0,
2017-10-13 16:50:00+00:00,2017-10-13 16:50:00+00:00,3315,263.0,0.9,1.0,946.6,83.0,0.0,10.5,0.0,,0.0,
2017-10-13 17:00:00+00:00,2017-10-13 17:00:00+00:00,3315,129.0,0.5,0.6,946.7,85.0,0.0,9.9,0.0,,0.0,
2017-10-13 17:10:00+00:00,2017-10-13 17:10:00+00:00,3315,213.0,0.7,0.8,946.8,86.0,0.0,10.0,0.0,,0.0,
2017-10-13 17:20:00+00:00,2017-10-13 17:20:00+00:00,3315,229.0,1.4,1.4,946.9,87.0,0.0,9.9,0.0,,0.0,
2017-10-13 17:30:00+00:00,2017-10-13 17:30:00+00:00,3315,236.0,1.7,1.7,946.9,87.0,0.0,9.7,0.0,,0.0,
2017-10-13 17:40:00+00:00,2017-10-13 17:40:00+00:00,3315,279.0,1.2,1.3,946.9,90.0,0.0,9.0,0.0,,0.0,
2017-10-13 17:50:00+00:00,2017-10-13 17:50:00+00:00,3315,231.0,0.8,0.9,947.0,88.0,0.0,8.6,0.0,,0.0,
2017-10-13 18:00:00+00:00,2017-10-13 18:00:00+00:00,3315,184.0,0.4,0.6,947.0,91.0,0.0,8.6,0.0,,0.0,
2017-10-13 18:10:00+00:00,2017-10-13 18:10:00+00:00,3315,222.0,0.6,0.6,946.9,91.0,0.0,8.5,0.0,,0.0,
2017-10-13 18:20:00+00:00,2017-10-13 18:20:00+00:00,3315,229.0,0.9,1.0,946.9,91.0,0.0,8.7,0.0,,0.0,
2017-10-13 18:30:00+00:00,2017-10-13 18:30:00+00:00,3315,251.0,1.0,1.0,947.0,92.0,0.0,8.4,0.0,,0.0,
2017-10-13 18:40:00+00:00,2017-10-13 18:40:00+00:00,3315,249.0,0.9,0.9,947.1,91.0,0.0,8.6,0.0,,0.0,
2017-10-13 18:50:00+00:00,2017-10-13 18:50:00+00:00,3315,260.0,0.7,0.8,947.4,92.0,0.0,8.5,0.0,,0.0,
2017-10-13 19:00:00+00:00,2017-10-13 19:00:00+00:00,3315,244.0,1.3,1.4,947.3,92.0,0.0,9.0,0.0,,0.0,
2017-10-13 19:10:00+00:00,2017-10-13 19:10:00+00:00,3315,230.0,0.8,0.9,947.3,92.0,0.0,9.0,0.0,,0.0,
2017-10-13 19:20:00+00:00,2017-10-13 19:20:00+00:00,3315,239.0,0.3,0.6,947.4,92.0,0.0,8.9,0.0,,0.0,
2017-10-13 19:30:00+00:00,2017-10-13 19:30:00+00:00,3315,258.0,0.8,0.9,947.5,93.0,0.0,9.0,0.0,,0.0,
2017-10-13 19:40:00+00:00,2017-10-13 19:40:00+00:00,3315,255.0,0.7,0.7,947.5,93.0,0.0,9.1,0.0,,0.0,
2017-10-13 19:50:00+00:00,2017-10-13 19:50:00+00:00,3315,279.0,0.5,0.6,947.6,93.0,0.0,9.2,0.0,,0.0,
2017-10-13 20:00:00+00:00,2017-10-13 20:00:00+00:00,3315,257.0,0.7,0.8,947.6,93.0,0.0,9.2,0.0,,0.0,
2017-10-13 20:10:00+00:00,2017-10-13 20:10:00+00:00,3315,226.0,1.2,1.3,947.5,92.0,0.0,9.7,0.0,,0.0,
2017-10-13 20:20:00+00:00,2017-10-13 20:20:00+00:00,3315,259.0,1.0,1.1,947.5,93.0,0.0,9.3,0.0,,0.0,
2017-10-13 20:30:00+00:00,2017-10-13 20:30:00+00:00,3315,306.0,0.9,1.0,947.6,93.0,0.0,9.1,0.0,,0.0,
2017-10-13 20:40:00+00:00,2017-10-13 20:40:00+00:00,3315,263.0,0.9,0.9,947.6,92.0,0.0,9.3,0.0,,0.0,
2017-10-13 20:50:00+00:00,2017-10-13 20:50:00+00:00,3315,244.0,0.1,0.4,947.7,93.0,0.0,9.1,0.0,,0.0,
