DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,127,179.0,0.6,0.7,921.1,62.0,0.0,14.7,600.0,,411.0,14822.0
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,127,191.0,0.8,0.9,921.0,64.0,0.0,14.4,600.0,,419.0,14822.0
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,127,162.0,0.7,0.7,921.0,63.0,0.0,14.5,600.0,,450.0,14822.0
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,127,179.0,0.8,0.8,920.9,62.0,0.0,15.0,600.0,,465.0,14822.0
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,127,138.0,0.5,0.5,920.8,60.0,0.0,15.7,600.0,,473.0,14822.0
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,127,124.0,0.7,0.8,920.8,60.0,0.0,15.6,600.0,,442.0,14822.0
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,127,155.0,0.6,0.6,920.7,62.0,0.0,15.5,600.0,,388.0,14822.0
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,127,158.0,0.5,0.6,920.7,61.0,0.0,15.5,600.0,,372.0,14822.0
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,127,180.0,0.8,0.8,920.7,63.0,0.0,15.1,600.0,,333.0,14822.0
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,127,177.0,0.8,0.9,920.7,62.0,0.0,15.0,600.0,,318.0,14822.0
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,127,163.0,0.7,0.8,920.7,60.0,0.0,15.9,600.0,,388.0,14822.0
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,127,183.0,0.9,1.0,920.5,60.0,0.0,15.7,600.0,,411.0,14822.0
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,127,190.0,1.0,1.0,920.5,58.0,0.0,15.9,600.0,,380.0,14822.0
2017-10-13 14:10:00+00:00,2017-10-13 14:10:00+00:00,127,168.0,0.6,0.7,920.5,60.0,0.0,15.6,600.0,,326.0,14822.0
2017-10-13 14:20:00+00:00,2017-10-13 14:20:00+00:00,127,157.0,0.6,0.7,920.5,62.0,0.0,15.3,600.0,,264.0,14822.0
2017-10-13 14:30:00+00:00,2017-10-13 14:30:00+00:00,127,132.0,1.1,1.2,920.8,61.0,0.0,15.1,600.0,,194.0,14822.0
2017-10-13 14:40:00+00:00,2017-10-13 14:40:00+00:00,127,172.0,0.8,0.8,920.8,66.0,0.0,14.4,600.0,,140.0,14822.0
