DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,11146,285.0,2.0,2.1,981.0,84.0,0.0,14.7,600.0,,526.0,
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,11146,294.0,2.4,2.5,980.9,81.0,0.0,15.0,600.0,,519.0,
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,11146,298.0,2.6,2.6,980.8,83.0,0.0,15.0,600.0,,431.0,
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,11146,306.0,2.5,2.5,980.8,83.0,0.0,14.9,600.0,,317.0,
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,11146,307.0,2.6,2.6,980.7,83.0,0.0,15.4,600.0,,355.0,
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,11146,304.0,2.8,2.8,980.7,80.0,0.0,15.7,600.0,,462.0,
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,11146,301.0,2.8,2.9,980.7,81.0,0.0,15.5,600.0,,418.0,
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,11146,297.0,2.8,2.8,980.7,81.0,0.0,15.7,600.0,,374.0,
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,11146,291.0,2.6,2.7,980.7,81.0,0.0,15.9,600.0,,367.0,
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,11146,286.0,2.6,2.6,980.4,80.0,0.0,15.9,600.0,,342.0,
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,11146,283.0,2.4,2.4,980.4,80.0,0.0,15.8,600.0,,310.0,
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,11146,290.0,1.6,1.6,980.4,78.0,0.0,16.1,600.0,,304.0,
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,11146,294.0,1.5,1.6,980.3,79.0,0.0,16.1,600.0,,285.0,
2017-10-13 14:10:00+00:00,2017-10-13 14:10:00+00:00,11146,296.0,1.5,1.5,980.2,78.0,0.0,16.2,600.0,,355.0,
2017-10-13 14:20:00+00:00,2017-10-13 14:20:00+00:00,11146,280.0,1.2,1.3,980.2,79.0,0.0,16.3,600.0,,342.0,
2017-10-13 14:30:00+00:00,2017-10-13 14:30:00+00:00,11146,301.0,1.1,1.1,980.1,77.0,0.0,16.3,600.0,,329.0,
2017-10-13 14:40:00+00:00,2017-10-13 14:40:00+00:00,11146,310.0,1.0,1.0,980.2,80.0,0.0,16.5,600.0,,247.0,
2017-10-13 14:50:00+00:00,2017-10-13 14:50:00+00:00,11146,298.0,0.6,0.6,980.1,77.0,0.0,16.6,600.0,,228.0,
2017-10-13 15:00:00+00:00,2017-10-13 15:00:00+00:00,11146,313.0,1.0,1.0,980.0,80.0,0.0,16.7,600.0,,222.0,
