DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,145,339.0,1.4,1.6,978.1,58.0,0.0,19.2,600.0,,444.0,6305.0
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,145,350.0,1.0,1.2,978.1,60.0,0.0,19.0,435.0,,338.0,6305.0
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,145,335.0,0.4,0.8,978.0,62.0,0.0,18.7,372.0,,257.0,6305.0
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,145,357.0,1.1,1.3,978.0,59.0,0.0,19.2,592.0,,375.0,6305.0
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,145,353.0,1.3,1.5,978.0,58.0,0.0,19.9,589.0,,438.0,6305.0
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,145,344.0,1.4,1.7,978.0,59.0,0.0,19.0,547.0,,294.0,6305.0
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,145,347.0,1.1,1.3,978.0,58.0,0.0,19.4,600.0,,451.0,6305.0
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,145,6.0,1.9,2.2,977.9,56.0,0.0,20.2,600.0,,494.0,6305.0
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,145,352.0,1.0,1.3,977.8,58.0,0.0,19.8,600.0,,426.0,6305.0
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,145,335.0,1.0,1.1,977.8,57.0,0.0,19.9,600.0,,426.0,6305.0
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,145,27.0,1.0,1.3,977.7,59.0,0.0,19.7,600.0,,338.0,6305.0
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,145,323.0,0.3,0.7,977.7,60.0,0.0,19.4,600.0,,307.0,6305.0
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,145,4.0,1.4,1.6,977.6,57.0,0.0,20.2,600.0,,388.0,6305.0
2017-10-13 14:10:00+00:00,2017-10-13 14:10:00+00:00,145,357.0,1.5,1.7,977.6,58.0,0.0,19.5,600.0,,313.0,6305.0
2017-10-13 14:20:00+00:00,2017-10-13 14:20:00+00:00,145,349.0,1.2,1.2,977.5,61.0,0.0,18.7,600.0,,319.0,6305.0
2017-10-13 14:30:00+00:00,2017-10-13 14:30:00+00:00,145,345.0,0.9,1.1,977.4,62.0,0.0,18.6,600.0,,288.0,6305.0
2017-10-13 14:40:00+00:00,2017-10-13 14:40:00+00:00,145,1.0,1.2,1.3,977.4,62.0,0.0,18.3,600.0,,225.0,6305.0
2017-10-13 14:50:00+00:00,2017-10-13 14:50:00+00:00,145,341.0,1.5,1.6,977.3,64.0,0.0,18.1,533.0,,213.0,6305.0
2017-10-13 15:00:00+00:00,2017-10-13 15:00:00+00:00,145,353.0,1.0,1.1,977.3,64.0,0.0,17.8,436.0,,175.0,6305.0
2017-10-13 15:10:00+00:00,2017-10-13 15:10:00+00:00,145,344.0,0.8,0.9,977.3,62.0,0.0,17.6,280.0,,100.0,6305.0
2017-10-13 15:20:00+00:00,2017-10-13 15:20:00+00:00,145,347.0,0.2,0.5,977.4,68.0,0.0,17.2,475.0,,94.0,6305.0
2017-10-13 15:30:00+00:00,2017-10-13 15:30:00+00:00,145,350.0,1.1,1.2,977.5,64.0,0.0,17.4,0.0,,69.0,6305.0
2017-10-13 15:40:00+00:00,2017-10-13 15:40:00+00:00,145,331.0,0.8,0.8,977.5,66.0,0.0,17.0,0.0,,63.0,6305.0
2017-10-13 15:50:00+00:00,2017-10-13 15:50:00+00:00,145,322.0,0.9,1.0,977.5,66.0,0.0,16.9,0.0,,44.0,6305.0
2017-10-13 16:00:00+00:00,2017-10-13 16:00:00+00:00,145,360.0,0.3,0.4,977.7,70.0,0.0,16.3,0.0,,25.0,6305.0
2017-10-13 16:10:00+00:00,2017-10-13 16:10:00+00:00,145,347.0,0.2,0.3,977.7,75.0,0.0,15.5,0.0,,19.0,6305.0
2017-10-13 16:20:00+00:00,2017-10-13 16:20:00+00:00,145,5.0,0.3,0.4,977.8,76.0,0.0,15.2,0.0,,6.0,6305.0
2017-10-13 16:30:00+00:00,2017-10-13 16:30:00+00:00,145,295.0,0.5,0.6,977.8,80.0,0.0,14.7,0.0,,0.0,6305.0
2017-10-13 16:40:00+00:00,2017-10-13 16:40:00+00:00,145,288.0,0.4,0.4,977.9,80.0,0.0,14.5,0.0,,0.0,6305.0
2017-10-13 16:50:00+00:00,2017-10-13 16:50:00+00:00,145,270.0,0.1,0.2,978.0,83.0,0.0,13.9,0.0,,0.0,6305.0
2017-10-13 17:00:00+00:00,2017-10-13 17:00:00+00:00,145,169.0,0.6,0.7,978.1,85.0,0.0,13.3,0.0,,0.0,6305.0
2017-10-13 17:10:00+00:00,2017-10-13 17:10:00+00:00,145,182.0,0.4,0.4,978.2,88.0,0.0,12.7,0.0,,0.0,6305.0
2017-10-13 17:20:00+00:00,2017-10-13 17:20:00+00:00,145,285.0,0.4,0.4,978.4,88.0,0.0,12.7,0.0,,0.0,6305.0
2017-10-13 17:30:00+00:00,2017-10-13 17:30:00+00:00,145,248.0,0.2,0.2,978.4,89.0,0.0,12.6,0.0,,0.0,6305.0
2017-10-13 17:40:00+00:00,2017-10-13 17:40:00+00:00,145,194.0,0.2,0.2,978.4,90.0,0.0,12.2,0.0,,0.0,6305.0
2017-10-13 17:50:00+00:00,2017-10-13 17:50:00+00:00,145,220.0,0.3,0.3,978.4,92.0,0.0,11.9,0.0,,0.0,6305.0
2017-10-13 18:00:00+00:00,2017-10-13 18:00:00+00:00,145,17.0,0.1,0.2,978.5,93.0,0.0,11.8,0.0,,0.0,6305.0
2017-10-13 18:10:00+00:00,2017-10-13 18:10:00+00:00,145,344.0,0.4,0.4,978.6,93.0,0.0,11.9,0.0,,0.0,6305.0
2017-10-13 18:20:00+00:00,2017-10-13 18:20:00+00:00,145,295.0,0.4,0.4,978.7,92.0,0.0,11.8,0.0,,0.0,6305.0
2017-10-13 18:30:00+00:00,2017-10-13 18:30:00+00:00,145,246.0,0.5,0.5,978.8,94.0,0.0,11.3,0.0,,0.0,6305.0
2017-10-13 18:40:00+00:00,2017-10-13 18:40:00+00:00,145,219.0,0.4,0.4,978.9,94.0,0.0,10.9,0.0,,0.0,6305.0
2017-10-13 18:50:00+00:00,2017-10-13 18:50:00+00:00,145,0.0,0.0,0.2,979.0,95.0,0.0,11.0,0.0,,0.0,6305.0
2017-10-13 19:00:00+00:00,2017-10-13 19:00:00+00:00,145,305.0,0.2,0.2,979.0,95.0,0.0,10.8,0.0,,0.0,6305.0
2017-10-13 19:10:00+00:00,2017-10-13 19:10:00+00:00,145,337.0,0.4,0.4,979.0,95.0,0.0,10.8,0.0,,0.0,6305.0
2017-10-13 19:20:00+00:00,2017-10-13 19:20:00+00:00,145,301.0,0.4,0.4,979.0,95.0,0.0,10.8,0.0,,0.0,6305.0
2017-10-13 19:30:00+00:00,2017-10-13 19:30:00+00:00,145,0.0,0.0,0.2,979.1,96.0,0.0,9.9,0.0,,0.0,6305.0
2017-10-13 19:40:00+00:00,2017-10-13 19:40:00+00:00,145,210.0,0.2,0.3,979.2,96.0,0.0,9.8,0.0,,0.0,6305.0
2017-10-13 19:50:00+00:00,2017-10-13 19:50:00+00:00,145,221.0,0.5,0.5,979.2,96.0,0.0,10.3,0.0,,0.0,6305.0
2017-10-13 20:00:00+00:00,2017-10-13 20:00:00+00:00,145,272.0,0.2,0.2,979.3,96.0,0.0,10.1,0.0,,0.0,6305.0
2017-10-13 20:10:00+00:00,2017-10-13 20:10:00+00:00,145,0.0,0.0,0.2,979.3,97.0,0.0,10.1,0.0,,0.0,6305.0
2017-10-13 20:20:00+00:00,2017-10-13 20:20:00+00:00,145,227.0,0.2,0.2,979.3,97.0,0.0,9.8,0.0,,0.0,6305.0
2017-10-13 20:30:00+00:00,2017-10-13 20:30:00+00:00,145,304.0,0.2,0.2,979.5,97.0,0.0,9.7,0.0,,0.0,6305.0
2017-10-13 20:40:00+00:00,2017-10-13 20:40:00+00:00,145,13.0,0.3,0.3,979.5,97.0,0.0,9.1,0.0,,0.0,6305.0
2017-10-13 20:50:00+00:00,2017-10-13 20:50:00+00:00,145,357.0,0.3,0.3,979.5,98.0,0.0,9.6,0.0,,0.0,6305.0
2017-10-13 21:00:00+00:00,2017-10-13 21:00:00+00:00,145,337.0,0.3,0.4,979.5,98.0,0.0,9.4,0.0,,0.0,6305.0
2017-10-13 21:10:00+00:00,2017-10-13 21:10:00+00:00,145,182.0,0.1,0.2,979.3,98.0,0.0,9.3,0.0,,0.0,6305.0
2017-10-13 21:20:00+00:00,2017-10-13 21:20:00+00:00,145,359.0,0.3,0.3,979.3,98.0,0.0,9.6,0.0,,0.0,6305.0
2017-10-13 21:30:00+00:00,2017-10-13 21:30:00+00:00,145,358.0,0.3,0.3,979.5,98.0,0.0,9.3,0.0,,0.0,6305.0
2017-10-13 21:40:00+00:00,2017-10-13 21:40:00+00:00,145,3.0,0.3,0.4,979.5,98.0,0.0,9.3,0.0,,0.0,6305.0
2017-10-13 21:50:00+00:00,2017-10-13 21:50:00+00:00,145,193.0,0.1,0.2,979.5,97.0,0.0,8.7,0.0,,0.0,6305.0
2017-10-13 22:00:00+00:00,2017-10-13 22:00:00+00:00,145,149.0,0.2,0.3,979.5,98.0,0.0,8.6,0.0,,0.0,6305.0
2017-10-13 22:10:00+00:00,2017-10-13 22:10:00+00:00,145,119.0,0.1,0.3,979.3,98.0,0.0,8.6,0.0,,0.0,6305.0
2017-10-13 22:20:00+00:00,2017-10-13 22:20:00+00:00,145,14.0,0.7,0.7,979.3,98.0,0.0,8.9,0.0,,0.0,6305.0
2017-10-13 22:30:00+00:00,2017-10-13 22:30:00+00:00,145,9.0,0.7,0.7,979.3,98.0,0.0,9.1,0.0,,0.0,6305.0
2017-10-13 22:40:00+00:00,2017-10-13 22:40:00+00:00,145,352.0,0.4,0.5,979.5,98.0,0.0,8.9,0.0,,0.0,6305.0
2017-10-13 22:50:00+00:00,2017-10-13 22:50:00+00:00,145,31.0,0.4,0.4,979.5,98.0,0.0,8.5,0.0,,0.0,6305.0
2017-10-13 23:00:00+00:00,2017-10-13 23:00:00+00:00,145,13.0,0.3,0.3,979.5,98.0,0.0,8.4,0.0,,0.0,6305.0
2017-10-13 23:10:00+00:00,2017-10-13 23:10:00+00:00,145,55.0,0.4,0.5,979.6,98.0,0.0,7.9,0.0,,0.0,6305.0
2017-10-13 23:20:00+00:00,2017-10-13 23:20:00+00:00,145,0.0,0.0,0.3,979.6,98.0,0.0,8.3,0.0,,0.0,6305.0
2017-10-13 23:30:00+00:00,2017-10-13 23:30:00+00:00,145,4.0,0.4,0.4,979.6,98.0,0.0,8.4,0.0,,0.0,6305.0
2017-10-13 23:40:00+00:00,2017-10-13 23:40:00+00:00,145,16.0,0.4,0.4,979.6,98.0,0.0,8.3,0.0,,0.0,6305.0
2017-10-13 23:50:00+00:00,2017-10-13 23:50:00+00:00,145,358.0,0.2,0.3,979.6,97.0,0.0,7.5,0.0,,0.0,6305.0
2017-10-14 00:00:00+00:00,2017-10-14 00:00:00+00:00,145,0.0,0.0,0.2,979.6,98.0,0.0,7.9,0.0,,0.0,6305.0
2017-10-14 00:10:00+00:00,2017-10-14 00:10:00+00:00,145,311.0,0.4,0.4,979.7,98.0,0.0,8.0,0.0,,0.0,6305.0
2017-10-14 00:20:00+00:00,2017-10-14 00:20:00+00:00,145,341.0,0.4,0.4,979.7,98.0,0.0,8.2,0.0,,0.0,6305.0
2017-10-14 00:30:00+00:00,2017-10-14 00:30:00+00:00,145,250.0,0.1,0.3,979.6,98.0,0.0,7.4,0.0,,0.0,6305.0
2017-10-14 00:40:00+00:00,2017-10-14 00:40:00+00:00,145,35.0,0.1,0.4,979.6,98.0,0.0,7.9,0.0,,0.0,6305.0
2017-10-14 00:50:00+00:00,2017-10-14 00:50:00+00:00,145,24.0,0.2,0.3,979.5,98.0,0.0,8.1,0.0,,0.0,6305.0
2017-10-14 01:00:00+00:00,2017-10-14 01:00:00+00:00,145,11.0,0.6,0.6,979.3,98.0,0.0,8.2,0.0,,0.0,6305.0
2017-10-14 01:10:00+00:00,2017-10-14 01:10:00+00:00,145,359.0,0.5,0.5,979.3,98.0,0.0,7.8,0.0,,0.0,6305.0
2017-10-14 01:20:00+00:00,2017-10-14 01:20:00+00:00,145,313.0,0.4,0.5,979.2,98.0,0.0,7.9,0.0,,0.0,6305.0
2017-10-14 01:30:00+00:00,2017-10-14 01:30:00+00:00,145,239.0,0.2,0.3,979.2,98.0,0.0,7.7,0.0,,0.0,6305.0
2017-10-14 01:40:00+00:00,2017-10-14 01:40:00+00:00,145,353.0,0.4,0.4,979.2,98.0,0.0,7.4,0.0,,0.0,6305.0
2017-10-14 01:50:00+00:00,2017-10-14 01:50:00+00:00,145,14.0,0.4,0.4,979.1,98.0,0.0,7.3,0.0,,0.0,6305.0
2017-10-14 02:00:00+00:00,2017-10-14 02:00:00+00:00,145,30.0,0.5,0.5,979.1,98.0,0.0,7.0,0.0,,0.0,6305.0
2017-10-14 02:10:00+00:00,2017-10-14 02:10:00+00:00,145,317.0,0.3,0.3,979.1,99.0,0.0,7.6,0.0,,0.0,6305.0
2017-10-14 02:20:00+00:00,2017-10-14 02:20:00+00:00,145,347.0,0.4,0.4,979.1,99.0,0.0,7.8,0.0,,0.0,6305.0
2017-10-14 02:30:00+00:00,2017-10-14 02:30:00+00:00,145,332.0,0.4,0.4,979.0,98.0,0.0,7.8,0.0,,0.0,6305.0
2017-10-14 02:40:00+00:00,2017-10-14 02:40:00+00:00,145,116.0,0.3,0.4,979.0,99.0,0.0,6.6,0.0,,0.0,6305.0
2017-10-14 02:50:00+00:00,2017-10-14 02:50:00+00:00,145,0.0,0.0,0.5,979.1,99.0,0.0,7.3,0.0,,0.0,6305.0
2017-10-14 03:00:00+00:00,2017-10-14 03:00:00+00:00,145,0.0,0.0,0.2,979.1,99.0,0.0,7.2,0.0,,0.0,6305.0
2017-10-14 03:10:00+00:00,2017-10-14 03:10:00+00:00,145,181.0,0.2,0.4,979.1,99.0,0.0,6.9,0.0,,0.0,6305.0
2017-10-14 03:20:00+00:00,2017-10-14 03:20:00+00:00,145,168.0,0.1,0.3,979.2,99.0,0.0,7.0,0.0,,0.0,6305.0
2017-10-14 03:30:00+00:00,2017-10-14 03:30:00+00:00,145,65.0,0.2,0.3,979.2,99.0,0.0,6.8,0.0,,0.0,6305.0
2017-10-14 03:40:00+00:00,2017-10-14 03:40:00+00:00,145,60.0,0.1,0.3,979.2,99.0,0.0,6.9,0.0,,0.0,6305.0
2017-10-14 03:50:00+00:00,2017-10-14 03:50:00+00:00,145,64.0,0.2,0.4,979.3,99.0,0.0,6.5,0.0,,0.0,6305.0
2017-10-14 04:00:00+00:00,2017-10-14 04:00:00+00:00,145,28.0,0.4,0.4,979.5,99.0,0.0,6.7,0.0,,0.0,6305.0
2017-10-14 04:10:00+00:00,2017-10-14 04:10:00+00:00,145,54.0,0.2,0.3,979.5,99.0,0.0,6.8,0.0,,0.0,6305.0
2017-10-14 04:20:00+00:00,2017-10-14 04:20:00+00:00,145,319.0,0.4,0.4,979.6,99.0,0.0,7.0,0.0,,0.0,6305.0
2017-10-14 04:30:00+00:00,2017-10-14 04:30:00+00:00,145,319.0,0.4,0.5,979.6,98.0,0.0,6.3,0.0,,0.0,6305.0
2017-10-14 04:40:00+00:00,2017-10-14 04:40:00+00:00,145,17.0,0.7,0.7,979.6,99.0,0.0,6.5,0.0,,0.0,6305.0
