DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,20123,36.0,1.6,1.6,967.6,51.0,0.0,19.2,600.0,,544.0,
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,20123,34.0,1.3,1.4,967.5,49.0,0.0,19.6,600.0,,531.0,
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,20123,356.0,0.9,1.2,967.4,49.0,0.0,19.9,600.0,,558.0,
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,20123,62.0,1.0,1.2,967.3,44.0,0.0,20.2,600.0,,517.0,
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,20123,228.0,0.5,0.8,967.1,46.0,0.0,20.5,600.0,,463.0,
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,20123,8.0,0.3,0.4,967.0,47.0,0.0,20.7,600.0,,415.0,
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,20123,171.0,0.9,1.1,966.9,42.0,0.0,20.8,600.0,,449.0,
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,20123,112.0,0.6,1.0,966.9,45.0,0.0,20.9,600.0,,442.0,
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,20123,121.0,1.4,1.6,966.9,44.0,0.0,20.8,600.0,,408.0,
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,20123,122.0,2.0,2.2,966.9,46.0,0.0,21.0,600.0,,408.0,
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,20123,134.0,1.8,1.9,966.9,46.0,0.0,20.9,600.0,,293.0,
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,20123,115.0,1.8,1.9,967.0,47.0,0.0,20.3,600.0,,163.0,
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,20123,105.0,1.5,1.7,967.1,47.0,0.0,20.5,600.0,,252.0,
2017-10-13 14:10:00+00:00,2017-10-13 14:10:00+00:00,20123,120.0,2.4,2.5,967.0,47.0,0.0,20.4,600.0,,286.0,
2017-10-13 14:20:00+00:00,2017-10-13 14:20:00+00:00,20123,123.0,2.4,2.5,967.0,48.0,0.0,20.2,600.0,,259.0,
2017-10-13 14:30:00+00:00,2017-10-13 14:30:00+00:00,20123,129.0,2.2,2.3,967.1,51.0,0.0,19.8,600.0,,170.0,
2017-10-13 14:40:00+00:00,2017-10-13 14:40:00+00:00,20123,133.0,2.2,2.2,967.0,51.0,0.0,19.7,600.0,,177.0,
2017-10-13 14:50:00+00:00,2017-10-13 14:50:00+00:00,20123,133.0,1.8,1.9,967.0,52.0,0.0,19.7,600.0,,156.0,
2017-10-13 15:00:00+00:00,2017-10-13 15:00:00+00:00,20123,148.0,1.1,1.2,966.9,51.0,0.0,19.8,600.0,,184.0,
2017-10-13 15:10:00+00:00,2017-10-13 15:10:00+00:00,20123,147.0,1.1,1.2,966.9,52.0,0.0,19.8,468.0,,184.0,
2017-10-13 15:20:00+00:00,2017-10-13 15:20:00+00:00,20123,150.0,1.2,1.2,966.9,52.0,0.0,19.7,600.0,,143.0,
2017-10-13 15:30:00+00:00,2017-10-13 15:30:00+00:00,20123,141.0,0.8,0.9,966.9,54.0,0.0,19.6,600.0,,88.0,
2017-10-13 15:40:00+00:00,2017-10-13 15:40:00+00:00,20123,148.0,0.8,0.8,967.0,55.0,0.0,19.4,600.0,,75.0,
2017-10-13 15:50:00+00:00,2017-10-13 15:50:00+00:00,20123,141.0,0.9,0.9,967.0,56.0,0.0,19.1,284.0,,41.0,
2017-10-13 16:00:00+00:00,2017-10-13 16:00:00+00:00,20123,139.0,1.1,1.1,967.1,59.0,0.0,18.6,0.0,,27.0,
2017-10-13 16:10:00+00:00,2017-10-13 16:10:00+00:00,20123,134.0,0.9,0.9,967.3,60.0,0.0,18.2,0.0,,14.0,
2017-10-13 16:20:00+00:00,2017-10-13 16:20:00+00:00,20123,99.0,0.7,0.8,967.4,62.0,0.0,17.6,0.0,,7.0,
2017-10-13 16:30:00+00:00,2017-10-13 16:30:00+00:00,20123,39.0,0.9,0.9,967.5,68.0,0.0,16.9,0.0,,7.0,
2017-10-13 16:40:00+00:00,2017-10-13 16:40:00+00:00,20123,50.0,1.2,1.2,967.7,71.0,0.0,16.5,0.0,,0.0,
2017-10-13 16:50:00+00:00,2017-10-13 16:50:00+00:00,20123,44.0,1.2,1.2,967.9,72.0,0.0,16.0,0.0,,0.0,
2017-10-13 17:00:00+00:00,2017-10-13 17:00:00+00:00,20123,44.0,0.2,0.4,968.0,76.0,0.0,15.4,0.0,,0.0,
2017-10-13 17:10:00+00:00,2017-10-13 17:10:00+00:00,20123,89.0,0.2,0.4,968.1,77.0,0.0,15.1,0.0,,0.0,
2017-10-13 17:20:00+00:00,2017-10-13 17:20:00+00:00,20123,213.0,0.4,0.6,968.1,79.0,0.0,14.6,0.0,,0.0,
2017-10-13 17:30:00+00:00,2017-10-13 17:30:00+00:00,20123,188.0,0.5,0.8,968.1,84.0,0.0,13.9,0.0,,0.0,
2017-10-13 17:40:00+00:00,2017-10-13 17:40:00+00:00,20123,149.0,0.2,0.3,968.2,85.0,0.0,13.6,0.0,,0.0,
2017-10-13 17:50:00+00:00,2017-10-13 17:50:00+00:00,20123,165.0,0.6,0.6,968.4,86.0,0.0,13.3,0.0,,0.0,
2017-10-13 18:00:00+00:00,2017-10-13 18:00:00+00:00,20123,165.0,0.7,0.7,968.5,88.0,0.0,12.8,0.0,,0.0,
2017-10-13 18:10:00+00:00,2017-10-13 18:10:00+00:00,20123,209.0,0.9,0.9,968.5,88.0,0.0,12.6,0.0,,0.0,
2017-10-13 18:20:00+00:00,2017-10-13 18:20:00+00:00,20123,251.0,0.9,1.0,968.6,88.0,0.0,12.5,0.0,,0.0,
2017-10-13 18:30:00+00:00,2017-10-13 18:30:00+00:00,20123,151.0,0.3,0.4,968.7,89.0,0.0,12.1,0.0,,0.0,
2017-10-13 18:40:00+00:00,2017-10-13 18:40:00+00:00,20123,220.0,0.6,0.7,968.8,86.0,0.0,12.4,0.0,,0.0,
2017-10-13 18:50:00+00:00,2017-10-13 18:50:00+00:00,20123,239.0,0.5,0.5,968.8,91.0,0.0,11.8,0.0,,0.0,
2017-10-13 19:00:00+00:00,2017-10-13 19:00:00+00:00,20123,166.0,0.4,0.5,968.9,90.0,0.0,11.6,0.0,,0.0,
2017-10-13 19:10:00+00:00,2017-10-13 19:10:00+00:00,20123,248.0,0.6,0.8,969.1,91.0,0.0,11.2,0.0,,0.0,
2017-10-13 19:20:00+00:00,2017-10-13 19:20:00+00:00,20123,259.0,0.6,0.8,969.1,91.0,0.0,11.2,0.0,,0.0,
