DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,5805,274.0,4.2,4.3,999.2,51.0,0.0,19.2,365.0,,417.0,
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,5805,276.0,4.8,4.9,999.0,53.0,0.0,19.7,600.0,,520.0,
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,5805,280.0,4.2,4.4,999.0,54.0,0.0,19.0,302.0,,290.0,
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,5805,280.0,3.2,3.3,998.8,53.0,0.0,19.4,557.0,,375.0,
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,5805,276.0,4.2,4.4,998.8,54.0,0.0,19.1,414.0,,296.0,
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,5805,278.0,3.2,3.3,998.8,55.0,0.0,18.8,140.0,,169.0,
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,5805,285.0,2.7,2.8,998.7,54.0,0.0,18.9,332.0,,260.0,
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,5805,280.0,3.5,3.6,998.6,54.0,0.0,19.5,600.0,,356.0,
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,5805,277.0,3.1,3.2,998.6,52.0,0.0,19.5,600.0,,338.0,
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,5805,287.0,2.8,3.0,998.6,52.0,0.0,19.7,600.0,,326.0,
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,5805,286.0,4.8,5.0,998.6,54.0,0.0,19.3,600.0,,326.0,
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,5805,282.0,3.6,3.7,998.5,52.0,0.0,19.5,600.0,,320.0,
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,5805,280.0,3.9,4.2,998.4,51.0,0.0,19.7,600.0,,308.0,
2017-10-13 14:10:00+00:00,2017-10-13 14:10:00+00:00,5805,280.0,3.2,3.5,998.5,51.0,0.0,19.7,600.0,,278.0,
2017-10-13 14:20:00+00:00,2017-10-13 14:20:00+00:00,5805,279.0,4.2,4.3,998.5,52.0,0.0,19.6,600.0,,260.0,
2017-10-13 14:30:00+00:00,2017-10-13 14:30:00+00:00,5805,275.0,3.4,3.5,998.4,52.0,0.0,19.2,600.0,,224.0,
2017-10-13 14:40:00+00:00,2017-10-13 14:40:00+00:00,5805,276.0,3.5,3.6,998.4,53.0,0.0,19.2,600.0,,199.0,
2017-10-13 14:50:00+00:00,2017-10-13 14:50:00+00:00,5805,283.0,2.9,3.0,998.2,53.0,0.0,18.7,600.0,,175.0,
2017-10-13 15:00:00+00:00,2017-10-13 15:00:00+00:00,5805,274.0,3.1,3.3,998.2,56.0,0.0,18.3,600.0,,151.0,
2017-10-13 15:10:00+00:00,2017-10-13 15:10:00+00:00,5805,272.0,2.9,3.0,998.2,56.0,0.0,18.0,600.0,,121.0,
2017-10-13 15:20:00+00:00,2017-10-13 15:20:00+00:00,5805,275.0,2.6,2.7,998.2,58.0,0.0,17.7,600.0,,97.0,
2017-10-13 15:30:00+00:00,2017-10-13 15:30:00+00:00,5805,275.0,1.8,1.9,998.4,59.0,0.0,17.6,600.0,,73.0,
2017-10-13 15:40:00+00:00,2017-10-13 15:40:00+00:00,5805,260.0,1.1,1.2,998.4,60.0,0.0,17.2,600.0,,42.0,
2017-10-13 15:50:00+00:00,2017-10-13 15:50:00+00:00,5805,280.0,1.0,1.1,998.5,63.0,0.0,16.7,125.0,,24.0,
2017-10-13 16:00:00+00:00,2017-10-13 16:00:00+00:00,5805,284.0,1.3,1.4,998.5,64.0,0.0,16.2,0.0,,12.0,
2017-10-13 16:10:00+00:00,2017-10-13 16:10:00+00:00,5805,271.0,1.1,1.2,998.5,65.0,0.0,15.8,0.0,,6.0,
2017-10-13 16:20:00+00:00,2017-10-13 16:20:00+00:00,5805,281.0,1.7,1.7,998.6,66.0,0.0,15.6,0.0,,0.0,
2017-10-13 16:30:00+00:00,2017-10-13 16:30:00+00:00,5805,278.0,1.4,1.5,998.7,66.0,0.0,15.2,0.0,,0.0,
2017-10-13 16:40:00+00:00,2017-10-13 16:40:00+00:00,5805,270.0,2.0,2.0,998.8,67.0,0.0,15.2,0.0,,0.0,
2017-10-13 16:50:00+00:00,2017-10-13 16:50:00+00:00,5805,277.0,1.8,1.9,998.8,67.0,0.0,15.3,0.0,,0.0,
2017-10-13 17:00:00+00:00,2017-10-13 17:00:00+00:00,5805,266.0,1.2,1.2,999.0,69.0,0.0,14.9,0.0,,0.0,
2017-10-13 17:10:00+00:00,2017-10-13 17:10:00+00:00,5805,254.0,0.8,0.9,999.0,70.0,0.0,14.6,0.0,,0.0,
2017-10-13 17:20:00+00:00,2017-10-13 17:20:00+00:00,5805,272.0,0.8,0.9,999.0,71.0,0.0,14.0,0.0,,0.0,
2017-10-13 17:30:00+00:00,2017-10-13 17:30:00+00:00,5805,259.0,0.6,0.6,999.0,74.0,0.0,13.6,0.0,,0.0,
2017-10-13 17:40:00+00:00,2017-10-13 17:40:00+00:00,5805,232.0,0.3,0.4,999.1,75.0,0.0,13.4,0.0,,0.0,
2017-10-13 17:50:00+00:00,2017-10-13 17:50:00+00:00,5805,272.0,0.5,0.5,999.1,77.0,0.0,13.1,0.0,,0.0,
2017-10-13 18:00:00+00:00,2017-10-13 18:00:00+00:00,5805,105.0,0.1,0.3,999.0,78.0,0.0,12.8,0.0,,0.0,
2017-10-13 18:10:00+00:00,2017-10-13 18:10:00+00:00,5805,61.0,0.4,0.4,999.1,78.0,0.0,12.7,0.0,,0.0,
2017-10-13 18:20:00+00:00,2017-10-13 18:20:00+00:00,5805,352.0,0.1,0.3,999.0,78.0,0.0,12.5,0.0,,0.0,
2017-10-13 18:30:00+00:00,2017-10-13 18:30:00+00:00,5805,326.0,0.4,0.6,999.1,80.0,0.0,12.5,0.0,,0.0,
2017-10-13 18:40:00+00:00,2017-10-13 18:40:00+00:00,5805,8.0,0.5,0.5,999.1,81.0,0.0,12.2,0.0,,0.0,
2017-10-13 18:50:00+00:00,2017-10-13 18:50:00+00:00,5805,23.0,0.6,0.7,999.2,80.0,0.0,12.4,0.0,,0.0,
2017-10-13 19:00:00+00:00,2017-10-13 19:00:00+00:00,5805,288.0,0.2,0.3,999.3,83.0,0.0,11.7,0.0,,0.0,
2017-10-13 19:10:00+00:00,2017-10-13 19:10:00+00:00,5805,360.0,0.3,0.4,999.7,85.0,0.0,11.4,0.0,,0.0,
2017-10-13 19:20:00+00:00,2017-10-13 19:20:00+00:00,5805,284.0,0.1,0.3,999.7,86.0,0.0,11.0,0.0,,0.0,
2017-10-13 19:30:00+00:00,2017-10-13 19:30:00+00:00,5805,0.0,0.0,0.3,999.8,86.0,0.0,11.0,0.0,,0.0,
2017-10-13 19:40:00+00:00,2017-10-13 19:40:00+00:00,5805,322.0,0.2,0.3,1000.0,88.0,0.0,10.7,0.0,,0.0,
2017-10-13 19:50:00+00:00,2017-10-13 19:50:00+00:00,5805,259.0,0.2,0.3,1000.1,89.0,0.0,10.7,0.0,,0.0,
2017-10-13 20:00:00+00:00,2017-10-13 20:00:00+00:00,5805,293.0,0.1,0.4,1000.0,87.0,0.0,10.7,0.0,,0.0,
2017-10-13 20:10:00+00:00,2017-10-13 20:10:00+00:00,5805,314.0,0.4,0.5,1000.0,86.0,0.0,11.0,0.0,,0.0,
2017-10-13 20:20:00+00:00,2017-10-13 20:20:00+00:00,5805,4.0,0.2,0.4,1000.2,86.0,0.0,11.2,0.0,,0.0,
2017-10-13 20:30:00+00:00,2017-10-13 20:30:00+00:00,5805,320.0,0.3,0.4,1000.2,84.0,0.0,11.7,0.0,,0.0,
2017-10-13 20:40:00+00:00,2017-10-13 20:40:00+00:00,5805,304.0,0.2,0.4,1000.2,83.0,0.0,11.4,0.0,,0.0,
2017-10-13 20:50:00+00:00,2017-10-13 20:50:00+00:00,5805,2.0,0.3,0.5,1000.3,86.0,0.0,11.2,0.0,,0.0,
2017-10-13 21:00:00+00:00,2017-10-13 21:00:00+00:00,5805,260.0,0.4,0.5,1000.4,86.0,0.0,11.0,0.0,,0.0,
2017-10-13 21:10:00+00:00,2017-10-13 21:10:00+00:00,5805,305.0,0.5,0.6,1000.3,85.0,0.0,11.4,0.0,,0.0,
2017-10-13 21:20:00+00:00,2017-10-13 21:20:00+00:00,5805,332.0,0.5,0.6,1000.4,84.0,0.0,11.2,0.0,,0.0,
2017-10-13 21:30:00+00:00,2017-10-13 21:30:00+00:00,5805,356.0,0.8,0.9,1000.4,82.0,0.0,11.5,0.0,,0.0,
2017-10-13 21:40:00+00:00,2017-10-13 21:40:00+00:00,5805,8.0,0.8,0.9,1000.4,82.0,0.0,11.6,0.0,,0.0,
2017-10-13 21:50:00+00:00,2017-10-13 21:50:00+00:00,5805,3.0,1.1,1.1,1000.5,83.0,0.0,11.5,0.0,,0.0,
